符合條件商品
資料日期：2023年  4月 21日
策略,	00統計2022年漲幅
序號,	代碼,	商品,	成交,	漲幅%,	總量,	最高價,	最低價,	漲幅
執行時間：2023-04-23 03:20 符合檔數(1711)
1	,3095.TW,及成,24.95,3.31,2,41,2.48,1553.23
2	,6415.TW,矽力*-KY,479,-4.39,2158,5490,352.5,1457.45
3	,3043.TW,科風,39.35,-2.96,170,42.9,3.38,1169.23
4	,2364.TW,倫飛,100.5,-2.43,506,165,15.8,944.3
5	,6103.TW,合邦,38.45,2.53,7,44.35,4.53,879.03
6	,5314.TW,世紀,25.55,0.59,54,28.85,3.72,675.54
7	,8478.TW,東哥遊艇,437,-2.35,4677,575,75.8,658.58
8	,4192.TW,杏國,19.2,-1.54,29,136,18.3,643.17
9	,4198.TW,欣大健康,25.5,0.79,16,31.45,4.35,622.99
10	,8077.TW,洛碁,40.05,-5.88,8,43.8,6.11,616.86
11	,2230.TW,泰茂,81.4,-0.12,2268,91.8,13.1,600.76
12	,6446.TW,藥華藥,387.5,-3.85,3935,622,89.9,591.88
13	,2482.TW,連宇,62.6,-6.01,4823,76,11.25,575.56
14	,9928.TW,中視,18.2,-2.15,126,33.2,5.2,538.46
15	,3093.TW,港建*,37.35,-2.23,927,162,25.8,527.91
16	,8440.TW,綠電,47.55,-4.23,1752,106.5,17.65,503.4
17	,6235.TW,華孚,93.2,-2.31,37349,103,17.35,493.66
18	,6472.TW,保瑞,711,-9.89,6152,850,144.5,488.24
19	,8996.TW,高力,201.5,-4.05,6604,253.5,43.95,476.79
20	,4131.TW,晶宇,28.55,-1.55,15,32.3,5.61,475.76
21	,1512.TW,瑞利,13.6,-1.45,80,16.9,2.95,472.88
22	,8033.TW,雷虎,69.7,-6.57,2598,85.2,14.95,469.9
23	,2719.TW,燦星旅,47.6,-5.93,117,62,11,463.64
24	,4763.TW,材料-KY,435,-6.45,945,495,88,462.5
25	,6547.TW,高端疫苗,65.7,-4.09,4904,306,55.4,452.35
26	,2321.TW,東訊,23.85,1.92,24,24.85,4.56,444.96
27	,3494.TW,誠研,6.9,-2.4,230,16.5,3.09,433.98
28	,6684.TW,安格,47.45,-4.14,229,214,40.6,427.09
29	,5205.TW,中茂,37.55,-1.05,8,50.7,10.15,399.51
30	,3051.TW,力特,18.35,-3.42,1227,41.85,8.5,392.35
31	,2305.TW,全友,23.6,-1.26,368,38.1,7.81,387.84
32	,3229.TW,晟鈦,19.6,-0.25,21,29.95,6.15,386.99
33	,3207.TW,耀勝,73.3,0.41,1536,83.7,17.3,383.82
34	,8097.TW,常珵,48.75,-0.61,518,94.6,20,373
35	,3228.TW,金麗科,167.5,-3.74,1609,540,115.5,367.53
36	,6287.TW,元隆,23.6,-1.26,7,33.1,7.1,366.2
37	,6741.TW,91APP*-KY,117,-6.02,3241,327,71,360.56
38	,3693.TW,營邦,196.5,1.55,901,197,43.05,357.61
39	,1453.TW,大將,15.2,-2.56,388,37.45,8.2,356.71
40	,6243.TW,迅杰,36.2,-3.72,668,76.7,16.8,356.55
41	,6531.TW,愛普*,291,-3.32,6099,625,137,356.2
42	,6150.TW,撼訊,70.5,-3.69,779,201.5,44.25,355.37
43	,6457.TW,紘康,57,-1.72,336,239.5,53,351.89
44	,6104.TW,創惟,111.5,-3.46,3191,333.5,74.9,345.26
45	,3308.TW,聯德,30.55,0,584,33.55,7.6,341.45
46	,8454.TW,富邦媒,841,-1.64,342,1885,435,333.33
47	,3558.TW,神準,286.5,-4.66,3662,379.5,88,331.25
48	,6404.TW,通訊-KY,21.8,0,19,28.1,6.52,330.98
49	,8222.TW,寶一,52.5,-2.78,27914,60.1,13.95,330.82
50	,6556.TW,勝品,134,-3.6,91,194.5,45.2,330.31
51	,3454.TW,晶睿,225,-3.43,1532,294.5,68.5,329.93
52	,6291.TW,沛亨,136,0,6,157,36.7,327.79
53	,5227.TW,立凱-KY,68.2,-6.58,2545,102,24.05,324.12
54	,2486.TW,一詮,28.65,-0.87,4008,67.5,16.2,316.67
55	,3066.TW,李洲,24.1,-1.03,46,48.2,11.6,315.52
56	,4804.TW,大略-KY,6.14,-1.44,87,24.3,5.87,313.97
57	,2465.TW,麗臺,37,-3.14,738,98,23.7,313.5
58	,4171.TW,瑞基,58,-3.65,452,189,46,310.87
59	,6582.TW,申豐,62.2,0.16,331,196.5,48,309.38
60	,6548.TW,長科*,43.1,-1.82,3987,113.5,27.85,307.54
61	,3141.TW,晶宏,102,-0.49,1470,292.5,72,306.25
62	,3664.TW,安瑞-KY,27.05,-6.88,609,31.5,7.79,304.36
63	,3588.TW,通嘉,61.2,-2.39,834,174.5,43.65,299.77
64	,4944.TW,兆遠,12.45,-2.73,7,32.5,8.13,299.75
65	,3219.TW,倚強科,51.7,-5.48,33,140,35.15,298.29
66	,6756.TW,威鋒電子,210,-2.33,466,625,157,298.09
67	,4968.TW,立積,177.5,2.9,28255,350,88.2,296.83
68	,4979.TW,華星光,51,-9.09,26902,63.6,16.2,292.59
69	,5475.TW,德宏,14.35,-5.9,1668,37.45,9.54,292.56
70	,6133.TW,金橋,22.3,-1.55,2038,32.35,8.26,291.65
71	,8444.TW,綠河-KY,58.9,-1.17,27,146.5,37.5,290.67
72	,4966.TW,譜瑞-KY,1040,-2.8,1125,2240,574,290.24
73	,6411.TW,晶焱,107.5,-7.33,3082,302,78.1,286.68
74	,6751.TW,智聯服務,121,-7.63,854,140.5,36.4,285.99
75	,6568.TW,宏觀,175,-2.51,653,426.5,110.5,285.97
76	,3046.TW,建碁,69.6,-5.95,4516,83.5,21.65,285.68
77	,6492.TW,生華科,51.9,-3.35,312,149.5,38.85,284.81
78	,3205.TW,佰研,44.7,-2.4,991,79.2,20.65,283.54
79	,4728.TW,雙美,258.5,0.39,670,283,74.1,281.92
80	,8426.TW,紅木-KY,45.25,1.34,356,49.6,13,281.54
81	,6781.TW,AES-KY,708,-3.54,499,2015,530,280.19
82	,5269.TW,祥碩,1170,-4.49,1334,2070,546,279.12
