符合條件商品
資料日期：2021年 10月 29日
策略,	每日資料
序號,	代碼,	商品,	成交,	漲幅%,	總量,	融券使用率,	法人持股比例,	融資使用率,	投信持股比例
執行時間：2021-10-31 18:46 符合檔數(1446)
1	,1101.TW,台泥,48.25,-0.52,12608,0.02,26.19,0.47,2.35
2	,1102.TW,亞泥,44.3,-0.11,5404,0.01,23.01,0.28,2.54
3	,1103.TW,嘉泥,20.2,-0.25,303,0.01,5.67,1.2,0.04
4	,1104.TW,環泥,20.6,-0.24,670,0.01,12.08,1.15,0
5	,1108.TW,幸福,11.9,0,184,0,0.88,3.3,0
6	,1109.TW,信大,21.05,0.48,231,0,4.89,1.17,0.02
7	,1110.TW,東泥,18.25,-0.54,443,0.03,7.38,4.33,0.06
8	,1201.TW,味全,22.85,0.44,2331,0.04,12.07,2.33,0
9	,1203.TW,味王,32.6,0,19,0,1.85,0.12,0
10	,1210.TW,大成,53.7,0,907,0.08,12.67,0.56,0.11
11	,1215.TW,卜蜂,80,-0.37,677,0,40.09,0.99,0.45
12	,1216.TW,統一,66.6,-0.89,9047,0,45.56,0.09,1
13	,1217.TW,愛之味,10.15,-0.49,1009,0.05,7.95,10.96,0
14	,1218.TW,泰山,27.3,-1.62,580,0.02,2.3,1.73,0
15	,1219.TW,福壽,21.1,-2.31,1070,0.01,3.98,7.7,0
16	,1220.TW,台榮,15.65,-1.88,254,0,7.38,2.15,0.05
17	,1225.TW,福懋油,51.8,-0.77,147,0,0.84,8.84,0
18	,1227.TW,佳格,51.8,-0.19,538,0,7.4,0.72,0.17
19	,1229.TW,聯華,55.8,-0.18,1758,0,12.39,0.25,0.11
20	,1231.TW,聯華食,66.5,-0.3,112,0,2.12,0.32,0
21	,1232.TW,大統益,158,0,64,0,1.8,0.13,0.28
22	,1233.TW,天仁,33.6,0,21,0,5.27,0.01,0
23	,1234.TW,黑松,35,-0.14,172,0,5.21,0.08,0
24	,1235.TW,興泰,43.4,0,6,0,0.17,20.91,0
25	,1236.TW,宏亞,14.1,-0.35,13,0,0.23,1.22,0
26	,1240.TW,茂生農經,51.3,-1.35,50,0,0.3,1.11,0
27	,1256.TW,鮮活果汁-KY,371.5,0,33,0,5.12,1.32,0.1
28	,1258.TW,其祥-KY,18.35,-0.27,8,0,72.05,0.65,0
29	,1259.TW,安心,70,-0.14,11,0,26.29,0.14,0
30	,1264.TW,德麥,299,-0.33,3,0,7.91,0.08,0
31	,1268.TW,漢來美食,120.5,-0.82,24,0,0.19,0.43,0
32	,1301.TW,台塑,107.5,-0.46,12943,0.01,39.65,0.17,1.23
33	,1303.TW,南亞,85.1,-1.05,8936,0.01,34.02,0.13,0.89
34	,1304.TW,台聚,34.4,-0.58,9024,0.23,41.79,5.78,0.2
35	,1305.TW,華夏,37.15,1.09,6819,0.34,22.54,11.44,3.58
36	,1307.TW,三芳,21.6,0.47,64,0,11.33,0.66,0
37	,1308.TW,亞聚,39.05,0.39,13251,0.73,14.52,16.63,1.5
38	,1309.TW,台達化,34.6,-0.57,1803,0.52,3.27,9.52,0
39	,1310.TW,台苯,18.15,-0.27,2019,0.01,9.93,5.18,0
40	,1312.TW,國喬,27,0.19,4637,0.38,27.76,22.3,0
41	,1313.TW,聯成,23.15,0.22,3131,0.09,9.63,6.32,0
42	,1314.TW,中石化,12.1,-0.82,16704,0.53,11.57,18.32,0
43	,1315.TW,達新,62.6,0.81,55,0,1.69,1.53,0.05
44	,1316.TW,上曜,15.05,3.08,8407,10.54,4.68,36.13,0
45	,1319.TW,東陽,33.8,-0.59,379,0.04,15.45,2.3,0.33
46	,1321.TW,大洋,33.05,-0.6,129,0,2.43,3.8,0
47	,1323.TW,永裕,35.3,1,180,0,3.38,0.87,0
48	,1324.TW,地球,11.1,1.37,32,0.02,0.79,2.29,0
49	,1325.TW,恆大,41,0.49,443,11.86,10.07,17.82,0
50	,1326.TW,台化,80.5,-0.37,5762,0,36.35,0.11,0.47
51	,1336.TW,台翰,20.95,0.48,50,0.01,1.57,12.18,0
52	,1337.TW,再生-KY,7.31,-0.68,658,0.12,24.48,24.57,0
53	,1338.TW,廣華-KY,48.8,-1.11,178,0,8.77,15.97,0
54	,1339.TW,昭輝,34.1,-0.44,24,0,1.16,4.54,0
55	,1340.TW,勝悅-KY,10.45,-1.42,113,0,28.68,4.77,0
