符合條件商品
資料日期：2021年 11月  3日
策略,	04選股資料（週）
序號,	代碼,	商品,	成交,	漲幅%,	總量,	成交量,	大戶持股比例,	散戶持股比例
執行時間：2021-11-04 00:55 符合檔數(27)
1	,1440.TW,南紡,23.7,4.64,24959,7711,75.74,24.26
2	,1611.TW,中電,14.6,4.66,42725,9486,64.92,35.08
3	,1710.TW,東聯,24.8,6.67,26575,14988,66.5,33.5
4	,2023.TW,燁輝,25.35,3.26,15465,12447,72.25,27.75
5	,2027.TW,大成鋼,41.75,3.6,19902,27482,59.94,40.06
6	,2312.TW,金寶,14.1,7.22,97417,18660,56.71,43.29
7	,2344.TW,華邦電,27.25,4.01,46965,29093,61.09,38.91
8	,2376.TW,技嘉,123,3.8,37717,24214,67.8,32.2
9	,2409.TW,友達,19.95,5,177509,252058,58.97,41.03
10	,2419.TW,仲琦,21.7,3.83,13835,1535,70.16,29.84
11	,2492.TW,華新科,158,9.72,13796,2646,60.82,39.18
12	,2498.TW,宏達電,71.2,4.4,30558,22285,46.28,53.72
13	,2603.TW,長榮,112,6.67,306738,226596,60.87,39.13
14	,2609.TW,陽明,108.5,6.9,168913,149099,60.25,39.75
15	,2614.TW,東森,38.95,9.87,94939,22749,43.06,56.94
16	,2615.TW,萬海,171.5,6.52,99592,50008,87.34,12.66
17	,2636.TW,台驊投控,145,9.85,25487,5819,49.13,50.87
18	,2641.TW,正德,25,3.73,18231,9223,34.72,65.28
19	,3189.TW,景碩,241.5,3.65,24136,39141,82.34,17.66
20	,3704.TW,合勤控,34,4.78,41935,12450,56.94,43.06
21	,3707.TW,漢磊,160.5,4.22,68284,76076,62.46,37.54
22	,4721.TW,美琪瑪,175.5,4.46,42537,22837,44.94,55.06
23	,5351.TW,鈺創,77.8,8.36,134030,77777,34.23,65.77
24	,5608.TW,四維航,43.45,5.72,32876,14301,36.59,63.41
25	,6226.TW,光鼎,15.15,9.78,20669,3144,25.7,74.3
26	,6251.TW,定穎,22.15,6.49,14746,3748,39.07,60.93
27	,6411.TW,晶焱,227,5.58,31673,10154,45.81,54.19
