符合條件商品
資料日期：2021年 11月  3日
策略,	選股資料
序號,	代碼,	商品,	成交,	漲幅%,	總量,	成交量,	融資使用率,	融券使用率,	外資持股比例,	自營商持股比例,	投信持股比例,	法人持股比例
執行時間：2021-11-04 00:18 符合檔數(27)
1	,1440.TW,南紡,23.7,4.64,24959,24959,7.38,0.29,6.22,0.23,0.08,6.54
2	,1611.TW,中電,14.6,4.66,42725,42725,6.16,0.76,10.27,0.09,0,10.36
3	,1710.TW,東聯,24.8,6.67,26575,26575,10.81,0.38,7.62,0.96,0.1,8.68
4	,2023.TW,燁輝,25.35,3.26,15465,15465,6.92,0.94,7.55,0.14,0.23,7.92
5	,2027.TW,大成鋼,41.75,3.6,19902,19902,12.76,0.71,13.29,2.56,0.31,16.17
6	,2312.TW,金寶,14.1,7.22,97417,97417,12.65,0.15,8.85,0.11,0.02,8.97
7	,2344.TW,華邦電,27.25,4.01,46965,46965,7.97,0.51,20.23,0.16,1.27,21.66
8	,2376.TW,技嘉,123,3.8,37717,37717,15.4,0.68,24.6,8.01,6.91,39.52
9	,2409.TW,友達,19.95,5,177509,177509,12.73,1.02,26.22,2.42,4.02,32.65
10	,2419.TW,仲琦,21.7,3.83,13835,13835,6.92,0.16,3.78,0.09,0,3.87
11	,2492.TW,華新科,158,9.72,13796,13796,11.35,0.88,19.84,3.03,0.38,23.25
12	,2498.TW,宏達電,71.2,4.4,30558,30558,17.95,4.84,16.7,6.13,0,22.83
13	,2603.TW,長榮,112,6.67,306738,306738,20.84,0.74,27.02,1.58,1.49,30.09
14	,2609.TW,陽明,108.5,6.9,168913,168913,26.18,1.87,14.5,0.05,0.4,14.95
15	,2614.TW,東森,38.95,9.87,94939,94939,18.99,3.54,3.96,1.36,0,5.33
16	,2615.TW,萬海,171.5,6.52,99592,99592,6.95,0.72,43.76,0.25,0.39,44.39
17	,2636.TW,台驊投控,145,9.85,25487,25487,37.1,7.15,16.36,1.28,0,17.64
18	,2641.TW,正德,25,3.73,18231,18231,23.61,0.93,0.89,0.01,0,0.9
19	,3189.TW,景碩,241.5,3.65,24136,24136,9.34,3.25,18.54,1.47,13.98,33.99
20	,3704.TW,合勤控,34,4.78,41935,41935,18.63,0.43,7.76,0.63,0.95,9.34
21	,3707.TW,漢磊,160.5,4.22,68284,68284,31.31,14.67,10.43,0.78,13.12,24.33
22	,4721.TW,美琪瑪,175.5,4.46,42537,42537,65.06,25.71,4.8,1.37,0.02,6.19
23	,5351.TW,鈺創,77.8,8.36,134030,134030,54.49,16.51,11.56,2,1.04,14.6
24	,5608.TW,四維航,43.45,5.72,32876,32876,25.51,1.95,5.57,0.75,0,6.32
25	,6226.TW,光鼎,15.15,9.78,20669,20669,24.33,4.46,4.11,0.31,0,4.42
26	,6251.TW,定穎,22.15,6.49,14746,14746,24.22,0.21,14.45,0.08,0,14.53
27	,6411.TW,晶焱,227,5.58,31673,31673,46.55,15.91,8.24,2.23,14,24.47
