符合條件商品
資料日期：2021年 12月 10日
策略,	00每日資料
序號,	代碼,	商品,	成交,	漲幅%,	總量,	大戶持股比例,	法人持股比例,	融資使用率,	內部人持股比例
執行時間：2021-12-12 22:25 符合檔數(1450)
1	,1101.TW,台泥,47.3,-0.21,10461,68.56,25.75,0.46,8.48
2	,1102.TW,亞泥,43.45,-0.11,3386,78.6,22.26,0.33,27.87
3	,1103.TW,嘉泥,20.75,1.47,395,73.55,5.67,1.16,17.24
4	,1104.TW,環泥,21.6,0.7,328,71.13,12.23,1.06,32.14
5	,1108.TW,幸福,11.55,0.43,62,77.47,1.06,2.87,7.44
6	,1109.TW,信大,20.1,0,427,74.87,4.5,1.24,39.68
7	,1110.TW,東泥,19.65,-1.75,390,92.77,7.12,4.28,36.86
8	,1201.TW,味全,22.2,0,376,57.16,11.6,2.27,14.57
9	,1203.TW,味王,32.65,-0.31,9,82.82,1.86,0.3,29.8
10	,1210.TW,大成,52.7,-0.19,513,56.81,11.79,0.47,13.01
11	,1215.TW,卜蜂,80.1,0,262,56.58,39.89,0.94,13.13
12	,1216.TW,統一,68.9,0,4473,86.03,44.91,0.08,15.87
13	,1217.TW,愛之味,10.45,-0.95,585,43.43,8.29,9.67,10.26
14	,1218.TW,泰山,27.15,0.18,99,77.56,2.27,1.76,5.65
15	,1219.TW,福壽,20.2,0.75,617,70.78,4.2,9.81,12.77
16	,1220.TW,台榮,15.7,1.95,601,62.19,7.35,2.32,26.69
17	,1225.TW,福懋油,51.6,1.18,166,88.79,0.76,8.66,9.11
18	,1227.TW,佳格,51.6,0.78,687,69.44,6.97,1.02,8.14
19	,1229.TW,聯華,57.5,0.17,979,64.37,12.05,0.26,32.74
20	,1231.TW,聯華食,68.2,-1.45,360,63.53,1.92,0.2,25.68
21	,1232.TW,大統益,159,0,48,75.87,1.89,0.1,66.62
22	,1233.TW,天仁,34,0,22,60.97,5.29,0,21.55
23	,1234.TW,黑松,34.95,-0.14,89,78.04,5.22,0.1,16.19
24	,1235.TW,興泰,43.8,-0.11,363,88.97,0.2,19.71,11.98
25	,1236.TW,宏亞,28.1,9.98,2213,80.97,0.38,6.76,18.51
26	,1240.TW,茂生農經,51.5,0.59,13,37.06,0.28,0.99,21.34
27	,1256.TW,鮮活果汁-KY,332.5,-1.04,10,49.38,5.04,1.08,54.27
28	,1258.TW,其祥-KY,18,-0.55,3,68.32,72.05,0.3,44.43
29	,1259.TW,安心,70,0,1,65.48,26.29,0.14,52.83
30	,1264.TW,德麥,294,0.34,3,24.64,7.62,0.05,16.54
31	,1268.TW,漢來美食,113,-4.24,276,70.56,0.15,0.3,19.29
32	,1301.TW,台塑,104,-0.95,3745,84.04,39.09,0.15,15.98
33	,1303.TW,南亞,84.4,-0.47,3254,83.85,33.89,0.17,18.27
34	,1304.TW,台聚,31.5,-1.72,4422,64.17,39.43,6.24,24.45
35	,1305.TW,華夏,34.3,-0.87,2927,49.38,11.59,11.27,24.97
36	,1307.TW,三芳,20.85,0.48,60,79.79,11.27,0.53,17.43
37	,1308.TW,亞聚,36.95,-2.12,7700,55.5,10.4,14.49,38.07
38	,1309.TW,台達化,33.9,-0.59,895,41.96,3.24,8.56,39.38
39	,1310.TW,台苯,17.25,-0.58,888,33.86,7.67,5.16,4.58
40	,1312.TW,國喬,28.2,-0.88,8372,39.63,23.45,25.54,5.38
41	,1313.TW,聯成,21.25,-0.7,2118,64.6,8.95,5.59,32.7
42	,1314.TW,中石化,12.45,-1.97,32480,29.78,11.58,18.99,2.45
43	,1316.TW,上曜,20,-1.23,6770,40.85,3.93,73.49,14.76
44	,1319.TW,東陽,33.2,0.15,449,71.21,15.07,2.3,26.71
45	,1321.TW,大洋,35.1,-0.28,86,61.45,2.56,3.24,5.94
46	,1323.TW,永裕,34.85,-0.14,64,43.29,3.43,0.99,12.65
47	,1324.TW,地球,11.5,3.14,523,65.94,0.76,2.33,16.8
