符合條件商品
資料日期：2021年 12月 17日
策略,	01準確度
序號,	代碼,	商品,	成交,	漲幅%,	總量,	融資,	外資,	自營商,	投信,	融券,	借券
執行時間：2021-12-19 14:32 符合檔數(1448)
1	,1101.TW,台泥,47.45,1.17,18553,0.56,0.7,0.52,0.6,0.4,0.44
2	,1102.TW,亞泥,42.95,0,32402,0.5,0.62,0.55,0.62,0.42,0.44
3	,1103.TW,嘉泥,20.55,1.23,380,0.47,0.62,0.46,0.43,0.25,0.42
4	,1104.TW,環泥,21.5,0.94,403,0.38,0.56,0.41,0,0.26,0.5
5	,1108.TW,幸福,11.85,3.49,445,0.52,0.58,0.38,0,0.34,0.39
6	,1109.TW,信大,20,0.25,241,0.6,0.56,0.43,0.19,0.29,0.49
7	,1110.TW,東泥,20.2,2.28,3299,0.54,0.54,0.41,0,0.64,0.39
8	,1201.TW,味全,22.05,0,599,0.52,0.72,0.55,0,0.38,0.42
9	,1203.TW,味王,32.4,0.31,17,0.43,0.5,0.38,0,0,0.46
10	,1210.TW,大成,52.3,0,1638,0.64,0.58,0.62,0.38,0.55,0.44
11	,1215.TW,卜蜂,80.8,0.87,365,0.58,0.63,0.57,0.54,0.23,0.48
12	,1216.TW,統一,67.9,-0.88,11013,0.36,0.56,0.6,0.46,0.57,0.34
13	,1217.TW,愛之味,10.4,0.48,596,0.58,0.6,0.53,0,0.63,0.52
14	,1218.TW,泰山,27.35,0.92,491,0.62,0.74,0.71,0,0.39,0.48
15	,1219.TW,福壽,19.9,0,790,0.59,0.52,0.51,0,0.33,0.52
16	,1220.TW,台榮,15.6,0,83,0.54,0.55,0.3,0.25,0.26,0.32
17	,1225.TW,福懋油,51.2,-0.19,75,0.58,0.66,0.27,0,0,0.34
18	,1227.TW,佳格,53.2,0,3959,0.45,0.56,0.53,0.44,0.18,0.46
19	,1229.TW,聯華,57.4,-1.03,1805,0.62,0.62,0.58,0.43,0.38,0.4
20	,1231.TW,聯華食,68.1,-0.29,58,0.55,0.66,0.38,0,0,0.4
21	,1232.TW,大統益,156,-0.32,229,0.57,0.53,0.46,0.32,0,0.43
22	,1233.TW,天仁,34.5,0.29,19,0.21,0.52,0.1,0,0,0.09
23	,1234.TW,黑松,35,0,32,0.53,0.54,0.41,0,0,0.29
24	,1235.TW,興泰,43.95,2.09,8,0.31,0.47,0.18,0,0,0.21
25	,1236.TW,宏亞,30.1,-7.24,729,0.45,0.59,0.26,0,0.29,0.27
26	,1240.TW,茂生農經,51.3,0,19,0.5,0.4,0,0,0,0
27	,1256.TW,鮮活果汁-KY,325.5,0,18,0.6,0.52,0.43,0,0.16,0.43
28	,1258.TW,其祥-KY,18.3,0,6,0.43,0.35,0,0,0,0
29	,1259.TW,安心,68.6,0.44,5,0.24,0.15,0,0,0,0
30	,1264.TW,德麥,295,0.34,3,0.35,0.57,0,0,0,0.11
31	,1268.TW,漢來美食,110.5,-0.45,21,0.39,0.55,0.29,0,0,0.3
32	,1301.TW,台塑,103,1.48,9074,0.38,0.64,0.6,0.68,0.63,0.5
33	,1303.TW,南亞,84.3,1.93,10330,0.56,0.66,0.7,0.48,0.54,0.46
34	,1304.TW,台聚,30.8,-0.32,5539,0.58,0.6,0.7,0.34,0.7,0.52
35	,1305.TW,華夏,33.45,0.45,2669,0.62,0.74,0.66,0.58,0.7,0.54
36	,1307.TW,三芳,20.65,0.49,181,0.52,0.7,0.32,0,0,0.5
37	,1308.TW,亞聚,36.4,1.25,2804,0.64,0.7,0.72,0.52,0.69,0.44
38	,1309.TW,台達化,33.4,0.15,747,0.64,0.68,0.78,0.16,0.56,0.58
39	,1310.TW,台苯,17.2,0,685,0.7,0.52,0.66,0,0.45,0.6
40	,1312.TW,國喬,28.3,1.43,6187,0.62,0.5,0.62,0.21,0.58,0.48
