符合條件商品
資料日期：2021年 12月 24日
策略,	01量放大股
序號,	代碼,	商品,	成交,	漲幅%,	總量,	現量昨量比
執行時間：2021-12-27 09:22 符合檔數(521)
1	,2461.TW,光群雷,25.5,9.91,24341,23.14
2	,6552.TW,易華電,58.5,9.96,3303,22.94
3	,6233.TW,旺玖,37.1,6.92,13767,19.81
4	,8071.TW,能率網通,14.4,9.92,5528,18.18
5	,2483.TW,百容,27,9.98,10625,18.04
6	,1599.TW,宏佳騰,48.85,9.9,2699,17.76
7	,1568.TW,倉佑,23,9.79,1457,17.14
8	,8064.TW,東捷,22.05,4.01,21548,15.34
9	,1432.TW,大魯閣,11.85,-7.06,1778,12.79
10	,6290.TW,良維,53.4,2.3,3913,9.69
11	,6152.TW,百一,12.7,9.96,14348,9.5
12	,3693.TW,營邦,57.3,9.98,1814,9.21
13	,8183.TW,精星,70.9,9.92,25661,8.86
14	,4942.TW,嘉彰,49.1,3.7,1976,7.9
15	,8040.TW,九暘,74.6,2.47,9711,7.79
16	,5243.TW,乙盛-KY,68.2,4.28,5141,7.79
17	,2472.TW,立隆電,66.4,2.95,2013,7.77
18	,1773.TW,勝一,144,0.7,1221,7.4
19	,5426.TW,振發,12.3,3.36,2202,7.39
20	,3122.TW,笙泉,60.6,2.54,4740,7.27
21	,3092.TW,鴻碩,53.4,0.95,2453,7.09
22	,2704.TW,國賓,31.3,2.45,1051,6.82
23	,5321.TW,美而快,117,9.86,3058,6.78
24	,2316.TW,楠梓電,34.35,9.92,7999,6.42
25	,8105.TW,凌巨,13.55,2.26,10590,6.09
26	,6790.TW,永豐實,50.5,3.59,1020,5.57
27	,3050.TW,鈺德,18.8,3.01,5712,5.27
28	,2888.TW,新光金,10.7,0.94,116621,5.06
29	,3321.TW,同泰,14.6,3.55,2059,5.05
30	,6191.TW,精成科,38.2,1.73,8252,4.88
31	,1905.TW,華紙,25.55,7.13,43162,4.77
32	,8034.TW,榮群,21.6,9.92,6344,4.72
33	,1907.TW,永豐餘,35.6,3.94,11409,4.65
34	,2369.TW,菱生,27.35,3.8,30605,4.48
35	,2305.TW,全友,10.15,1.7,32815,4.43
36	,3701.TW,大眾控,79.2,7.61,14154,4.31
37	,6499.TW,益安,97.2,1.25,4701,4.28
38	,8163.TW,達方,49.35,1.54,6081,4.27
39	,3094.TW,聯傑,37.45,3.74,8518,4.25
40	,3490.TW,單井,34.25,3.63,2109,4.23
41	,8147.TW,正淩,61.7,9.98,1291,4.06
42	,8110.TW,華東,19.5,5.12,14516,4.01
43	,3515.TW,華擎,277.5,3.74,6809,3.97
44	,6143.TW,振曜,58.7,0,4402,3.93
45	,1612.TW,宏泰,27.3,-1.27,13581,3.93
46	,1308.TW,亞聚,36.7,0.27,7726,3.91
47	,8076.TW,伍豐,34.5,0,6871,3.84
48	,1906.TW,寶隆,20.65,1.47,1098,3.73
49	,8440.TW,綠電,23.2,9.95,4448,3.67
50	,2497.TW,怡利電,86.1,6.3,23065,3.64
51	,3141.TW,晶宏,262.5,-0.19,15876,3.6
52	,5469.TW,瀚宇博,45.25,1.46,3677,3.56
53	,6153.TW,嘉聯益,25.65,0.79,5175,3.53
