符合條件商品
資料日期：2021年 12月  3日
策略,	10漲停同買同賣資料
序號,	代碼,	商品,	成交,	漲幅%,	總量,	漲停次數,	四大同買,	四大同賣,	內外盤
執行時間：2021-12-05 17:22 符合檔數(1584)
1	,1101.TW,台泥,46.4,0.22,14903,0,13,12,4
2	,1102.TW,亞泥,42.75,0.83,5045,0,12,8,7
3	,1103.TW,嘉泥,20.35,0,265,0,1,0,7
4	,1104.TW,環泥,21.5,0.94,300,0,0,0,10
5	,1108.TW,幸福,11.5,0.44,96,3,0,0,12
6	,1109.TW,信大,20.05,0.75,147,0,1,0,7
7	,1110.TW,東泥,19.45,-1.02,392,3,0,0,10
8	,1201.TW,味全,22.2,0.45,576,0,0,0,12
9	,1203.TW,味王,33.05,0.15,5,1,0,0,8
10	,1210.TW,大成,52.2,0.38,1028,0,4,9,8
11	,1213.TW,大飲,8.16,-1.92,30,2,0,0,18
12	,1215.TW,卜蜂,80.5,0.5,413,0,4,2,12
13	,1216.TW,統一,67.5,-0.3,6161,0,12,7,16
14	,1217.TW,愛之味,10.25,0,752,5,0,0,10
15	,1218.TW,泰山,26.9,0,104,0,3,1,10
16	,1219.TW,福壽,20.2,-0.74,591,2,0,0,9
17	,1220.TW,台榮,15.25,0.33,182,1,0,0,5
18	,1225.TW,福懋油,50.5,0.4,17,3,0,0,10
19	,1227.TW,佳格,51.4,0.59,507,0,6,4,9
20	,1229.TW,聯華,57,-0.35,678,0,9,2,8
21	,1231.TW,聯華食,68.2,-0.15,131,1,1,0,10
22	,1232.TW,大統益,161,-0.31,48,1,1,1,13
23	,1233.TW,天仁,33.75,-1.03,14,0,0,0,15
24	,1234.TW,黑松,35.3,0.28,74,0,0,0,11
25	,1235.TW,興泰,44.4,0.57,28,0,0,0,17
26	,1236.TW,宏亞,21,-0.24,473,8,0,0,18
27	,1240.TW,茂生農經,51.3,0.59,6,0,0,0,15
28	,1256.TW,鮮活果汁-KY,338,-0.29,47,0,0,0,4
29	,1258.TW,其祥-KY,17.6,-1.12,12,2,0,0,14
30	,1259.TW,安心,69.5,0.72,1,0,0,0,11
31	,1264.TW,德麥,291.5,-0.34,26,0,0,0,15
32	,1268.TW,漢來美食,116,0,5,0,0,0,12
33	,1301.TW,台塑,103.5,0,4797,0,21,7,12
34	,1303.TW,南亞,83.6,-0.24,5439,0,27,3,7
35	,1304.TW,台聚,31.85,1.59,5602,8,4,5,6
36	,1305.TW,華夏,34.3,1.63,4371,3,4,9,7
37	,1307.TW,三芳,20.5,0,68,1,0,0,12
38	,1308.TW,亞聚,37.75,1.21,5404,5,7,3,12
39	,1309.TW,台達化,33.85,0.59,704,3,2,5,8
40	,1310.TW,台苯,17.35,0.29,901,1,0,0,9
