符合條件商品
資料日期：2022年  1月  4日
策略,	01準確度
序號,	代碼,	商品,	成交,	漲幅%,	總量,	融資,	外資,	自營商,	投信,	融券,	借券
執行時間：2022-01-05 08:37 符合檔數(1442)
1	,1101.TW,台泥,47.3,-0.32,11583,0.54,0.68,0.48,0.62,0.35,0.42
2	,1102.TW,亞泥,43.8,-0.45,3798,0.48,0.6,0.53,0.64,0.44,0.44
3	,1103.TW,嘉泥,20.55,-0.72,326,0.45,0.6,0.46,0.41,0.18,0.42
4	,1104.TW,環泥,21.6,0,402,0.4,0.54,0.41,0,0.24,0.5
5	,1108.TW,幸福,11.85,-0.42,171,0.48,0.58,0.37,0,0.29,0.41
6	,1109.TW,信大,20.55,-1.67,278,0.64,0.6,0.47,0.24,0.28,0.45
7	,1110.TW,東泥,19.7,-1.01,190,0.54,0.58,0.38,0.1,0.64,0.42
8	,1201.TW,味全,22.15,0,308,0.52,0.72,0.54,0,0.39,0.39
9	,1203.TW,味王,32.5,-0.91,3,0.41,0.52,0.37,0,0,0.4
10	,1210.TW,大成,52.7,-0.38,1492,0.66,0.58,0.58,0.33,0.51,0.42
11	,1215.TW,卜蜂,80.7,0.12,336,0.58,0.68,0.59,0.53,0.18,0.45
12	,1216.TW,統一,68.8,0.58,2731,0.36,0.54,0.58,0.44,0.53,0.32
13	,1217.TW,愛之味,10.9,0,3119,0.54,0.58,0.52,0,0.58,0.48
14	,1218.TW,泰山,27,-0.18,347,0.62,0.7,0.67,0,0.32,0.52
15	,1219.TW,福壽,19.95,-0.25,277,0.61,0.52,0.52,0.5,0.29,0.5
16	,1220.TW,台榮,15.8,-1.25,228,0.5,0.55,0.3,0,0.26,0.32
17	,1225.TW,福懋油,52.2,-1.32,68,0.56,0.68,0.26,0,0,0.34
18	,1227.TW,佳格,52.5,-0.38,965,0.46,0.52,0.53,0.48,0.06,0.48
19	,1229.TW,聯華,60.4,-1.95,2469,0.62,0.64,0.56,0.39,0.36,0.38
20	,1231.TW,聯華食,68.3,-0.73,154,0.51,0.66,0.36,0.5,0,0.38
21	,1232.TW,大統益,157,-0.63,87,0.52,0.53,0.47,0.36,0,0.38
22	,1233.TW,天仁,35.1,0.57,22,0.24,0.53,0.11,0,0,0.09
23	,1234.TW,黑松,35.55,-0.7,119,0.56,0.6,0.43,0,0,0.29
24	,1235.TW,興泰,43.7,0,5,0.33,0.47,0.19,0,0,0.18
25	,1236.TW,宏亞,30.5,0.66,2568,0.45,0.63,0.24,0,0.3,0.24
26	,1240.TW,茂生農經,51,0.2,23,0.48,0.38,0,0,0,0
27	,1256.TW,鮮活果汁-KY,322,0.63,11,0.59,0.52,0.41,0,0.06,0.4
28	,1259.TW,安心,68.3,-0.29,16,0.25,0.14,0,0,0,0
29	,1264.TW,德麥,292.5,-0.17,10,0.34,0.54,0,0,0,0.11
30	,1268.TW,漢來美食,110.5,-1.34,26,0.4,0.48,0.25,0,0,0.3
31	,1301.TW,台塑,105,-0.47,5489,0.34,0.6,0.58,0.66,0.61,0.48
32	,1303.TW,南亞,86.2,-0.12,5713,0.54,0.64,0.64,0.52,0.54,0.46
33	,1304.TW,台聚,30.85,-1.12,4836,0.58,0.6,0.7,0.33,0.72,0.5
34	,1305.TW,華夏,34.9,-0.43,3409,0.62,0.7,0.63,0.56,0.65,0.54
35	,1307.TW,三芳,20.85,0,70,0.52,0.68,0.28,0,0,0.44
36	,1308.TW,亞聚,35.95,-0.55,3415,0.66,0.66,0.7,0.53,0.67,0.46
37	,1309.TW,台達化,34.2,-0.29,742,0.64,0.68,0.76,0.19,0.52,0.56
38	,1310.TW,台苯,17.25,0,1017,0.68,0.5,0.65,0.2,0.42,0.56
39	,1312.TW,國喬,28.25,-0.53,5911,0.64,0.54,0.6,0.26,0.54,0.48
40	,1313.TW,聯成,21.2,-0.47,1288,0.58,0.72,0.74,0.08,0.62,0.52
41	,1314.TW,中石化,12.8,-1.16,16714,0.58,0.54,0.78,0.2,0.56,0.54
42	,1315.TW,達新,86,-0.12,49,0.54,0.72,0.51,0.08,0.2,0.5
43	,1316.TW,上曜,20.6,-0.96,3481,0.62,0.66,0.36,0,0.57,0.38
44	,1319.TW,東陽,33.05,0.61,358,0.38,0.68,0.56,0.32,0.41,0.58
45	,1321.TW,大洋,34.8,-0.57,170,0.56,0.7,0.38,0,0.19,0.43
46	,1323.TW,永裕,34.95,0,178,0.38,0.63,0.28,0,0,0.27
47	,1324.TW,地球,11.7,-0.85,84,0.57,0.26,0.24,0,0,0.11
48	,1325.TW,恆大,47.7,4.61,6801,0.62,0.64,0.6,0.08,0.54,0.6
49	,1326.TW,台化,80.5,-0.37,1756,0.32,0.66,0.58,0.42,0.57,0.48
50	,1336.TW,台翰,21.9,0,97,0.52,0.58,0,0,0.26,0.39
51	,1337.TW,再生-KY,7.31,0.41,495,0.42,0.74,0.43,0,0.53,0.47
52	,1338.TW,廣華-KY,55.5,0.18,93,0.44,0.56,0.34,0,0.11,0.51
53	,1339.TW,昭輝,34.4,-0.58,35,0.52,0.6,0.23,0,0,0.51
54	,1340.TW,勝悅-KY,11.55,0,188,0.44,0.58,0.29,0,0.16,0.41
55	,1342.TW,八貫,67.9,0.44,290,0.59,0.59,0.14,0,0,0.18
56	,1402.TW,遠東新,29,-0.51,3397,0.54,0.68,0.56,0.5,0.33,0.38
57	,1409.TW,新纖,20,-0.5,2223,0.62,0.5,0.68,0,0.53,0.48
58	,1410.TW,南染,37.1,0.54,20,0.41,0.55,0.41,0,0,0.1
59	,1414.TW,東和,18.9,-1.82,734,0.7,0.48,0.27,0.2,0.67,0.3
60	,1416.TW,廣豐,11.2,-0.88,142,0.46,0.58,0.29,0,0.07,0.38
61	,1417.TW,嘉裕,15,1.69,783,0.6,0.52,0.34,0,0.25,0.33
62	,1419.TW,新紡,42.2,-0.35,26,0.43,0.66,0.33,0,0,0.38
63	,1423.TW,利華,19.85,0,81,0.44,0.68,0.32,0,0.06,0.21
64	,1434.TW,福懋,29.1,-0.34,1328,0.4,0.68,0.49,0.38,0.28,0.42
65	,1436.TW,華友聯,54,0,35,0.48,0.47,0.24,0,0.25,0.28
66	,1437.TW,勤益控,25.8,0,43,0.53,0.62,0.39,0,0,0.2
67	,1438.TW,三地開發,30.15,-0.66,90,0.55,0.53,0,0,0.11,0.44
68	,1439.TW,中和,23.55,-0.63,63,0.42,0.44,0.19,0,0,0.31
69	,1440.TW,南紡,25.3,-0.78,5499,0.76,0.54,0.76,0.28,0.72,0.48
70	,1442.TW,名軒,22.5,0,1431,0.68,0.6,0.4,0.2,0.48,0.45
71	,1444.TW,力麗,11.15,0,1238,0.68,0.56,0.64,0,0.51,0.56
72	,1445.TW,大宇,15.45,0.65,73,0.5,0.61,0.31,0,0.35,0.37
73	,1446.TW,宏和,34.3,0.29,47,0.4,0.5,0.33,0,0.13,0.39
74	,1447.TW,力鵬,10.2,-0.49,1397,0.54,0.48,0.66,0.17,0.63,0.44
75	,1449.TW,佳和,15.3,0,101,0.62,0.61,0.21,0,0,0.13
76	,1451.TW,年興,20.9,-0.48,70,0.53,0.46,0.19,0,0.06,0.41
77	,1452.TW,宏益,23.95,-0.21,176,0.64,0.62,0.35,0,0.61,0.44
78	,1453.TW,大將,9.17,2,168,0.71,0.51,0,0,0,0.17
79	,1454.TW,台富,14.85,-1.33,403,0.46,0.56,0.21,0,0.8,0.23
80	,1455.TW,集盛,16.3,-0.31,2066,0.6,0.62,0.58,0,0.74,0.56
81	,1456.TW,怡華,21.2,-0.93,98,0.68,0.58,0.38,0,0.58,0.33
82	,1457.TW,宜進,19.45,0.26,635,0.44,0.8,0.39,0,0.52,0.38
83	,1459.TW,聯發,13,1.56,631,0.57,0.62,0,0,0,0
84	,1463.TW,強盛,14.05,-0.71,308,0.62,0.5,0.36,0,0.07,0.54
85	,1464.TW,得力,15.65,0.64,213,0.55,0.6,0.38,0,0.11,0.54
86	,1465.TW,偉全,12.6,0,37,0.34,0.47,0.15,0,0,0.38
87	,1466.TW,聚隆,15.3,0,113,0.58,0.62,0.31,0,0.41,0.59
88	,1467.TW,南緯,14.2,0.71,643,0.58,0.56,0.18,0,0.52,0.56
89	,1470.TW,大統新創,17.75,0,0,0.22,0.57,0.17,0,0,0
90	,1473.TW,台南,18.15,0.28,45,0.41,0.65,0.29,0,0,0.23
91	,1474.TW,弘裕,15.6,0.32,582,0.52,0.54,0.13,0,0.49,0.48
92	,1476.TW,儒鴻,641,2.56,1429,0.32,0.56,0.54,0.74,0.51,0.5
93	,1477.TW,聚陽,253.5,2.84,2337,0.38,0.63,0.66,0.59,0.41,0.5
94	,1503.TW,士電,53.2,-0.93,59,0.43,0.64,0.55,0,0.11,0.33
95	,1504.TW,東元,31.1,-0.48,1420,0.6,0.46,0.5,0.57,0.52,0.42
96	,1507.TW,永大,64.4,0,62,0.4,0.62,0.47,0,0,0.4
97	,1513.TW,中興電,45.1,0.56,1737,0.76,0.74,0.64,0.59,0.55,0.56
98	,1514.TW,亞力,25.95,-0.19,526,0.6,0.7,0.37,0,0.22,0.5
99	,1515.TW,力山,56.5,1.07,1223,0.42,0.7,0.64,0,0.55,0.62
100	,1516.TW,川飛,24.25,2.32,374,0.63,0.57,0.36,0,0.17,0.19
101	,1517.TW,利奇,27.05,0,853,0.68,0.62,0.55,0,0.63,0.52
102	,1519.TW,華城,36.95,-0.14,214,0.6,0.74,0.71,0.13,0.54,0.66
103	,1521.TW,大億,40.3,-0.12,41,0.34,0.53,0.14,0,0,0.27
