符合條件商品
資料日期：2022年 10月 31日
策略,	06突破6月均量
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(10/31),	區間漲幅%
執行時間：2022-11-01 22:21 符合檔數(369)
1	,1101.TW,台泥,30.65,1.32,12711,30.25,1.32
2	,1109.TW,信大,15.15,0.33,29,15.1,0.33
3	,1210.TW,大成,40.6,1,836,40.2,1
4	,1215.TW,卜蜂,76.4,0.92,155,75.7,0.92
5	,1218.TW,泰山,38.65,-0.77,1215,38.95,-0.77
6	,1264.TW,德麥,244.5,0.2,9,244,0.2
7	,1268.TW,漢來美食,105.5,-0.47,7,106,-0.47
8	,1337.TW,再生-KY,7.29,1.39,1315,7.19,1.39
9	,1341.TW,富林-KY,66.5,-0.6,11,66.9,-0.6
10	,1342.TW,八貫,86.8,1.64,1631,85.4,1.64
11	,1410.TW,南染,40.35,2.28,227,39.45,2.28
12	,1417.TW,嘉裕,10.7,0,76,10.7,0
13	,1439.TW,雋揚,21.3,-0.23,189,21.35,-0.23
14	,1442.TW,名軒,28.7,-0.69,636,28.9,-0.69
15	,1446.TW,宏和,29.4,1.73,62,28.9,1.73
16	,1449.TW,佳和,13.15,0,413,13.15,0
17	,1467.TW,南緯,11.45,0.44,1540,11.4,0.44
18	,1475.TW,業旺,51.8,1.77,60,50.9,1.77
19	,1512.TW,瑞利,3.68,0,27,3.68,0
20	,1517.TW,利奇,22.25,3.01,1627,21.6,3.01
21	,1519.TW,華城,37.9,2.99,859,36.8,2.99
22	,1529.TW,樂事綠能,16.65,1.52,663,16.4,1.52
23	,1530.TW,亞崴,31,0,3,31,0
24	,1532.TW,勤美,26.9,0.37,119,26.8,0.37
25	,1536.TW,和大,76.5,2.27,2434,74.8,2.27
26	,1537.TW,廣隆,134,-1.11,92,135.5,-1.11
27	,1558.TW,伸興,108,0.47,61,107.5,0.47
28	,1565.TW,精華,212,0.47,86,211,0.47
29	,1569.TW,濱川,22.25,2.77,397,21.65,2.77
30	,1582.TW,信錦,59.7,1.19,92,59,1.19
31	,1583.TW,程泰,61.2,-0.65,9,61.6,-0.65
32	,1589.TW,永冠-KY,50.5,1.71,206,49.65,1.71
33	,1604.TW,聲寶,23.9,1.7,144,23.5,1.7
34	,1608.TW,華榮,13.45,4.67,1689,12.85,4.67
35	,1615.TW,大山,27.85,-0.36,17,27.95,-0.36
36	,1618.TW,合機,14.9,4.93,1203,14.2,4.93
