符合條件商品
資料日期：2022年  8月 11日
策略,	00買7654321
序號,	代碼,	商品,	成交,	漲幅%,	總量,	本比,	準確度
執行時間：2022-08-11 22:37 符合檔數(1442)
1	,4157.TW,太景*-KY,16.4,-0.3,2978,183,外
2	,6104.TW,創惟,113.5,-1.3,7357,145,自
3	,3035.TW,智原,155,4.03,21271,117,自
4	,3491.TW,昇達科,170.5,3.65,8083,111,融
5	,3141.TW,晶宏,109.5,0,3303,110,自
6	,6217.TW,中探針,59.4,-0.17,4141,103,自
7	,8155.TW,博智,114,0.44,3173,99,外
8	,1560.TW,中砂,157,3.97,11812,95,自
9	,1708.TW,東鹼,46.9,-1.37,5278,87,自
10	,3169.TW,亞信,123,0.41,1634,84,自
11	,3324.TW,雙鴻,154,-3.14,6759,84,外
12	,5425.TW,台半,80.2,-0.37,16561,84,外
13	,3624.TW,光頡,51.1,-2.29,3038,83,投
14	,6235.TW,華孚,40.7,-0.25,6993,82,外
15	,1732.TW,毛寶,29.35,0.86,370,81,投
16	,3017.TW,奇鋐,114.5,1.78,10756,81,自
17	,4739.TW,康普,118,0.43,1483,78,自
18	,3558.TW,神準,221,-3.49,7482,76,自
19	,8261.TW,富鼎,102.5,1.99,2719,74,自
20	,5258.TW,虹堡,66,0,18485,72,外
21	,2497.TW,怡利電,69.7,1.01,3811,71,融
22	,8440.TW,綠電,49,-1.01,650,71,外
23	,3508.TW,位速,42.3,-0.24,11892,70,融
24	,4931.TW,新盛力,35,-1.13,7978,69,外
25	,6138.TW,茂達,132,10,2194,69,自
26	,6531.TW,愛普*,190,3.83,3673,69,自
27	,3661.TW,世芯-KY,667,7.93,7176,68,外
28	,6548.TW,長科*,83.5,2.2,685,68,外
29	,3006.TW,晶豪科,77,0.65,3809,67,自
30	,6150.TW,撼訊,63.4,2.59,962,67,外
31	,8070.TW,長華*,33.6,2.6,1024,66,外
32	,2368.TW,金像電,79,-0.38,16381,65,自
33	,6411.TW,晶焱,106.5,0,1557,65,自
34	,6443.TW,元晶,36.75,0.96,39903,65,外
35	,1760.TW,寶齡富錦,114,-1.3,2295,64,外
36	,3596.TW,智易,121,-9.7,6013,64,自
37	,5351.TW,鈺創,47.15,-0.21,7402,64,自
