符合條件商品
資料日期：2022年  8月 11日
策略,	01融外自投每日總結
序號,	代碼,	商品,	成交,	漲幅%,	總量,	融資使用率,	外資持股比例,	自營商持股比例,	投信持股比例
執行時間：2022-08-11 22:33 符合檔數(1487)
1	,8097.TW,常珵,79,1.28,5292,83.2,2.2,2.11,1.51
2	,3252.TW,海灣,22.05,0,402,75.44,8.77,0,0
3	,3516.TW,亞帝歐,16.05,1.58,25,69.61,0.25,0,0
4	,4931.TW,新盛力,35,-1.13,7978,69.19,21.25,0.09,3.22
5	,3609.TW,三一東林,51.8,-0.19,37,68.5,0.27,0.03,0
6	,3290.TW,東浦,21.3,0.47,159,63.6,1.63,0,0
7	,1586.TW,和勤,37.7,0.13,295,63.23,1.67,0.33,0
8	,3207.TW,耀勝,37.05,-1.46,3167,61.76,11.76,0,0
9	,3232.TW,昱捷,29.15,0.17,92,60.41,4.97,0.87,0
10	,5291.TW,邑昇,38.7,0,41,58.04,1.51,0,0
11	,8171.TW,天宇,36.85,-2.9,588,57.34,1.43,0.03,0
12	,6217.TW,中探針,59.4,-0.17,4141,55.67,6.05,0.37,2.98
13	,8431.TW,匯鑽科,55.7,0,111,55.58,0.91,0.14,0.51
14	,4503.TW,金雨,36.5,2.38,783,54.55,3.04,0.14,0
15	,3141.TW,晶宏,109.5,0,3303,53.73,5.31,1.41,0
16	,3163.TW,波若威,59.1,-1.5,24401,53.65,8.54,1.09,0.6
17	,3230.TW,錦明,17,-0.29,387,53.42,0.5,0.1,0
18	,3483.TW,力致,59.6,3.11,498,52.64,2.67,0,0.45
19	,6104.TW,創惟,113.5,-1.3,7357,52.19,15.06,1.18,0.22
20	,5258.TW,虹堡,66,0,18485,50.39,4.32,0.15,3.42
21	,4971.TW,IET-KY,70.8,1.29,85,49.41,14.96,0.27,0.43
22	,6470.TW,宇智,71.2,0.99,3673,48.79,6.64,0.06,2.84
23	,6143.TW,振曜,55.6,9.88,4026,48.06,3.45,1.86,2
24	,8261.TW,富鼎,102.5,1.99,2719,47.85,6.83,1.74,0.02
25	,8027.TW,鈦昇,61.8,0.16,282,47.84,5.7,0.17,0.12
26	,8996.TW,高力,85.2,9.94,16227,47.71,12.21,2.14,3.76
27	,2482.TW,連宇,25.95,-4.95,27628,47.32,1.65,0.26,0.1
28	,3672.TW,康聯訊,34,-3.68,86,46.77,0.76,0.03,0
29	,2305.TW,全友,25.95,-9.9,3350,45.36,9.92,0.4,0.1
30	,4523.TW,永彰,28.15,-0.88,25,44.04,1.84,0.03,0
31	,1742.TW,台蠟,20.7,0.73,26,43.84,0.28,0.07,0
32	,6715.TW,嘉基,156.5,-3.69,832,43.34,5.25,0.23,0.01
33	,3511.TW,矽瑪,33.45,0.15,234,42.54,1.05,0.48,0
34	,3580.TW,友威科,64.4,0.78,555,42.53,4.68,0.04,0.19
35	,8071.TW,能率網通,19,1.06,619,41.82,3.6,0,0
36	,3169.TW,亞信,123,0.41,1634,40.52,1.69,0.75,0
37	,1316.TW,上曜,15.3,0,2650,40.19,1.63,0,0
38	,5011.TW,久陽,26.8,-1.83,1508,40.07,2.71,0.1,0
39	,4995.TW,晶達,36.25,0,110,39.35,2.93,0,0
40	,6205.TW,詮欣,77.9,3.45,1786,39.17,5.68,0.19,0
41	,3646.TW,艾恩特,26.1,0.19,51,38.89,6.69,0,0
42	,6485.TW,點序,81.7,0.86,270,38.76,8.56,1.44,0
43	,6129.TW,普誠,38.8,0,14454,38.24,3.16,0.75,0.21
44	,3317.TW,尼克森,62.5,1.13,565,38.13,1.98,0.37,0
45	,1524.TW,耿鼎,25.45,-2.86,66123,36.76,1.58,0.74,0
46	,6237.TW,驊訊,54.5,2.83,4862,36.69,1.27,1.98,0
47	,6229.TW,研通,28.8,-0.17,145,36.43,0.75,1.36,0
48	,3535.TW,晶彩科,25.3,-0.2,2619,36.08,2.84,1.24,0
49	,3441.TW,聯一光,44.15,-2.54,13980,36.07,2.32,0.27,0.35
50	,3491.TW,昇達科,170.5,3.65,8083,35.88,10.74,1.82,6.41
51	,5493.TW,三聯,51.8,0.78,53,35.51,0.53,0,0
52	,6223.TW,旺矽,94.3,0.86,3904,35.46,4.42,0.43,0
53	,2358.TW,廷鑫,14.25,-0.7,914,35.38,1.27,0.04,0
54	,3324.TW,雙鴻,154,-3.14,6759,35.11,9.52,1.74,3.47
55	,8054.TW,安國,37.6,0,813,34.43,1.99,0.54,0
56	,2726.TW,雅茗-KY,26.75,0,62,34.09,37.77,0,0
57	,2497.TW,怡利電,69.7,1.01,3811,33.98,2.6,0.46,0.37
58	,6235.TW,華孚,40.7,-0.25,6993,33.9,3.49,0.59,0.67
59	,3162.TW,精確,47.2,4.31,2191,33.74,51.11,0,0
60	,2013.TW,中鋼構,58.5,0.17,263,33.61,7.51,0.71,0.01
61	,4967.TW,十銓,29.55,3.32,1034,33.38,2.29,0.24,0
62	,3219.TW,倚強科,75,-1.32,6,33.25,2.31,0.01,0
63	,8099.TW,大世科,38.25,-0.13,41,33.22,1.65,0.29,0
64	,3296.TW,勝德,15.7,0.64,741,32.93,3.08,0.05,0
65	,6140.TW,訊達,17.95,0,194,32.85,0.31,0.33,0
66	,3631.TW,晟楠,42.15,1.08,3,32.79,11.36,0,0
67	,4168.TW,醣聯,26.75,-0.19,364,32.67,6.84,0.13,0
68	,6246.TW,臺龍,14.3,0.7,46,32.63,0.18,0,0
69	,6150.TW,撼訊,63.4,2.59,962,32.62,5.34,4.61,0
70	,3594.TW,磐儀,28.05,1.08,2292,32.58,2.13,0.13,1.78
71	,6494.TW,九齊,74.9,2.32,196,32.58,9.78,1.51,0
72	,3050.TW,鈺德,16.45,0.92,149,32.32,8.58,0.22,0
73	,3062.TW,建漢,29.8,-4.64,34004,32.1,14.63,0.88,0.01
74	,6111.TW,大宇資,82,-2.61,1220,32.08,18.86,0.45,0
75	,4716.TW,大立,15.4,0.98,137,31.92,0.92,0.08,0
76	,3006.TW,晶豪科,77,0.65,3809,31.56,14.25,1.7,0.21
77	,8222.TW,寶一,22.4,-1.32,3086,31.09,1.38,0.06,0
78	,3455.TW,由田,88.6,-3.06,4256,30.88,5.38,0.44,0.18
79	,3221.TW,台嘉碩,35.1,0.57,2330,30.77,6.11,0.3,0
80	,6118.TW,建達,46.1,-1.71,48240,30.74,2.1,1.52,0
81	,2498.TW,宏達電,63.8,2.9,76829,30.69,12.9,4.75,0.2
82	,3362.TW,先進光,77.5,-1.65,4918,30.46,1.54,1.79,0
83	,3548.TW,兆利,60.6,-0.98,285,30.36,7.73,0.57,0
84	,3310.TW,佳穎,41.3,-0.72,148,30.23,0.14,0,0
85	,3520.TW,華盈,18,-2.44,4586,30.23,4.9,0,0
86	,3224.TW,三顧,42.1,-1.75,157,30.22,0.98,0.09,0
87	,6290.TW,良維,55.7,-2.45,4336,30.21,4.44,0.71,0.31
88	,2736.TW,富野,26,-1.33,3141,29.78,2.91,0.3,0
89	,8024.TW,佑華,21,0,204,29.64,4.49,0.29,0
90	,6219.TW,富旺,11.55,0.87,1465,29.4,2.37,0,0
91	,3390.TW,旭軟,24.65,4.67,7287,29.37,2.83,0.05,0
92	,6133.TW,金橋,22.5,5.39,40996,29.3,10.24,0.35,0.14
93	,6165.TW,浪凡,27.7,-1.77,133,29.22,2.01,0.06,0
94	,5201.TW,凱衛,30.6,-0.16,19,29.15,5.58,0.13,0
95	,3432.TW,台端,22.65,0.22,4031,29.13,4.79,0.16,0
96	,9802.TW,鈺齊-KY,162,1.25,2687,29.04,45.48,0.24,5.98
97	,3508.TW,位速,42.3,-0.24,11892,28.74,0.64,2.57,0
98	,5245.TW,智晶,62.8,-0.48,560,28.46,12.13,0.7,0.18
99	,1810.TW,和成,10.9,0.46,1175,28.41,5.1,0.11,0
100	,3027.TW,盛達,18.25,-0.54,350,28.35,1.47,0.53,0
101	,3466.TW,致振,24.65,-2.95,286,28.26,9.76,0.4,0
102	,2457.TW,飛宏,37.9,-0.92,8241,27.96,4.37,1.24,0.01
103	,2476.TW,鉅祥,54,4.41,10120,27.83,2.44,0.34,0.17
104	,6531.TW,愛普*,190,3.83,3673,27.72,14.71,0.67,0.37
