符合條件商品
資料日期：2023年  4月 17日
策略,	10主力買比
序號,	代碼,	商品,	成交,	漲幅%,	總量,	主力買進比
執行時間：2023-04-17 23:39 符合檔數(553)
1	,4154.TW,樂威科-KY,29,-1.69,120,26.25
2	,3609.TW,三一東林,43.2,0.12,76,4.58
3	,2024.TW,志聯,19.45,0.26,28,4.39
4	,1258.TW,其祥-KY,26.75,0.19,64,4.32
5	,2033.TW,佳大,16.65,5.05,560,4.25
6	,2501.TW,國建,17.4,1.16,978,3.79
7	,1465.TW,偉全,14.3,0.35,42,3.16
8	,2540.TW,愛山林,79.3,1.02,694,3.16
9	,1305.TW,華夏,27.05,0.19,1352,3.12
10	,3672.TW,康聯訊,29,4.32,136,3.11
11	,6629.TW,泰金-KY,45.2,-0.66,8,3
12	,2330.TW,台積電,520,0.78,17896,2.96
13	,4958.TW,臻鼎-KY,113,0,2701,2.94
14	,6225.TW,天瀚,11.65,9.91,90,2.89
15	,2801.TW,彰銀,17.5,-0.57,8575,2.82
16	,2887.TW,台新金,17.2,0.29,11057,2.81
17	,6442.TW,光聖,54.8,2.43,322,2.8
18	,1110.TW,東泥,18.35,0,173,2.78
19	,2369.TW,菱生,15.6,1.63,1783,2.75
20	,4510.TW,高鋒,12.85,9.83,1539,2.75
21	,6136.TW,富爾特,19.6,3.16,896,2.72
22	,9946.TW,三發地產,13.45,6.75,1965,2.71
23	,2505.TW,國揚,18.55,0.27,385,2.66
24	,2429.TW,銘旺科,19.85,9.97,701,2.58
25	,9929.TW,秋雨,9.1,-0.22,59,2.51
26	,6426.TW,統新,64.9,-0.46,101,2.5
27	,9950.TW,萬國通,12.6,0.8,21,2.5
28	,2838.TW,聯邦銀,15.9,-0.31,321,2.45
29	,1104.TW,環泥,26.95,1.13,1496,2.41
30	,1236.TW,宏亞,23.7,0.21,198,2.4
31	,2506.TW,太設,9.41,0.75,428,2.38
32	,8039.TW,台虹,42.7,0.35,206,2.38
33	,2489.TW,瑞軒,10.4,0.97,1699,2.37
34	,2882.TW,國泰金,43.2,0.12,9907,2.36
35	,8923.TW,時報,20.65,-0.48,31,2.35
36	,8930.TW,青鋼,17.45,0.87,182,2.35
37	,2832.TW,台產,21.1,0.24,140,2.34
38	,6108.TW,競國,17.6,0.86,92,2.31
39	,8928.TW,鉅明,39.05,0.26,133,2.31
40	,5880.TW,合庫金,26.55,-0.19,6835,2.3
41	,4577.TW,達航科技,30.85,-0.16,13,2.26
42	,5529.TW,鉅陞,11.6,-2.93,75,2.25
43	,8114.TW,振樺電,111.5,-0.45,328,2.23
44	,8155.TW,博智,151.5,9.78,2053,2.21
45	,6175.TW,立敦,40.85,2.13,1306,2.19
46	,2633.TW,台灣高鐵,31.15,0.81,6290,2.19
47	,6191.TW,精成科,34.55,1.32,2613,2.18
48	,4535.TW,至興,39.3,0.77,14,2.17
49	,6015.TW,宏遠證,10.25,0.99,2062,2.13
50	,2524.TW,京城,31.95,0.16,46,2.1
51	,3556.TW,禾瑞亞,67.8,1.65,279,2.09
52	,4513.TW,福裕,19.9,4.46,1084,2.08
53	,6405.TW,悅城,22.6,-1.31,149,2.06
54	,5531.TW,鄉林,10.35,1.97,2696,2.05
55	,4114.TW,健喬,48.85,2.95,17068,2.04
56	,4173.TW,久裕,19.9,1.02,172,2.01
57	,3548.TW,兆利,68.7,1.78,631,2.01
58	,8038.TW,長園科,50.7,9.98,4854,2
59	,8435.TW,鉅邁,62.2,-0.16,32,2
60	,4533.TW,協易機,11.85,1.72,578,1.96
61	,2608.TW,嘉里大榮,38.8,0.91,419,1.95
62	,1717.TW,長興,34.6,7.62,14059,1.94
63	,8463.TW,潤泰材,25.8,2.58,248,1.94
64	,2371.TW,大同,33.6,0.6,5760,1.93
65	,3607.TW,谷崧,14.45,2.12,1026,1.91
66	,1210.TW,大成,52.8,1.73,5077,1.91
67	,8478.TW,東哥遊艇,558,4.1,722,1.9
68	,4160.TW,創源,30.55,2.69,103,1.87
69	,2912.TW,統一超,271,0,527,1.86
70	,2014.TW,中鴻,26.65,-0.19,5515,1.86
71	,3131.TW,弘塑,319,2.41,156,1.85
72	,6485.TW,點序,111,0.91,1293,1.84
73	,9941.TW,裕融,185,0.27,893,1.84
74	,8101.TW,華冠,5.5,0.92,36,1.83
75	,2729.TW,瓦城,247,1.86,372,1.83
76	,5488.TW,松普,14.05,9.77,4398,1.83
77	,1539.TW,巨庭,31.45,1.62,666,1.83
78	,4933.TW,友輝,35.65,0.71,70,1.81
79	,6215.TW,和椿,28.4,4.22,678,1.81
80	,6527.TW,明達醫,83.9,9.96,1081,1.8
81	,2892.TW,第一金,26.75,-0.37,8160,1.8
82	,1786.TW,科妍,70.8,1.58,316,1.8
83	,8927.TW,北基,42.75,1.66,786,1.79
84	,1710.TW,東聯,20.35,0.49,1043,1.79
85	,3004.TW,豐達科,105,9.49,2834,1.79
86	,2303.TW,聯電,52,1.36,31006,1.79
87	,3164.TW,景岳,25.2,0.4,288,1.78
88	,3046.TW,建碁,79.5,9.96,14972,1.78
89	,4552.TW,力達-KY,34.5,1.77,380,1.78
90	,6752.TW,叡揚,150,9.89,1457,1.77
91	,2070.TW,精湛,36,-0.69,51,1.77
92	,3059.TW,華晶科,36.1,1.4,1892,1.77
93	,3557.TW,嘉威,67.6,1.65,234,1.77
94	,6292.TW,迅德,45.15,0.67,63,1.77
95	,3596.TW,智易,106,0.95,686,1.76
96	,4550.TW,長佳,35.8,9.98,1434,1.76
97	,4939.TW,亞電,16.7,0.91,310,1.76
98	,3188.TW,鑫龍騰,14.15,1.07,257,1.76
99	,8021.TW,尖點,30.1,1.69,343,1.76
100	,5392.TW,能率,22.15,3.5,720,1.75
101	,4915.TW,致伸,61.6,1.32,4531,1.75
102	,1259.TW,安心,74.1,0,9,1.75
103	,2426.TW,鼎元,19.35,1.04,1098,1.75
104	,2481.TW,強茂,72.2,3.29,6484,1.74
105	,3444.TW,利機,63,1.94,460,1.74
106	,1783.TW,和康生,59.1,4.6,2113,1.74
