符合條件商品
資料日期：2023年  4月 19日
策略,	11主力賣比
序號,	代碼,	商品,	成交,	漲幅%,	總量,	主力賣出比
執行時間：2023-04-19 22:52 符合檔數(588)
1	,1102.TW,亞泥,43.3,-0.69,4548,1.58
2	,1110.TW,東泥,18.3,0,168,2.52
3	,1215.TW,卜蜂,94.2,-0.74,2225,1.54
4	,1217.TW,愛之味,11.3,-0.44,927,2.36
5	,1218.TW,泰山,30,-0.33,989,1.51
6	,1219.TW,福壽,21.1,-0.71,1460,2.71
7	,1220.TW,台榮,16.55,-1.19,465,2.37
8	,1225.TW,福懋油,60.9,-0.49,101,1.49
9	,1227.TW,佳格,40.2,-0.74,1387,1.5
10	,1229.TW,聯華,59.7,-0.17,1048,1.41
11	,1232.TW,大統益,148.5,-0.67,48,2.7
12	,1301.TW,台塑,92.5,-0.54,6851,1.5
13	,1305.TW,華夏,26.15,-2.24,1483,2.5
14	,1307.TW,三芳,21.1,0.24,171,2.54
15	,1309.TW,台達化,20.95,-0.71,701,2.39
16	,1310.TW,台苯,14.85,-2.3,1038,1.55
17	,1313.TW,聯成,14.85,-0.67,1111,1.51
18	,1323.TW,永裕,32.95,-0.6,90,1.52
19	,1325.TW,恆大,23.85,0.21,122,1.4
20	,1336.TW,台翰,27.35,-1.26,424,1.47
21	,1337.TW,再生-KY,7.16,-1.65,756,1.44
22	,1339.TW,昭輝,44.7,-0.67,319,1.85
23	,1340.TW,勝悅-KY,11.25,0,568,1.45
24	,1414.TW,東和,17.75,0.28,145,2.13
25	,1416.TW,廣豐,11.7,-0.85,1212,2.69
26	,1418.TW,東華,15.9,0.63,60,1.46
27	,1419.TW,新紡,40.35,-0.37,127,1.46
28	,1432.TW,大魯閣,16,-0.93,405,1.49
29	,1437.TW,勤益控,28.95,-1.03,561,1.39
30	,1438.TW,三地開發,31.5,-0.94,289,2.33
31	,1440.TW,南紡,16.95,-0.29,1019,1.66
32	,1442.TW,名軒,33.15,-1.04,629,1.9
33	,1446.TW,宏和,32.1,-0.47,131,1.48
34	,1449.TW,佳和,15.65,0.32,138,1.68
35	,1455.TW,集盛,10.8,0,625,1.88
36	,1456.TW,怡華,15.9,-1.24,117,1.58
37	,1459.TW,聯發,9.08,0,73,1.92
38	,1460.TW,宏遠,7.96,-1.36,1685,1.51
39	,1506.TW,正道,21.4,0,247,1.35
40	,1512.TW,瑞利,14.35,-0.35,102,2.15
41	,1517.TW,利奇,19.9,-0.25,236,1.48
42	,1525.TW,江申,67.5,-4.12,192,1.51
43	,1526.TW,日馳,41.6,-0.48,247,2.33
44	,1530.TW,亞崴,33.85,-0.44,67,2.28
45	,1532.TW,勤美,35.2,-0.14,456,1.91
46	,1533.TW,車王電,57.4,-2.05,4324,1.62
47	,1538.TW,正峰,10.9,1.4,69,2.2
48	,1539.TW,巨庭,30.65,-1.92,514,1.52
49	,1540.TW,喬福,16.7,-1.18,436,3.07
50	,1560.TW,中砂,114,-2.15,1362,1.64
51	,1569.TW,濱川,24.8,-1,288,2.09
52	,1570.TW,力肯,18.35,0,88,1.55
53	,1586.TW,和勤,34.25,0.15,122,1.86
54	,1593.TW,祺驊,78.8,-0.38,28,1.62
55	,1603.TW,華電,27.2,-1.09,635,1.63
56	,1614.TW,三洋電,37.3,-0.13,47,2.2
57	,1626.TW,艾美特-KY,18.45,-0.54,146,2.2
58	,1702.TW,南僑,47.6,-1.14,321,1.85
59	,1708.TW,東鹼,42.35,-0.7,1665,1.83
60	,1709.TW,和益,25.75,-1.34,1941,1.83
61	,1710.TW,東聯,19.9,-0.5,743,1.87
62	,1713.TW,國化,29.8,0.17,137,1.55
63	,1717.TW,長興,33.75,-0.15,2711,1.47
64	,1718.TW,中纖,8.32,-1.07,3374,1.57
65	,1722.TW,台肥,57,-0.7,2140,2.56
66	,1742.TW,台蠟,14.8,0.34,54,2.88
67	,1762.TW,中化生,93.9,-0.53,3297,1.42
68	,1776.TW,展宇,16.9,-0.29,26,1.53
69	,1785.TW,光洋科,37.1,-1.72,1979,1.43
70	,1805.TW,寶徠,10.1,0,10,1.8
71	,1806.TW,冠軍,9.16,-2.03,1104,1.64
72	,1809.TW,中釉,14.9,-1.32,3238,1.35
73	,1810.TW,和成,27.8,0.36,53663,1.36
74	,1813.TW,寶利徠,22.3,0.45,72,1.42
75	,1904.TW,正隆,28.4,-1.22,869,1.74
76	,1905.TW,華紙,17.4,-1.42,1898,1.92
77	,1906.TW,寶隆,15.9,-0.93,452,1.8
78	,1909.TW,榮成,17.4,-1.42,1722,1.4
79	,2010.TW,春源,16.2,0.31,527,2.07
80	,2012.TW,春雨,27.15,-0.55,119,1.68
81	,2014.TW,中鴻,26.15,-1.51,7467,1.65
82	,2015.TW,豐興,69.7,-0.29,386,1.6
83	,2017.TW,官田鋼,17.7,-1.12,1019,1.35
84	,2025.TW,千興,5.55,0.91,248,2.33
85	,2027.TW,大成鋼,45.05,-0.66,8050,1.58
86	,2030.TW,彰源,23.05,-0.65,1275,2.14
87	,2031.TW,新光鋼,46.35,-1.8,1340,2.08
88	,2034.TW,允強,29.5,-0.17,657,1.57
89	,2038.TW,海光,21.45,-1.38,482,1.7
90	,2062.TW,橋椿,22.75,-0.22,131,1.51
91	,2063.TW,世鎧,43.35,-0.12,448,4.8
92	,2064.TW,晉椿,18,-0.83,25,2.88
93	,2070.TW,精湛,34.4,-1.29,165,1.56
94	,2101.TW,南港,38.95,-1.14,1172,2.95
95	,2107.TW,厚生,21.95,-0.23,220,2.09
96	,2109.TW,華豐,14.1,-1.05,145,4.28
97	,2114.TW,鑫永銓,99.7,-0.1,36,1.43
98	,2201.TW,裕隆,83.2,-2.92,41131,1.61
99	,2204.TW,中華,69.5,-0.43,3403,1.43
100	,2208.TW,台船,26.35,-3.48,27027,1.75
101	,2211.TW,長榮鋼,59.1,-0.51,626,1.64
102	,2227.TW,裕日車,195.5,-1.01,31,1.47
103	,2228.TW,劍麟,86.3,-1.03,325,1.55
104	,2243.TW,宏旭-KY,21.5,-2.71,946,1.84
105	,2303.TW,聯電,51.2,-1.73,43662,1.99
106	,2313.TW,華通,43.8,-1.79,13453,1.76
107	,2323.TW,中環,8.32,0.24,3673,1.46
108	,2329.TW,華泰,21.3,-0.93,4009,1.56
109	,2331.TW,精英,23.8,0.21,9938,1.37
110	,2337.TW,旺宏,33.95,-1.02,7391,1.89
111	,2338.TW,光罩,83.6,-1.88,4900,2.17
112	,2340.TW,台亞,37.75,-0.79,2163,1.58
113	,2344.TW,華邦電,25.8,-0.77,14749,1.45
114	,2347.TW,聯強,61.7,-1.12,2452,2.1
115	,2348.TW,海悅,68.2,-0.58,104,1.69
116	,2355.TW,敬鵬,32.8,0.61,875,1.5
117	,2357.TW,華碩,278.5,0,1557,1.63
118	,2358.TW,廷鑫,9.51,-1.14,1206,1.97
119	,2360.TW,致茂,174,-2.25,1805,1.74
120	,2363.TW,矽統,18.05,-1.9,2898,2.46
121	,2364.TW,倫飛,107.5,-2.27,536,1.36
122	,2367.TW,燿華,18.65,-0.27,2338,2.09
123	,2369.TW,菱生,15.5,-1.27,1160,1.5
124	,2371.TW,大同,32.9,-1.2,4707,1.87
125	,2373.TW,震旦行,80.4,-0.5,68,1.38
126	,2380.TW,虹光,10.35,-0.48,871,3.41
127	,2383.TW,台光電,176.5,-3.02,2061,1.43
128	,2393.TW,億光,40.15,-0.62,835,2.07
129	,2395.TW,研華,374,0.81,659,2.08
130	,2401.TW,凌陽,25.3,-1.17,2060,1.39
131	,2409.TW,友達,18.25,-2.67,41228,1.4
132	,2412.TW,中華電,124.5,-1.19,7576,1.77
133	,2424.TW,隴華,22.65,-1.52,25,1.44
134	,2428.TW,興勤,157,-1.88,688,1.4
135	,2439.TW,美律,88.7,-0.89,648,1.88
136	,2440.TW,太空梭,11.7,-0.85,207,1.85
137	,2451.TW,創見,71,-1.8,790,1.9
138	,2453.TW,凌群,77.7,0.78,19128,1.36
139	,2458.TW,義隆,100,-1.48,1226,2.34
140	,2459.TW,敦吉,57.4,0.17,33,1.68
141	,2460.TW,建通,23.85,-4.02,1549,1.69
142	,2464.TW,盟立,37.95,-0.65,190,1.62
143	,2478.TW,大毅,50.1,-0.4,238,1.82
144	,2481.TW,強茂,70.6,-1.4,3012,1.38
145	,2484.TW,希華,37.4,-1.06,2136,1.51
