符合條件商品
資料日期：2023年  4月 20日
策略,	00統計2021年資料
序號,	代碼,	商品,	成交,	漲幅%,	總量,	漲停板的次數
執行時間：2023-04-21 00:24 符合檔數(1711)
1	,1101.TW,台泥,37.2,0.27,17578,0
2	,1102.TW,亞泥,43.5,0.46,2529,0
3	,1103.TW,嘉泥,19.7,-0.25,342,0
4	,1104.TW,環泥,27.05,-0.18,3734,0
5	,1108.TW,幸福,15.4,-2.53,1926,2
6	,1109.TW,信大,17.45,-0.29,64,0
7	,1110.TW,東泥,17.85,-2.46,286,0
8	,1201.TW,味全,20,-0.74,501,0
9	,1203.TW,味王,37.95,0.4,50,0
10	,1210.TW,大成,52,-1.14,1373,0
11	,1213.TW,大飲,7.4,0.41,110,0
12	,1215.TW,卜蜂,92.3,-2.02,2290,0
13	,1216.TW,統一,72.5,-1.49,6982,0
14	,1217.TW,愛之味,11.15,-1.33,1397,1
15	,1218.TW,泰山,29.25,-2.5,2807,3
16	,1219.TW,福壽,21.1,0,1081,4
17	,1220.TW,台榮,16.4,-0.91,397,4
18	,1225.TW,福懋油,60.7,-0.33,81,0
19	,1227.TW,佳格,40.15,-0.12,1020,0
20	,1229.TW,聯華,60.5,1.34,1520,0
21	,1231.TW,聯華食,91,-1.09,176,0
22	,1232.TW,大統益,149.5,0.67,116,0
23	,1233.TW,天仁,35.1,0,24,0
24	,1234.TW,黑松,36.05,-0.28,245,0
25	,1235.TW,興泰,70,0,2,3
26	,1236.TW,宏亞,23.6,-0.21,65,6
27	,1240.TW,茂生農經,46.2,-0.86,21,4
28	,1256.TW,鮮活果汁-KY,301.5,-2.43,50,1
29	,1258.TW,其祥-KY,26.8,0,30,11
30	,1259.TW,安心,74.1,0,17,0
31	,1264.TW,德麥,274.5,0,7,0
32	,1268.TW,漢來美食,145,-3.33,555,1
33	,1301.TW,台塑,92.1,-0.43,5089,0
34	,1303.TW,南亞,77,0,3219,0
35	,1304.TW,台聚,25.35,-1.93,1972,0
36	,1305.TW,華夏,25.55,-2.29,2129,1
37	,1307.TW,三芳,20.95,-0.71,125,0
38	,1308.TW,亞聚,28,-1.41,2655,0
39	,1309.TW,台達化,20.75,-0.95,634,1
40	,1310.TW,台苯,14.85,0,551,0
41	,1312.TW,國喬,20.25,0.25,2209,1
42	,1313.TW,聯成,14.8,-0.34,771,0
43	,1314.TW,中石化,10.2,0.99,20398,2
44	,1315.TW,達新,70.1,-0.28,11,0
45	,1316.TW,上曜,13.55,-2.87,2273,2
46	,1319.TW,東陽,47.15,-3.38,5116,0
47	,1321.TW,大洋,34,-9.57,4146,0
48	,1323.TW,永裕,33,0.15,98,0
49	,1324.TW,地球,11.45,-0.43,13,1
50	,1325.TW,恆大,23.85,0,104,5
51	,1326.TW,台化,68.8,-0.58,1477,0
52	,1336.TW,台翰,26.45,-3.29,498,4
53	,1337.TW,再生-KY,7.13,-0.42,284,1
54	,1338.TW,廣華-KY,45.25,-1.31,95,0
55	,1339.TW,昭輝,44.05,-1.45,327,0
56	,1340.TW,勝悅-KY,11.05,-1.78,165,1
57	,1341.TW,富林-KY,69.7,0,16,0
58	,1342.TW,八貫,148.5,-3.57,1472,7
59	,1402.TW,遠東新,31.45,-0.79,6155,0
60	,1409.TW,新纖,18.1,1.69,7976,0
61	,1410.TW,南染,38.6,-1.78,57,2
62	,1413.TW,宏洲,9.51,-0.11,11,2
63	,1414.TW,東和,17.8,0.28,39,0
64	,1416.TW,廣豐,11.5,-1.71,298,0
65	,1417.TW,嘉裕,14.25,-2.06,1772,5
66	,1418.TW,東華,15.95,0.31,24,2
67	,1419.TW,新紡,40.3,-0.12,226,0
68	,1423.TW,利華,21.05,-0.47,123,1
69	,1432.TW,大魯閣,15.65,-2.19,443,18
70	,1434.TW,福懋,28.15,-0.18,603,0
71	,1436.TW,華友聯,57.3,-0.35,32,0
72	,1437.TW,勤益控,28.65,-1.04,485,1
73	,1438.TW,三地開發,31.35,-0.48,137,2
74	,1439.TW,雋揚,21.95,-1.13,10,3
75	,1440.TW,南紡,16.8,-0.88,1031,0
76	,1441.TW,大東,8.09,-0.37,33,0
77	,1442.TW,名軒,32.3,-2.56,1114,0
78	,1443.TW,立益物流,29.75,-2.14,34,8
79	,1444.TW,力麗,10.9,-1.36,3753,0
80	,1445.TW,大宇,19,0.26,214,0
81	,1446.TW,宏和,31.6,-1.56,99,0
82	,1447.TW,力鵬,8.04,-0.74,942,0
83	,1449.TW,佳和,15.4,-1.6,157,15
84	,1451.TW,年興,23,0,323,0
85	,1452.TW,宏益,17.6,0,136,0
86	,1453.TW,大將,15.6,-3.11,418,25
87	,1454.TW,台富,13.4,-0.74,21,3
88	,1455.TW,集盛,10.65,-1.39,578,0
89	,1456.TW,怡華,15.7,-1.26,52,0
90	,1457.TW,宜進,18.6,-0.53,545,0
91	,1459.TW,聯發,9.06,-0.22,49,2
92	,1460.TW,宏遠,7.8,-2.01,1536,0
93	,1463.TW,強盛,14.45,0,208,0
94	,1464.TW,得力,14.9,-0.33,210,1
95	,1465.TW,偉全,14.2,-0.35,7,0
96	,1466.TW,聚隆,11.65,0,91,0
97	,1467.TW,南緯,11.5,-0.43,561,0
98	,1468.TW,昶和,14.95,0.67,32,3
99	,1470.TW,大統新創,19.25,0,38,14
100	,1471.TW,首利,10,0.5,7800,10
101	,1472.TW,三洋實業,27.95,4.1,3,5
102	,1473.TW,台南,22.7,-0.66,165,0
103	,1474.TW,弘裕,12.55,-1.18,78,1
104	,1475.TW,業旺,55.5,0.18,32,8
105	,1476.TW,儒鴻,485.5,-1.02,208,0
106	,1477.TW,聚陽,218,-2.46,933,1
107	,1503.TW,士電,95.1,-2.76,6574,4
108	,1504.TW,東元,44,-2.22,20971,2
109	,1506.TW,正道,21.05,-1.64,214,8
110	,1512.TW,瑞利,13.8,-3.83,17,15
111	,1513.TW,中興電,105.5,-2.31,17841,3
112	,1514.TW,亞力,50,-2.15,8452,3
113	,1515.TW,力山,29.15,-2.35,478,3
114	,1516.TW,川飛,20.4,-0.24,380,3
115	,1517.TW,利奇,19.6,-1.51,641,2
116	,1519.TW,華城,97.1,-1.92,16488,7
117	,1521.TW,大億,38.2,-0.91,40,2
118	,1522.TW,堤維西,30.7,-0.65,4097,1
119	,1524.TW,耿鼎,24.6,-2.57,4454,11
120	,1525.TW,江申,68.6,1.63,103,1
121	,1526.TW,日馳,40.85,-1.8,470,2
122	,1527.TW,鑽全,42.4,-1.17,363,0
123	,1528.TW,恩德,11.35,-2.58,2681,1
124	,1529.TW,樂事綠能,39.35,-6.86,6021,16
125	,1530.TW,亞崴,33.4,-1.33,52,0
126	,1531.TW,高林股,14.55,-1.02,107,0
127	,1532.TW,勤美,34.55,-1.85,1054,0
128	,1533.TW,車王電,54.2,-5.57,1865,4
129	,1535.TW,中宇,53.4,-2.73,464,0
130	,1536.TW,和大,72,-1.91,980,1
131	,1537.TW,廣隆,142.5,0,66,0
132	,1538.TW,正峰,10.9,0,748,12
133	,1539.TW,巨庭,29.65,-3.26,906,14
134	,1540.TW,喬福,16.6,-0.6,415,1
135	,1541.TW,錩泰,34.85,-1.83,22,6
136	,1558.TW,伸興,113.5,0.89,80,0
137	,1560.TW,中砂,112.5,-1.32,1137,8
138	,1565.TW,精華,256,-1.35,137,1
