符合條件商品
資料日期：2023年  4月 20日
策略,	A03大於3倍日均量
序號,	代碼,	商品,	成交,	漲幅%,	總量
執行時間：2023-04-21 00:07 符合檔數(99)
1	,1321.TW,大洋,34,-9.57,4146
2	,1409.TW,新纖,18.1,1.69,7976
3	,1457.TW,宜進,18.6,-0.53,545
4	,1538.TW,正峰,10.9,0,748
5	,1616.TW,億泰,10,9.65,5332
6	,1617.TW,榮星,15.55,1.97,112
7	,1710.TW,東聯,20.3,2.01,10365
8	,1711.TW,永光,19.35,1.57,7381
9	,1760.TW,寶齡富錦,176.5,-6.61,26243
10	,1783.TW,和康生,59.7,-3.86,8960
11	,1784.TW,訊聯,57.4,1.23,5905
12	,1786.TW,科妍,75.5,2.86,4347
13	,1810.TW,和成,27.1,-2.52,48490
14	,1903.TW,士紙,43.8,-0.11,2610
15	,1904.TW,正隆,29.45,3.7,12798
16	,1905.TW,華紙,19.1,9.77,14226
17	,1906.TW,寶隆,16.25,2.2,3753
18	,1907.TW,永豐餘,30,8.11,27645
19	,1909.TW,榮成,17.6,1.15,26605
20	,2031.TW,新光鋼,48.8,5.29,11619
21	,2063.TW,世鎧,41.15,-5.07,520
22	,2204.TW,中華,75,7.91,32331
23	,2314.TW,台揚,47.5,-8.3,10559
24	,2484.TW,希華,38.4,2.67,11645
25	,2535.TW,達欣工,30.75,-1.6,5966
26	,2724.TW,富驛-KY,13.05,-6.12,11
27	,2732.TW,六角,172.5,-8.97,6260
28	,2754.TW,亞洲藏壽司,169,-8.65,6359
29	,2849.TW,安泰銀,14.85,0.68,202
30	,2913.TW,農林,23.9,9.63,35956
31	,3031.TW,佰鴻,18.8,-0.27,1240
32	,3064.TW,泰偉,12.8,-7.25,30
33	,3078.TW,僑威,54.7,-3.53,35343
34	,3092.TW,鴻碩,38.35,-5.54,5805
35	,3149.TW,正達,19.65,6.22,4091
36	,3205.TW,佰研,45.8,2.92,5328
37	,3234.TW,光環,24.1,-6.04,6530
38	,3284.TW,太普高,16.1,5.23,712
39	,3332.TW,幸康,48.5,-4.34,201
40	,3466.TW,致振,37.4,0.94,4343
41	,3501.TW,維熹,57.6,6.08,4310
42	,3522.TW,御頂,15.5,1.97,1701
43	,3580.TW,友威科,57.3,-4.82,1418
44	,3686.TW,達能,16.25,-7.14,3106
45	,4102.TW,永日,31.4,0.64,4200
46	,4121.TW,優盛,25.5,0.39,2936
47	,4123.TW,晟德,50.1,-0.6,14472
48	,4133.TW,亞諾法,37.05,-1.46,677
49	,4160.TW,創源,33.75,1.2,703
50	,4167.TW,松瑞藥,19.25,-3.02,7325
51	,4419.TW,元勝,23.75,9.95,284
52	,4513.TW,福裕,20.25,1.76,1108
53	,4529.TW,淳紳,10.65,5.45,424
54	,4726.TW,永昕,39.1,-2.74,2343
55	,4741.TW,泓瀚,30,9.89,805
56	,4747.TW,強生,59.5,-1.16,7029
57	,4767.TW,誠泰科技,26.3,-2.41,76
58	,4905.TW,台聯電,51,0,81
59	,4924.TW,欣厚-KY,13.85,4.14,682
60	,4931.TW,新盛力,49.15,3.58,10670
61	,4934.TW,太極,32.55,-7.66,12908
62	,5227.TW,立凱-KY,73,3.55,5761
63	,5234.TW,達興材料,94.5,4.07,2811
64	,5243.TW,乙盛-KY,71.4,2.29,14767
65	,5251.TW,天鉞電,21.9,-3.52,768
66	,5301.TW,寶得利,13.8,7.81,1613
67	,5302.TW,太欣,10,9.65,2507
68	,5345.TW,天揚,5.2,-0.95,40
69	,5455.TW,昇益,28.2,-0.18,2
70	,5487.TW,通泰,25.25,0,32
71	,5498.TW,凱崴,11.15,0.45,2207
72	,5704.TW,老爺知,63,0.32,1885
73	,6134.TW,萬旭,27.75,1.28,13701
74	,6165.TW,浪凡,30.3,-3.66,591
75	,6215.TW,和椿,29.8,4.93,3838
76	,6218.TW,豪勉,24.2,10,10244
77	,6244.TW,茂迪,40,-3.38,77758
78	,6282.TW,康舒,44.1,1.15,159161
79	,6404.TW,通訊-KY,21.8,1.4,37
80	,6470.TW,宇智,70.3,0.28,8916
81	,6612.TW,奈米醫材,169,-5.32,6117
82	,6666.TW,羅麗芬-KY,89.3,-3.25,986
83	,6679.TW,鈺太,303,-0.66,2150
84	,6689.TW,伊雲谷,136.5,0.74,2713
85	,6690.TW,安碁資訊,207.5,-5.68,2737
86	,6712.TW,長聖,227.5,-1.09,7306
87	,6743.TW,安普新,62.5,0.16,1653
88	,6752.TW,叡揚,143,-7.14,2917
89	,6768.TW,志強-KY,70,-3.05,985
90	,6790.TW,永豐實,38.6,0.52,1819
91	,6841.TW,長佳智能,118.5,-1.66,9454
92	,6865.TW,偉康科技,114,1.79,660
93	,6874.TW,倍力,150,9.89,4252
94	,8038.TW,長園科,56.2,9.98,7576
95	,8111.TW,立碁,24.45,-3.74,12172
96	,8426.TW,紅木-KY,44.65,-7.75,1366
97	,8436.TW,大江,219,-4.37,6766
98	,8443.TW,阿瘦,11.75,0,776
99	,8935.TW,邦泰,12.55,5.46,948
