符合條件商品
資料日期：2023年  4月 20日
策略,	01主力買進股
序號,	代碼,	商品,	成交,	漲幅%,	總量,	主力買進比
執行時間：2023-04-20 23:57 符合檔數(641)
1	,4950.TW,牧東,18.2,0,910,4.47
2	,2845.TW,遠東銀,11.15,0,3228,3.07
3	,2838.TW,聯邦銀,15.8,-0.94,661,2.65
4	,3050.TW,鈺德,15.7,-3.09,930,2.44
5	,6733.TW,博晟生醫,43.15,9.94,2868,2.37
6	,1409.TW,新纖,18.1,1.69,7976,2.21
7	,2897.TW,王道銀行,10.15,0,6642,2.02
8	,2903.TW,遠百,22.15,-0.45,1290,1.97
9	,2317.TW,鴻海,104.5,0.48,19945,1.91
10	,8440.TW,綠電,49.65,-1.88,5259,1.9
11	,6005.TW,群益證,13.7,-1.08,9640,1.81
12	,2641.TW,正德,19.4,-0.51,1943,1.79
13	,9941.TW,裕融,186,-0.27,683,1.77
14	,2834.TW,臺企銀,13.8,-0.36,13875,1.74
15	,2801.TW,彰銀,17.55,0.29,2347,1.69
16	,6269.TW,台郡,98.5,-1.5,2091,1.68
17	,3035.TW,智原,191,1.33,8866,1.67
18	,6218.TW,豪勉,24.2,10,10244,1.62
19	,1104.TW,環泥,27.05,-0.18,3734,1.61
20	,9919.TW,康那香,18,-1.64,5993,1.59
21	,3711.TW,日月光投控,103.5,0,11745,1.58
22	,1618.TW,合機,18.65,-1.06,3108,1.57
23	,8038.TW,長園科,56.2,9.98,7576,1.56
24	,4958.TW,臻鼎-KY,111.5,0.45,2161,1.55
25	,1229.TW,聯華,60.5,1.34,1520,1.55
26	,2330.TW,台積電,513,0.59,21003,1.53
27	,2888.TW,新光金,8.46,-0.35,18112,1.48
28	,1584.TW,精剛,41,-7.24,9821,1.47
29	,2358.TW,廷鑫,9.43,-0.84,446,1.46
30	,1444.TW,力麗,10.9,-1.36,3753,1.45
31	,3017.TW,奇鋐,147.5,-2.32,10980,1.44
32	,2731.TW,雄獅,174,-3.87,4379,1.43
33	,6116.TW,彩晶,13,0.78,9707,1.42
34	,2301.TW,光寶科,72.9,-0.41,4631,1.41
35	,2022.TW,聚亨,8.55,0.83,1330,1.41
