符合條件商品
資料日期：2023年  4月 20日
策略,	01主力賣出股
序號,	代碼,	商品,	成交,	漲幅%,	總量,	主力賣出比
執行時間：2023-04-20 23:58 符合檔數(641)
1	,4716.TW,大立,12.5,-0.4,608,3.82
2	,3432.TW,台端,13.3,-3.62,1204,3.51
3	,1467.TW,南緯,11.5,-0.43,561,3.48
4	,2892.TW,第一金,26.8,-0.19,6393,3.03
5	,2618.TW,長榮航,26.25,-1.5,19311,2.86
6	,2385.TW,群光,95.1,-0.31,1033,2.86
7	,1216.TW,統一,72.5,-1.49,6982,2.83
8	,1440.TW,南紡,16.8,-0.88,1031,2.81
9	,2340.TW,台亞,37,-1.99,2306,2.74
10	,1316.TW,上曜,13.55,-2.87,2273,2.66
11	,6120.TW,達運,10.65,-4.05,2925,2.63
12	,1712.TW,興農,36.5,-2.01,1857,2.6
13	,5905.TW,南仁湖,11.9,-2.06,985,2.6
14	,2498.TW,宏達電,59.6,-3.4,17489,2.54
15	,6770.TW,力積電,31,-3.43,33496,2.53
16	,6152.TW,百一,12,-0.83,1464,2.53
17	,2885.TW,元大金,22.3,-0.67,8458,2.51
18	,6257.TW,矽格,54.2,-1.81,2051,2.46
19	,2851.TW,中再保,18.15,-0.55,1029,2.46
20	,6443.TW,元晶,38.55,-3.02,34385,2.43
21	,5483.TW,中美晶,149,-1.65,3433,2.4
22	,1402.TW,遠東新,31.45,-0.79,6155,2.4
23	,2534.TW,宏盛,22.35,-0.22,3270,2.37
24	,6109.TW,亞元,17.55,-5.9,2193,2.36
25	,1524.TW,耿鼎,24.6,-2.57,4454,2.35
26	,8933.TW,愛地雅,12.4,-1.2,1496,2.32
27	,4552.TW,力達-KY,32.55,-2.54,427,2.29
28	,3047.TW,訊舟,16.8,-3.17,8955,2.29
29	,5522.TW,遠雄,57.6,-0.35,646,2.28
30	,4915.TW,致伸,60.5,-1.47,3757,2.28
31	,6589.TW,台康生技,115,-4.56,4133,2.25
32	,2884.TW,玉山金,24.9,-0.6,12648,2.21
33	,1608.TW,華榮,16.25,-4.69,2932,2.21
34	,4128.TW,中天,65.3,-2.68,5976,2.19
35	,3710.TW,連展投控,11.95,-2.45,2811,2.17
36	,2702.TW,華園,23.6,-3.28,642,2.15
37	,8936.TW,國統,27.6,-3.66,6404,2.14
38	,5521.TW,工信,7.78,-2.75,1464,2.1
39	,4114.TW,健喬,46.5,-4.71,20078,2.09
40	,2462.TW,良得電,31.8,-3.93,814,2.09
41	,6153.TW,嘉聯益,24.1,-1.63,2340,2.08
42	,2387.TW,精元,44.3,-0.78,1236,2.08
43	,1609.TW,大亞,27.8,-2.11,19477,2.07
44	,8940.TW,新天地,25.05,-9.89,2276,2.07
45	,5381.TW,合正,19.4,-3.48,1147,2.07
46	,4934.TW,太極,32.55,-7.66,12908,2.05
47	,6606.TW,建德工業,29.6,-4.52,958,2.05
48	,6133.TW,金橋,22.65,-1.74,2004,2.05
49	,2481.TW,強茂,69.2,-1.98,3546,2.04
50	,6176.TW,瑞儀,112.5,-1.32,2225,2.02
51	,3057.TW,喬鼎,11.9,-3.25,480,2.02
52	,9945.TW,潤泰新,35.05,-1.13,4841,2.01
53	,2105.TW,正新,36.9,-1.34,3804,2
54	,1717.TW,長興,33.3,-1.33,2466,2
55	,2367.TW,燿華,18.15,-2.68,5019,2
56	,3322.TW,建舜電,22.25,-6.12,4522,1.98
57	,6789.TW,采鈺,231.5,-2.73,1026,1.98
58	,2535.TW,達欣工,30.75,-1.6,5966,1.97
59	,6125.TW,廣運,31.1,-2.96,5996,1.96
60	,1714.TW,和桐,9.13,-1.72,1362,1.96
61	,2736.TW,富野,23.1,-3.35,1132,1.95
62	,2474.TW,可成,181.5,-0.55,1131,1.94
63	,3686.TW,達能,16.25,-7.14,3106,1.94
64	,3706.TW,神達,27.85,-0.36,2872,1.94
65	,1528.TW,恩德,11.35,-2.58,2681,1.93
66	,2030.TW,彰源,22.65,-1.74,1612,1.93
67	,3518.TW,柏騰,32.05,-3.9,1887,1.93
68	,2376.TW,技嘉,134,-0.37,2914,1.92
69	,2444.TW,兆勁,16.9,-4.79,2054,1.92
70	,2504.TW,國產,27.4,-1.44,2872,1.92
71	,3042.TW,晶技,86,-1.38,1564,1.92
72	,4953.TW,緯軟,119,-5.56,4830,1.91
73	,9938.TW,百和,57.1,-1.72,1220,1.91
74	,3707.TW,漢磊,83.5,-3.47,6059,1.91
75	,3290.TW,東浦,27.55,-3.5,3908,1.91
76	,5251.TW,天鉞電,21.9,-3.52,768,1.91
77	,1308.TW,亞聚,28,-1.41,2655,1.91
78	,3552.TW,同致,150,-3.23,910,1.9
79	,9962.TW,有益,20.3,-2.64,1370,1.88
80	,4167.TW,松瑞藥,19.25,-3.02,7325,1.88
81	,2461.TW,光群雷,22.4,-1.54,520,1.88
82	,6248.TW,沛波,33.15,-3.07,3043,1.87
83	,2383.TW,台光電,173,-1.98,1163,1.87
84	,8358.TW,金居,56.6,-3.74,5899,1.86
85	,3705.TW,永信,44.6,-1.55,937,1.85
86	,4510.TW,高鋒,13.5,-6.57,2598,1.84
87	,3441.TW,聯一光,44.2,-3.28,1415,1.84
88	,6446.TW,藥華藥,403,-3.7,3153,1.83
89	,3236.TW,千如,29.95,-3.54,1348,1.81
90	,6115.TW,鎰勝,45,-2.17,317,1.81
91	,4157.TW,太景*-KY,15.35,-3.15,2539,1.81
92	,2727.TW,王品,313,-9.93,9988,1.8
93	,3673.TW,TPK-KY,38.5,-6.67,15070,1.8
94	,6129.TW,普誠,35.35,-4.2,6191,1.8
95	,2356.TW,英業達,32.4,-0.31,10210,1.8
96	,6190.TW,萬泰科,32.85,-3.52,4182,1.79
97	,2323.TW,中環,8.2,-1.44,3160,1.79
98	,6205.TW,詮欣,75.6,-2.07,1342,1.79
99	,3163.TW,波若威,55.8,-2.45,1562,1.78
100	,6290.TW,良維,63.8,-6.31,8865,1.78
101	,2855.TW,統一證,16.7,0,787,1.78
102	,2357.TW,華碩,276.5,-0.72,1088,1.78
103	,8059.TW,凱碩,14.2,-2.41,1152,1.78
104	,2515.TW,中工,10.4,-1.42,32945,1.78
105	,3024.TW,憶聲,14.8,-2.31,1339,1.77
106	,1789.TW,神隆,26.95,-1.28,1861,1.76
107	,1533.TW,車王電,54.2,-5.57,1865,1.76
108	,2633.TW,台灣高鐵,30.65,-0.33,2708,1.76
109	,2615.TW,萬海,67.7,-0.44,6771,1.76
