符合條件商品
資料日期：2023年  5月  8日
策略,	00統計2022年漲幅
序號,	代碼,	商品,	成交,	漲幅%,	總量,	最高價,	最低價,	漲幅
執行時間：2023-05-08 23:20 符合檔數(1769)
1	,3095.TW,及成,22.65,1.57,6,41,2.48,1553.23
2	,6415.TW,矽力*-KY,478,2.47,1229,5235,352.5,1385.11
3	,2364.TW,倫飛,104.5,0.48,142,165,15.8,944.3
4	,3043.TW,科風,48.9,0.41,142,35,3.41,926.39
5	,4198.TW,欣大健康,25.05,0.2,4,31.45,4.35,622.99
6	,3093.TW,港建*,36.65,-0.14,420,162,25.8,527.91
7	,4943.TW,康控-KY,13.35,-9.18,101,34.75,5.89,489.98
8	,5314.TW,世紀,23.1,-4.55,63,20.9,3.72,461.83
9	,9928.TW,中視,18.5,-0.8,126,33.2,6.2,435.48
10	,5205.TW,中茂,39.2,3.43,3,50.7,10.15,399.51
11	,6547.TW,高端疫苗,63.6,-2.9,3031,295.5,60.1,391.68
12	,6719.TW,力智,317,2.76,2240,1015,212,378.77
13	,6287.TW,元隆,23.2,0.87,4,33.1,7.1,366.2
14	,1453.TW,大將,14.85,-1,223,37.45,8.2,356.71
15	,8440.TW,綠電,44.9,-0.11,272,106.5,23.6,351.27
16	,2305.TW,全友,22,-0.68,129,38.1,8.55,345.61
17	,6104.TW,創惟,109,-0.91,1739,333.5,74.9,345.26
18	,3228.TW,金麗科,167,-2.34,509,499,115.5,332.03
19	,6150.TW,撼訊,71.6,-0.42,124,183.5,44.25,314.69
20	,4171.TW,瑞基,57.5,-1.88,167,189,46,310.87
21	,6684.TW,安格,45.8,0.22,69,166.5,40.6,310.1
22	,8454.TW,富邦媒,738,0.82,587,1780,435,309.2
23	,6548.TW,長科*,41.35,1.22,1066,113.5,27.85,307.54
24	,3219.TW,倚強科,50.6,-1.56,5,140,35.15,298.29
25	,6741.TW,91APP*-KY,156,2.63,5412,280,71,294.37
26	,6133.TW,金橋,19.75,-1.25,680,32.35,8.26,291.65
27	,3205.TW,佰研,45.75,0.77,262,79.2,20.65,283.54
28	,4966.TW,譜瑞-KY,979,0.82,960,2200,574,283.28
29	,8996.TW,高力,208,5.05,10099,188,49.2,282.11
30	,6457.TW,紘康,53.4,-1.29,52,202,53,281.13
31	,3141.TW,晶宏,101.5,-0.98,1190,274,72,280.56
32	,6781.TW,AES-KY,644,-0.16,570,2015,530,280.19
33	,5269.TW,祥碩,1125,-1.32,641,2065,546,278.21
34	,2743.TW,山富,59.6,-1.49,242,81,21.5,276.74
35	,5475.TW,德宏,15.7,-0.32,615,35.4,9.54,271.07
36	,6531.TW,愛普*,283,0,5710,504,137,267.88
37	,4944.TW,兆遠,9.76,-2.4,33,29.8,8.13,266.54
38	,8444.TW,綠河-KY,55,1.85,4,138,38.05,262.68
39	,3105.TW,穩懋,166.5,0.91,1658,387.5,107.5,260.47
40	,3588.TW,通嘉,57.3,2.32,415,156.5,43.65,258.53
41	,3687.TW,歐買尬,93.7,3.54,1977,235.5,66.2,255.74
42	,3592.TW,瑞鼎,381.5,1.6,512,699,197,254.82
43	,2465.TW,麗臺,36.2,-0.28,246,84,23.7,254.43
44	,3515.TW,華擎,134,1.52,238,289.5,82.1,252.62
45	,6582.TW,申豐,59,-0.17,88,169,48,252.08
46	,8101.TW,華冠,5.15,1.38,119,7.31,2.08,251.44
47	,6568.TW,宏觀,176.5,-0.84,325,387,110.5,250.23
48	,3169.TW,亞信,125.5,0.4,436,279.5,80.2,248.5
49	,6706.TW,惠特,83.9,-2.78,416,259,74.5,247.65
50	,3494.TW,誠研,7.05,6.66,518,16.5,4.76,246.64
51	,4804.TW,大略-KY,6.17,-0.32,179,24.3,7.14,240.34
52	,2719.TW,燦星旅,43,0.23,15,41,12.1,238.84
53	,8046.TW,南電,281,1.26,12278,597,177.5,236.34
54	,3128.TW,昇銳,40.1,-0.25,435,57.1,17.1,233.92
55	,6241.TW,易通展,16.1,-3.01,421,44,13.2,233.33
56	,4979.TW,華星光,52.3,2.35,8434,54.9,16.5,232.73
57	,4961.TW,天鈺,157.5,3.62,4157,289,87,232.18
58	,8033.TW,雷虎,77.2,-1.03,20470,49.65,14.95,232.11
59	,8097.TW,常珵,48.85,1.88,883,94.6,28.5,231.93
60	,2615.TW,萬海,59.4,-0.17,5330,205,62.1,230.11
61	,1795.TW,美時,287,1.95,9408,270,81.9,229.67
62	,6756.TW,威鋒電子,209,0.72,400,517,157,229.3
63	,6472.TW,保瑞,780,-6.25,3777,475,144.5,228.72
64	,3454.TW,晶睿,197,-1.25,2223,234,72.3,223.65
65	,8450.TW,霹靂,25.25,-1.56,41,72.9,22.7,221.15
66	,4911.TW,德英,76.7,-1.29,316,72.2,22.5,220.89
67	,8104.TW,錸寶,40.7,0.49,136,94,29.35,220.27
68	,2486.TW,一詮,27.8,-0.54,1453,51.8,16.2,219.75
69	,6792.TW,詠業,84.6,-1.51,66,205,64.2,219.31
70	,5351.TW,鈺創,40.75,0.49,2392,93,29.15,219.04
71	,6796.TW,晉弘,101.5,1.5,125,147,46.15,218.53
72	,8044.TW,網家,56.3,2.18,558,137,43.3,216.4
73	,3545.TW,敦泰,76,-5.59,9809,178,56.4,215.6
74	,6411.TW,晶焱,107,-0.93,459,246,78.1,214.98
75	,4968.TW,立積,173.5,1.46,7001,276,88.2,212.93
76	,3122.TW,笙泉,25.7,0,103,71.8,23,212.17
77	,5344.TW,立衛,15.85,0,23,39.3,12.65,210.67
78	,1524.TW,耿鼎,23.2,-1.28,1321,30.4,9.95,205.53
79	,4116.TW,明基醫,64,-1.23,305,92.5,30.3,205.28
80	,2230.TW,泰茂,82.4,1.1,528,42.85,14.1,203.9
81	,4402.TW,福大,10.35,1.97,116,19.2,6.32,203.8
82	,5603.TW,陸海,21.1,-0.47,214,58,19.1,203.66
83	,3006.TW,晶豪科,77.1,2.8,8660,182,60,203.33
84	,3434.TW,哲固,28.45,-0.35,78,51.4,17,202.35
85	,6494.TW,九齊,70.6,0.86,98,165.5,54.9,201.46
86	,4927.TW,泰鼎-KY,55.3,1.47,1405,138,46.2,198.7
87	,3532.TW,台勝科,151.5,1,818,376,126,198.41
88	,6492.TW,生華科,51,-2.67,117,115.5,38.85,197.3
89	,3465.TW,進泰電子,94.7,-0.32,30,225,76,196.05
90	,6550.TW,北極星藥業-KY,97.1,-1.82,4803,232,78.5,195.54
91	,3086.TW,華義,75.8,1.74,4,173,58.7,194.72
92	,1325.TW,恆大,24.05,-0.21,104,61.7,21,193.81
93	,4912.TW,聯德控股-KY,71,0.14,27,184.5,62.8,193.79
94	,8084.TW,巨虹,103.5,-3.72,677,142.5,48.7,192.61
95	,5234.TW,達興材料,89.7,1.13,185,163,55.8,192.11
96	,6225.TW,天瀚,11.55,-1.28,11,13.7,4.7,191.49
97	,6187.TW,萬潤,61.1,-0.81,116,156.5,53.7,191.43
98	,3207.TW,耀勝,78.1,1.83,2312,56.7,19.5,190.77
99	,4413.TW,飛寶企業,14.85,0.68,8,31.4,10.8,190.74
100	,3508.TW,位速,31.45,-0.47,145,75.5,26,190.38
101	,6743.TW,安普新,59.3,-1.82,210,81.6,28.15,189.88
102	,2482.TW,連宇,66.3,1.38,18109,32.5,11.25,188.89
103	,6259.TW,百徽,22.55,-0.22,0,52,18,188.89
104	,6679.TW,鈺太,293,1.91,283,490,170.5,187.39
105	,6138.TW,茂達,172,0.88,1856,286,99.9,186.29
106	,2636.TW,台驊投控,75.5,-1.82,506,161,56.3,185.97
107	,1539.TW,巨庭,28.9,0.35,146,50.3,17.6,185.8
108	,3693.TW,營邦,198,10,2732,123,43.05,185.71
109	,6213.TW,聯茂,70.7,0.43,417,147,51.5,185.44
110	,3046.TW,建碁,80.7,9.95,7214,64.2,22.5,185.33
111	,6485.TW,點序,104,4,1594,156.5,55.1,184.03
112	,6732.TW,昇佳電子,332,-0.9,910,528,186,183.87
113	,4931.TW,新盛力,44.65,-0.22,716,60.1,21.2,183.49
114	,2009.TW,第一銅,32.6,-2.69,1712,55.3,19.55,182.86
115	,6799.TW,來頡,156.5,0,1031,229.5,81.6,181.25
116	,8478.TW,東哥遊艇,520,4.21,8122,344.5,123,180.08
117	,3035.TW,智原,168.5,-0.88,8020,331.5,118.5,179.75
118	,6560.TW,欣普羅,35.3,-0.42,22,84.2,30.25,178.35
119	,6228.TW,全譜,13,2.36,17,29.7,10.7,177.57
120	,2455.TW,全新,98.8,0,2375,146.5,52.8,177.46
