符合條件商品
資料日期：2023年  5月  8日
策略,	00統計2022年漲幅
序號,	代碼,	商品,	成交,	漲幅%,	總量,	最高價,	最低價,	漲幅
執行時間：2023-05-09 01:25 符合檔數(1736)
1	,3095.TW,及成,22.65,1.57,6,41,2.48,1553.23
2	,3043.TW,科風,48.9,0.41,142,49.8,3.41,1360.41
3	,6103.TW,合邦,39.55,3.4,1,44.35,4.53,879.03
4	,6415.TW,矽力*-KY,478,2.47,1229,3245,352.5,820.57
5	,2364.TW,倫飛,104.5,0.48,142,165,18.95,770.71
6	,5314.TW,世紀,23.1,-4.55,63,28.85,3.72,675.54
7	,4198.TW,欣大健康,25.05,0.2,4,31.45,4.35,622.99
8	,8077.TW,洛碁,39.95,3.77,0,43.8,6.11,616.86
9	,2482.TW,連宇,66.3,1.38,18109,76,11.25,575.56
10	,2230.TW,泰茂,82.4,1.1,528,91.8,14.5,533.1
11	,3093.TW,港建*,36.65,-0.14,420,162,25.8,527.91
12	,4763.TW,材料-KY,511,-6.75,7981,557,93.7,494.45
13	,6472.TW,保瑞,780,-6.25,3777,850,144.5,488.24
14	,3664.TW,安瑞-KY,41.9,0,2180,45.6,7.86,480.15
15	,1512.TW,瑞利,13.15,0.38,65,16.9,2.95,472.88
16	,8033.TW,雷虎,77.2,-1.03,20470,85.2,15.1,464.24
17	,2321.TW,東訊,19.55,-0.26,30,24.85,4.56,444.96
18	,6547.TW,高端疫苗,63.6,-2.9,3031,286,55.4,416.25
19	,2719.TW,燦星旅,43,0.23,15,62,12.1,412.4
20	,3693.TW,營邦,198,10,2732,217.5,43.05,405.23
21	,8996.TW,高力,208,5.05,10099,253.5,50.4,402.98
22	,8222.TW,寶一,61,-2.71,18249,69.6,13.95,398.92
23	,6287.TW,元隆,23.2,0.87,4,33.1,7.1,366.2
24	,4943.TW,康控-KY,13.35,-9.18,101,27.35,5.89,364.35
25	,2305.TW,全友,22,-0.68,129,38.1,8.63,341.48
