符合條件商品
資料日期：2023年  5月  5日
策略,	周大於70
序號,	代碼,	商品,	成交,	漲幅%,	總量,	70
執行時間：2023-05-07 13:04 符合檔數(1772)
1	,5209.TW,新鼎,166,5.4,806,34
2	,2727.TW,王品,327.5,0.46,3801,26
3	,8931.TW,大汽電,74.6,-0.4,239,26
4	,6186.TW,新潤,44.8,0,528,25
5	,2504.TW,國產,28.85,-0.52,2047,24
6	,3027.TW,盛達,43.7,-1.35,1817,24
7	,4987.TW,科誠,61.4,0.49,11,24
8	,6024.TW,群益期,44.5,0,188,24
9	,2376.TW,技嘉,137,0.74,6603,23
10	,2640.TW,大車隊,134,-0.74,578,23
11	,4763.TW,材料-KY,548,0.55,6507,23
12	,6115.TW,鎰勝,45.95,0.11,57,23
13	,8996.TW,高力,198,-0.25,1981,23
14	,1104.TW,環泥,29.65,0.17,4905,22
15	,1108.TW,幸福,16.75,1.52,1707,22
16	,2385.TW,群光,98,-0.71,996,22
17	,2480.TW,敦陽科,109.5,-3.1,2325,22
18	,2916.TW,滿心,38.1,-0.26,256,22
19	,3015.TW,全漢,49.1,1.03,228,22
20	,3028.TW,增你強,32.7,-0.46,215,22
21	,3231.TW,緯創,49.15,-0.81,39016,22
22	,3661.TW,世芯-KY,1260,2.86,2724,22
23	,5009.TW,榮剛,58,-3.49,25242,22
24	,6189.TW,豐藝,41.85,0.12,177,22
25	,6776.TW,展碁國際,53.5,-1.11,175,22
26	,9939.TW,宏全,100.5,0,1108,22
27	,9941.TW,裕融,190,1.06,1504,22
28	,1231.TW,聯華食,95.2,1.28,358,21
29	,2065.TW,世豐,58.9,-2.64,791,21
30	,2433.TW,互盛電,53.2,0,10,21
31	,2450.TW,神腦,35.5,0.28,269,21
32	,2887.TW,台新金,17.55,1.15,11585,21
33	,2903.TW,遠百,22.85,1.78,4654,21
34	,3029.TW,零壹,60.2,1.01,10436,21
35	,3032.TW,偉訓,47.8,0.42,2368,21
36	,3034.TW,聯詠,428,1.18,1189,21
37	,3090.TW,日電貿,57.6,0.7,1184,21
38	,3264.TW,欣銓,53.9,0.56,2616,21
39	,3416.TW,融程電,119,2.59,2053,21
40	,3587.TW,閎康,192.5,-0.52,393,21
41	,4104.TW,佳醫,93.5,-2.3,1241,21
42	,4938.TW,和碩,70.1,-0.14,981,21
43	,4974.TW,亞泰,68.7,-0.29,139,21
44	,5284.TW,jpp-KY,124,6.44,4191,21
45	,6147.TW,頎邦,66,0.3,1116,21
46	,6197.TW,佳必琪,52.3,-0.57,238,21
47	,6592.TW,和潤企業,129.5,-2.63,4007,21
48	,8033.TW,雷虎,78,-0.13,1553,21
49	,8213.TW,志超,40.2,-0.25,245,21
50	,8367.TW,建新國際,49.15,-0.1,25,21
51	,9930.TW,中聯資源,51,-2.3,441,21
52	,9962.TW,有益,20.3,3.84,1852,21
53	,1203.TW,味王,37.8,0.27,9,20
54	,1225.TW,福懋油,60,-0.33,445,20
55	,1513.TW,中興電,108,-1.37,17584,20
56	,1590.TW,亞德客-KY,1070,0.47,481,20
57	,2449.TW,京元電子,46.75,-0.11,2658,20
58	,2493.TW,揚博,53.8,0.37,71,20
59	,2546.TW,根基,71.4,-0.83,71,20
60	,2755.TW,揚秦,151,1.68,79,20
61	,3005.TW,神基,62.9,2.78,17350,20
62	,3014.TW,聯陽,96,6.31,5969,20
63	,3044.TW,健鼎,116.5,-0.43,568,20
64	,3454.TW,晶睿,199.5,1.01,1766,20
65	,3592.TW,瑞鼎,375.5,0.13,434,20
66	,3711.TW,日月光投控,103,0,3634,20
67	,4707.TW,磐亞,12.95,0,324,20
68	,4995.TW,晶達,50.5,-2.7,135,20
69	,5314.TW,世紀,24.2,-3.2,73,20
70	,5315.TW,光聯,23.25,-1.06,448,20
71	,5403.TW,中菲,100.5,-2.9,646,20
72	,5439.TW,高技,69.5,0.14,2643,20
73	,6023.TW,元大期,51.9,0,55,20
74	,6227.TW,茂綸,49.45,0.3,123,20
75	,6291.TW,沛亨,168.5,3.06,422,20
76	,6469.TW,大樹,418,0.12,289,20
77	,6643.TW,M31,630,3.96,3123,20
78	,6691.TW,洋基工程,294.5,1.38,414,20
79	,6751.TW,智聯服務,123.5,-3.52,330,20
80	,8048.TW,德勝,40,-0.5,181,20
81	,2353.TW,宏碁,28.2,-7.08,45586,19
82	,2356.TW,英業達,32.1,-0.77,6363,19
83	,2420.TW,新巨,44.65,-0.22,212,19
84	,2423.TW,固緯,35.25,0,604,19
85	,3078.TW,僑威,54.3,-2.34,8139,19
86	,3088.TW,艾訊,76,0.26,372,19
87	,3118.TW,進階,32.5,0.46,60,19
88	,3479.TW,安勤,117,5.41,20445,19
89	,3611.TW,鼎翰,240,0.21,69,19
90	,4903.TW,聯光通,22.4,9.8,1398,19
91	,4966.TW,譜瑞-KY,971,0.21,765,19
92	,5206.TW,坤悅,22.15,-0.23,365,19
93	,5465.TW,富驊,37.05,-1.59,2216,19
94	,6122.TW,擎邦,31.95,0.31,2410,19
95	,6151.TW,晉倫,30.35,5.57,363,19
96	,6177.TW,達麗,31.95,1.43,331,19
97	,6214.TW,精誠,86.7,1.52,2304,19
98	,6811.TW,宏碁資訊,276.5,-1.95,1153,19
99	,8424.TW,惠普,70.6,-0.28,14,19
100	,8905.TW,裕國,25.35,0.4,106,19
101	,9927.TW,泰銘,45,0,129,19
102	,1442.TW,名軒,32,-0.31,550,18
103	,1472.TW,三洋實業,26.75,-0.56,74,18
104	,1519.TW,華城,99.1,-0.2,13829,18
105	,2063.TW,世鎧,42.75,0.12,46,18
106	,2324.TW,仁寶,24.15,0,8754,18
107	,2455.TW,全新,98.8,1.86,3480,18
108	,2471.TW,資通,66.3,0.15,12372,18
109	,2596.TW,綠意,22.35,-0.22,50,18
110	,2739.TW,寒舍,65.5,0,544,18
111	,2834.TW,臺企銀,14.05,0.36,13875,18
112	,2897.TW,王道銀行,9.96,-1.39,12175,18
113	,3085.TW,新零售,21.3,1.43,16,18
114	,3213.TW,茂訊,52.1,-0.38,32,18
115	,3310.TW,佳穎,67.5,0.6,43,18
116	,3529.TW,力旺,1895,1.88,324,18
117	,3570.TW,大塚,163,0.93,250,18
118	,3680.TW,家登,341.5,-1.16,1223,18
119	,4155.TW,訊映,33.9,0,747,18
120	,5289.TW,宜鼎,288.5,-1.7,643,18
121	,5521.TW,工信,7.78,-0.77,510,18
122	,6128.TW,上福,33.5,0.15,141,18
123	,6139.TW,亞翔,46.15,-0.32,672,18
124	,6412.TW,群電,78.7,0.13,510,18
125	,6593.TW,台灣銘板,55.3,0.18,32,18
126	,6672.TW,騰輝電子-KY,81.5,2.39,839,18
127	,8131.TW,福懋科,42.4,-0.12,292,18
128	,8416.TW,實威,143.5,-1.71,82,18
129	,1342.TW,八貫,139.5,-2.11,1092,17
130	,1609.TW,大亞,31.3,0.97,97169,17
131	,2201.TW,裕隆,77.4,-0.51,6006,17
132	,2230.TW,泰茂,81.5,-0.24,916,17
133	,2247.TW,汎德永業,289.5,0.87,144,17
134	,2321.TW,東訊,19.6,-6.89,51,17
135	,2408.TW,南亞科,66.7,-1.91,9299,17
136	,2453.TW,凌群,67.2,-1.9,10521,17
137	,2482.TW,連宇,65.4,-1.65,4678,17
138	,2832.TW,台產,21.55,0.23,179,17
139	,3026.TW,禾伸堂,102.5,0.49,374,17
140	,3036.TW,文曄,65.4,-2.53,1907,17
