符合條件商品
資料日期：2023年  5月  8日
策略,	漲2次數
序號,	代碼,	商品,	成交,	漲幅%,	總量,	漲2次數
執行時間：2023-05-08 23:59 符合檔數(1777)
1	,8478.TW,東哥遊艇,520,4.21,8122,89
2	,2482.TW,連宇,66.3,1.38,18109,88
3	,3443.TW,創意,1125,-1.32,5903,87
4	,2364.TW,倫飛,104.5,0.48,142,84
5	,3661.TW,世芯-KY,1260,0,4950,82
6	,6472.TW,保瑞,780,-6.25,3777,81
7	,4979.TW,華星光,52.3,2.35,8434,79
8	,5274.TW,信驊,2880,4.16,488,79
9	,8996.TW,高力,208,5.05,10099,78
10	,3529.TW,力旺,1875,-1.06,419,77
11	,2230.TW,泰茂,82.4,1.1,528,76
12	,3629.TW,地心引力,101,3.06,58,75
13	,4763.TW,材料-KY,511,-6.75,7981,75
14	,3207.TW,耀勝,78.1,1.83,2312,74
15	,5205.TW,中茂,39.2,3.43,3,74
16	,6533.TW,晶心科,438,-2.01,1354,74
17	,6643.TW,M31,625,-0.79,1956,74
18	,1795.TW,美時,287,1.95,9408,73
19	,3693.TW,營邦,198,10,2732,73
20	,3466.TW,致振,32.25,-0.31,260,72
21	,3675.TW,德微,295.5,-0.51,722,72
22	,6235.TW,華孚,98.3,2.93,4843,72
23	,8222.TW,寶一,61,-2.71,18249,72
24	,6515.TW,穎崴,656,-0.46,1058,71
25	,8069.TW,元太,192.5,-2.78,24281,71
26	,8454.TW,富邦媒,738,0.82,587,70
27	,1760.TW,寶齡富錦,163,-1.51,2134,69
28	,3558.TW,神準,286,0.7,1497,69
29	,4968.TW,立積,173.5,1.46,7001,69
30	,6415.TW,矽力*-KY,478,2.47,1229,69
31	,3324.TW,雙鴻,250,3.95,12954,68
32	,4966.TW,譜瑞-KY,979,0.82,960,68
33	,5425.TW,台半,93.3,0.21,3499,68
34	,6225.TW,天瀚,11.55,-1.28,11,68
35	,6531.TW,愛普*,283,0,5710,68
36	,6799.TW,來頡,156.5,0,1031,68
37	,1584.TW,精剛,40.5,0,3129,67
38	,1783.TW,和康生,70.5,-1.4,5385,67
39	,5258.TW,虹堡,83.4,0.36,2231,67
40	,3027.TW,盛達,44.35,1.49,2388,66
41	,3228.TW,金麗科,167,-2.34,509,66
42	,3434.TW,哲固,28.45,-0.35,78,66
43	,4911.TW,德英,76.7,-1.29,316,66
44	,4931.TW,新盛力,44.65,-0.22,716,66
45	,5353.TW,台林,48.3,-2.42,1593,66
46	,6719.TW,力智,317,2.76,2240,66
47	,3128.TW,昇銳,40.1,-0.25,435,65
48	,5009.TW,榮剛,58.1,0.17,13042,65
49	,6568.TW,宏觀,176.5,-0.84,325,65
50	,6788.TW,華景電,142.5,2.15,748,65
51	,1524.TW,耿鼎,23.2,-1.28,1321,64
52	,2305.TW,全友,22,-0.68,129,64
53	,2351.TW,順德,120.5,-0.82,951,64
54	,3169.TW,亞信,125.5,0.4,436,64
55	,4162.TW,智擎,99.6,-1.87,1100,64
56	,5904.TW,寶雅,568,-0.35,239,64
57	,6104.TW,創惟,109,-0.91,1739,64
58	,6143.TW,振曜,92.2,-0.32,669,64
59	,8033.TW,雷虎,77.2,-1.03,20470,64
60	,2743.TW,山富,59.6,-1.49,242,63
61	,3035.TW,智原,168.5,-0.88,8020,63
62	,3043.TW,科風,48.9,0.41,142,63
63	,3680.TW,家登,343.5,0.59,744,63
64	,4114.TW,健喬,47.5,-1.35,5730,63
65	,5321.TW,美而快,115,4.55,7752,63
66	,6245.TW,立端,117,1.3,10025,63
67	,6461.TW,益得,34.65,-1.42,546,63
68	,6470.TW,宇智,63.5,-2.46,959,63
69	,8046.TW,南電,281,1.26,12278,63
70	,8155.TW,博智,149,0.68,907,63
71	,8436.TW,大江,207.5,-3.04,1394,63
72	,3081.TW,聯亞,102,-1.45,1467,62
73	,3205.TW,佰研,45.75,0.77,262,62
74	,3520.TW,華盈,21.2,-1.62,522,62
75	,3624.TW,光頡,69.7,-1.97,2465,62
76	,4919.TW,新唐,133.5,0,6390,62
77	,4961.TW,天鈺,157.5,3.62,4157,62
78	,6109.TW,亞元,17.05,0.29,455,62
79	,1453.TW,大將,14.85,-1,223,61
80	,1529.TW,樂事綠能,41.5,1.1,14597,61
81	,1539.TW,巨庭,28.9,0.35,146,61
82	,2444.TW,兆勁,16.15,0.62,351,61
83	,3494.TW,誠研,7.05,6.66,518,61
84	,3664.TW,安瑞-KY,41.9,0,2180,61
85	,4503.TW,金雨,57.7,9.9,1703,61
86	,4768.TW,晶呈科技,173.5,-0.57,149,61
87	,5269.TW,祥碩,1125,-1.32,641,61
88	,6133.TW,金橋,19.75,-1.25,680,61
89	,6550.TW,北極星藥業-KY,97.1,-1.82,4803,61
90	,6781.TW,AES-KY,644,-0.16,570,61
91	,2736.TW,富野,22.4,-1.75,457,60
92	,3141.TW,晶宏,101.5,-0.98,1190,60
93	,6223.TW,旺矽,134.5,0,1944,60
94	,6712.TW,長聖,219,-1.35,901,60
95	,8932.TW,宏大,54.3,4.02,739,60
96	,2388.TW,威盛,74.8,0,2228,59
