符合條件商品
資料日期：2023年  5月  8日
策略,	紅K次數
序號,	代碼,	商品,	成交,	漲幅%,	總量,	紅K次數
執行時間：2023-05-09 00:17 符合檔數(1736)
1	,1468.TW,昶和,14.8,4.23,33,162
2	,5324.TW,士開,9.07,-0.11,60,155
3	,9949.TW,琉園,16.4,-4.93,267,150
4	,1535.TW,中宇,54.2,-0.18,163,147
5	,8932.TW,宏大,54.3,4.02,739,144
6	,9927.TW,泰銘,45.1,0.22,193,144
7	,9944.TW,新麗,20.3,-0.73,83,143
8	,2493.TW,揚博,53.4,-0.74,125,141
9	,2534.TW,宏盛,22.8,0.44,1023,141
10	,3581.TW,博磊,23.55,0.21,70,141
11	,4907.TW,富宇,36.05,-0.28,38,141
12	,8411.TW,福貞-KY,14.85,-0.67,83,141
13	,3231.TW,緯創,49.9,1.53,53681,140
14	,9930.TW,中聯資源,52.9,3.73,462,140
15	,1225.TW,福懋油,59.8,-0.33,218,139
16	,2356.TW,英業達,32.75,2.02,8722,139
17	,3085.TW,新零售,21.3,0,2,139
18	,4938.TW,和碩,70.3,0.29,1023,139
19	,6023.TW,元大期,52.4,0.96,209,139
20	,1436.TW,華友聯,57.5,0.7,74,138
21	,2070.TW,精湛,33.1,0.76,8,138
22	,2382.TW,廣達,90.4,0.89,13265,138
23	,4904.TW,遠傳,78.7,0.25,3404,138
24	,4987.TW,科誠,61.4,0,19,138
25	,5209.TW,新鼎,182.5,9.94,1121,137
26	,5284.TW,jpp-KY,129.5,4.44,7287,137
27	,8464.TW,億豐,348.5,0.58,241,137
28	,9910.TW,豐泰,199,0.76,705,137
29	,1203.TW,味王,38,0.53,6,136
30	,2379.TW,瑞昱,369,0.82,3212,136
31	,3684.TW,榮昌,65.1,0.15,22,136
32	,1301.TW,台塑,93.8,0,2972,135
33	,2850.TW,新產,51,0.79,87,135
34	,3015.TW,全漢,49.4,0.61,440,135
35	,5438.TW,東友,21.9,-0.9,104,135
36	,5523.TW,豐謙,25.2,0.8,107,135
37	,6101.TW,寬魚國際,45.75,-0.11,149,135
