符合條件商品
資料日期：2023年  1月  3日
策略,	00周KDSAR
序號,	代碼,	商品,	成交,	漲幅%,	總量,	k15,	SAR
執行時間：2023-01-03 23:26 符合檔數(1766)
1	,1101.TW,台泥,33.5,-0.45,11654,13,2
2	,1102.TW,亞泥,40.6,-0.98,3879,2,2
3	,1103.TW,嘉泥,17.35,-0.29,88,1,2
4	,1104.TW,環泥,22.2,0,380,1,2
5	,1108.TW,幸福,10.75,0,160,1,2
6	,1109.TW,信大,15.6,-0.32,110,7,2
7	,1110.TW,東泥,18.45,-1.34,207,0,2
8	,1201.TW,味全,19,-0.26,375,4,2
9	,1203.TW,味王,34.7,-0.57,14,0,2
10	,1210.TW,大成,45.45,-0.22,537,7,2
11	,1213.TW,大飲,7.13,0,0,0,1
12	,1215.TW,卜蜂,78.3,0,135,0,1
13	,1216.TW,統一,66.6,0,6180,0,1
14	,1217.TW,愛之味,10.8,0.93,1122,2,2
15	,1218.TW,泰山,32.85,0.92,3879,0,1
16	,1219.TW,福壽,18.8,0.27,633,5,1
17	,1220.TW,台榮,15.3,-0.33,90,8,2
18	,1225.TW,福懋油,57,-1.21,9,5,2
19	,1227.TW,佳格,39.75,-0.25,278,10,2
20	,1229.TW,聯華,50,-0.2,656,7,2
21	,1231.TW,聯華食,74.5,-0.27,71,0,2
22	,1232.TW,大統益,141,0,30,2,1
23	,1233.TW,天仁,32.4,0,6,0,1
24	,1234.TW,黑松,32.65,0.15,477,0,2
25	,1235.TW,興泰,68.2,-1.02,5,0,2
26	,1236.TW,宏亞,22.35,-0.45,96,11,2
27	,1240.TW,茂生農經,44,0,10,9,2
28	,1256.TW,鮮活果汁-KY,271.5,0,2,2,2
29	,1258.TW,其祥-KY,20.9,1.21,16,3,1
30	,1259.TW,安心,74.4,1.09,12,0,2
31	,1264.TW,德麥,256,-0.39,11,8,2
32	,1268.TW,漢來美食,131,1.16,217,0,2
33	,1301.TW,台塑,87,0.23,6449,1,1
34	,1303.TW,南亞,71.9,1.27,4595,0,2
35	,1304.TW,台聚,22.1,0,1074,0,2
36	,1305.TW,華夏,26.7,1.14,3844,7,2
37	,1307.TW,三芳,20.55,0.24,67,0,2
38	,1308.TW,亞聚,28.25,0.18,575,1,2
39	,1309.TW,台達化,22.2,-0.89,645,4,2
40	,1310.TW,台苯,13.35,-1.11,243,3,2
41	,1312.TW,國喬,19.2,1.86,3511,12,2
42	,1313.TW,聯成,13.55,-0.37,1018,3,2
43	,1314.TW,中石化,9.9,0.2,3396,8,2
44	,1315.TW,達新,70,-0.43,8,9,2
45	,1316.TW,上曜,11.8,-0.42,364,0,1
46	,1319.TW,東陽,42.85,-0.58,5845,0,1
47	,1321.TW,大洋,32.9,-0.15,41,1,1
48	,1323.TW,永裕,32.8,-0.3,18,0,1
49	,1324.TW,地球,10.95,0.46,19,0,1
50	,1325.TW,恆大,26.45,-2.58,793,14,2
51	,1326.TW,台化,70.5,0,2711,0,2
52	,1336.TW,台翰,25.55,3.86,253,0,2
53	,1337.TW,再生-KY,7.02,0,135,0,1
54	,1338.TW,廣華-KY,42.35,-1.28,142,9,1
55	,1339.TW,昭輝,41.45,-0.96,105,0,2
56	,1340.TW,勝悅-KY,9.85,0.31,69,0,2
57	,1341.TW,富林-KY,66.7,0,12,0,2
58	,1342.TW,八貫,128,-2.29,12334,0,2
59	,1402.TW,遠東新,31.7,-0.63,5497,0,2
60	,1409.TW,新纖,17.45,-0.57,1474,2,2
61	,1410.TW,南染,40.45,0.25,34,1,1
62	,1413.TW,宏洲,9.54,0.32,10,3,1
63	,1414.TW,東和,17.75,-0.28,166,0,2
64	,1416.TW,廣豐,10.15,0,59,4,2
65	,1417.TW,嘉裕,14.55,2.11,7758,10,2
66	,1418.TW,東華,14.1,0,8,0,2
67	,1419.TW,新紡,39.95,-0.25,21,7,2
68	,1423.TW,利華,20.05,-0.5,8,0,1
69	,1432.TW,大魯閣,12.45,3.75,884,3,1
70	,1434.TW,福懋,26.7,-0.19,1005,1,1
71	,1436.TW,華友聯,56.3,0,45,7,2
72	,1437.TW,勤益控,25.65,-1.35,924,3,2
73	,1438.TW,三地開發,31.4,-0.16,12,5,2
74	,1439.TW,雋揚,20.9,0.72,28,1,1
75	,1440.TW,南紡,16.65,-0.89,524,3,1
76	,1441.TW,大東,7.9,0,9,0,1
77	,1442.TW,名軒,35.75,2.73,565,0,1
78	,1443.TW,立益物流,20.9,-0.71,40,0,2
