符合條件商品
資料日期：2023年  1月  3日
策略,	05基本資料B
序號,	代碼,	商品,	成交,	漲幅%,	總量,	跌幅,	周K,	月均量,	等分坐標低檔
執行時間：2023-01-03 23:29 符合檔數(1732)
1	,1101.TW,台泥,33.5,-0.45,11654,-33.27,73.83,29872.35,低
2	,1102.TW,亞泥,40.6,-0.98,3879,-16.63,80.13,12024.7,低
3	,1103.TW,嘉泥,17.35,-0.29,88,-19.49,60.16,135.2,低
4	,1104.TW,環泥,22.2,0,380,-3.06,77.24,407.4,高
5	,1108.TW,幸福,10.75,0,160,-11.52,69.55,147.6,中
6	,1109.TW,信大,15.6,-0.32,110,-28.6,45.56,117,低
7	,1110.TW,東泥,18.45,-1.34,207,-19.26,73.01,125.55,低
8	,1201.TW,味全,19,-0.26,375,-18.1,66.08,202.15,低
9	,1203.TW,味王,34.7,-0.57,14,-5.96,61.51,24.35,高
10	,1210.TW,大成,45.45,-0.22,537,-21.37,75.95,794.25,低
11	,1213.TW,大飲,7.13,0,0,-18.51,52.51,8.15,低
12	,1215.TW,卜蜂,78.3,0,135,-8.95,53.43,490.5,中
13	,1216.TW,統一,66.6,0,6180,-7.11,78.42,7132.55,中
14	,1217.TW,愛之味,10.8,0.93,1122,-20.59,76.94,2798.45,中
15	,1218.TW,泰山,32.85,0.92,3879,-31.49,17.12,6066,低
16	,1219.TW,福壽,18.8,0.27,633,-34.95,24.41,639.6,低
17	,1220.TW,台榮,15.3,-0.33,90,-40,84.55,172.9,低
18	,1225.TW,福懋油,57,-1.21,9,-10.66,77.18,10.25,中
19	,1227.TW,佳格,39.75,-0.25,278,-23.7,53.76,389.35,低
20	,1229.TW,聯華,50,-0.2,656,-32.43,58.08,653.6,低
21	,1231.TW,聯華食,74.5,-0.27,71,-19.55,87.89,122.1,中
22	,1232.TW,大統益,141,0,30,-14.29,16.72,132.45,低
23	,1233.TW,天仁,32.4,0,6,-7.43,33.5,10.85,低
24	,1234.TW,黑松,32.65,0.15,477,-11.64,36.73,292,低
25	,1235.TW,興泰,68.2,-1.02,5,-5.67,49.65,11.45,高
26	,1236.TW,宏亞,22.35,-0.45,96,-30.7,66.5,220.1,中
27	,1240.TW,茂生農經,44,0,10,-42.33,65.77,22.45,低
