"排名","代號","名稱","股價日期","成交","漲跌價","漲跌幅","股利發放年度","最後成交價","所屬EPS","現金股利","股票股利","合計股利","現金殖利率","股票殖利率","合計殖利率","盈餘配息率","盈餘配股率","盈餘總分配率","現金股利發放日"
"1501",="6230","尼得科超眾","02/17","124","0","0","2022","124","4.05","0.61","0","0.61","0.49","0","0.49","15.1","0","15.1","22'09/15"
"1502",="6166","凌華","02/17","61.1","-0.2","-0.33","2022","61.1","0.55","0.3","0","0.3","0.49","0","0.49","54.5","0","54.5","22'08/08"
"1503",="6220","岳豐","02/17","26.7","-0.05","-0.19","2022","26.7","0.76","0.13","0","0.13","0.48","0","0.48","16.9","0","16.9","22'08/11"
"1504","00694B","富邦美債1-3","02/17","37.93","+0.1","+0.26","2023","37.93","","0.18","0","0.18","0.47","0","0.47","","","",""
"1505",="6134","萬旭","02/17","21.5","-0.15","-0.69","2022","21.5","-0.54","0.1","0","0.1","0.47","0","0.47","-18.5","0","-18.5","22'08/05"
"1506",="00830","國泰費城半導體","02/17","26.81","-0.72","-2.62","2023","26.81","","0.12","0","0.12","0.45","0","0.45","","","","23'03/02"
"1507",="1473","台南","02/17","24.35","+0.65","+2.74","2022","24.35","-0.92","0.1","0","0.1","0.41","0","0.41","-10.9","0","-10.9","22'08/26"
"1508",="6741","91APP*-KY","02/17","127.5","+11.5","+9.91","2022","127.5","2.58","0.49","0","0.49","0.38","0","0.38","19","0","19","22'08/11"
"1509",="6612","奈米醫材","02/17","132","-5","-3.65","2022","132","1.74","0.5","0","0.5","0.38","0","0.38","28.7","0","28.7","22'04/26"
"1510",="3672","康聯訊","02/17","26.8","+0.2","+0.75","2022","26.8","0.24","0.1","0","0.1","0.37","0","0.37","41.7","0","41.7","22'08/29"
"1511",="3707","漢磊","02/17","96.5","-1.4","-1.43","2022","96.5","0.73","0.35","0","0.35","0.36","0","0.36","47.6","0","47.6","22'08/05"
"1512",="4102","永日","02/17","29.85","-0.9","-2.93","2022","29.85","0.14","0.1","0","0.1","0.34","0","0.34","71.4","0","71.4","22'07/29"
"1513","00695B","富邦美債7-10","02/17","33.65","-0.12","-0.36","2023","33.65","","0.1","0","0.1","0.31","0","0.31","","","",""
"1514",="2901","欣欣","02/17","24.9","+0.05","+0.2","2022","24.9","0.07","0.07","0","0.07","0.26","0","0.26","93.3","0","93.3","22'09/13"
"1515",="3594","磐儀","02/17","37.8","+3.4","+9.88","2022","37.8","0.3","0.09","0","0.09","0.25","0","0.25","31.6","0","31.6","22'11/03"
