"排名","代號","名稱","股價日期","成交","漲跌價","漲跌幅","股利發放年度","最後成交價","所屬EPS","現金股利","股票股利","合計股利","現金殖利率","股票殖利率","合計殖利率","盈餘配息率","盈餘配股率","盈餘總分配率","現金股利發放日"
"1",="2609","陽明","02/17","59.8","-0.5","-0.83","2022","59.8","48.73","20","0","20","33.4","0","33.4","41","0","41","22'07/29"
"2",="6582","申豐","02/17","62.1","+0.2","+0.32","2022","62.1","32.74","15","0","15","24.2","0","24.2","45.8","0","45.8","22'09/22"
"3",="3545","敦泰","02/17","74","+1.4","+1.93","2022","74","30.23","15.84","0","15.84","21.4","0","21.4","52.4","0","52.4","22'08/24"
"4",="3093","港建*","02/17","30.65","+0.65","+2.17","2022","30.65","7.41","6.3","0","6.3","20.6","0","20.6","85","0","85","22'07/28"
"5",="3211","順達","02/17","78.8","-0.3","-0.38","2022","78.8","22.42","15.03","0","15.03","19.1","0","19.1","67","0","67","22'05/04"
"6",="6015","宏遠證","02/17","9.56","+0.06","+0.63","2022","9.56","3.74","1.8","0.6","2.4","18.8","6.28","25.1","48.1","16","64.2","22'08/31"
"7",="6457","紘康","02/17","62","+0.8","+1.31","2022","62","12.71","10.89","0","10.89","17.6","0","17.6","85.7","0","85.7","22'08/25"
"8",="5603","陸海","02/17","22.95","+0.15","+0.66","2022","22.95","9.2","4","3","7","17.4","13.1","30.5","43.5","32.6","76.1","22'09/23"
"9",="2108","南帝","02/17","41.85","+0.95","+2.32","2022","41.85","14.92","7","0","7","16.7","0","16.7","46.9","0","46.9","22'04/25"
"10",="4930","燦星網","02/17","29.2","+0.2","+0.69","2022","29.2","3.19","4.8","0","4.8","16.4","0","16.4","150","0","150","22'04/20"
"11",="2357","華碩","02/17","279.5","+1.5","+0.54","2022","279.5","59.98","42","0","42","15","0","15","70","0","70","22'08/25"
"12",="6016","康和證","02/17","10.4","0","0","2022","10.4","2.33","1.55","0","1.55","14.9","0","14.9","66.5","0","66.5","22'08/05"
"13",="8016","矽創","02/17","217.5","+3","+1.4","2022","217.5","50.03","32","0","32","14.7","0","14.7","64","0","64","22'08/05"
"14",="6560","欣普羅","02/17","34.05","-0.15","-0.44","2022","34.05","9.43","5","2.5","7.5","14.7","7.34","22","53","26.5","79.5","22'08/12"
"15",="1612","宏泰","02/17","19.2","+0.15","+0.79","2022","19.2","8.54","2.8","0","2.8","14.6","0","14.6","32.8","0","32.8","22'07/29"
"16",="2545","皇翔","02/17","43.55","-0.35","-0.8","2022","43.55","7.46","6.3","0","6.3","14.5","0","14.5","84.5","0","84.5","22'07/08"
"17",="2615","萬海","02/17","73.3","-0.4","-0.54","2022","73.3","42.35","10.5","1.5","12","14.3","2.05","16.4","24.8","3.54","28.3","22'08/18"
"18",="6005","群益證","02/17","11.75","0","0","2022","11.75","2.42","1.65","0","1.65","14","0","14","68.2","0","68.2","22'08/10"
"19",="2527","宏璟","02/17","21.55","+0.05","+0.23","2022","21.55","6.19","3","0","3","13.9","0","13.9","48.5","0","48.5","22'09/16"
"20",="5508","永信建","02/17","57.8","+0.3","+0.52","2022","57.8","8.9","8.01","0","8.01","13.9","0","13.9","90","0","90","22'07/27"
"21",="5609","中菲行","02/17","74.2","-0.4","-0.54","2022","74.2","16.98","10.2","0","10.2","13.7","0","13.7","60.1","0","60.1","22'07/08"
