"排名","代號","名稱","市場","股價日期","K線","成交","漲跌價","漲跌幅","成交張數","成交額(百萬)","昨收","開盤","最高","最低","振幅(%)","PER","PBR","一個月走勢圖","三個月走勢圖","一年走勢圖","三年走勢圖"
"601",="5876","上海商銀","市","03/17","","44.7","-0.05","-0.11","14,369","645","44.75","44.75","45.8","44.7","2.46","13.4","1.28","    ","    ","    ","    "
"602",="2891","中信金","市","03/17","","20.85","-0.05","-0.24","86,412","1,810","20.9","20.95","21.15","20.85","1.44","13.5","1.13","    ","    ","    ","    "
"603",="2360","致茂","市","03/17","","164","+0.5","+0.31","2,712","444","163.5","165","167","161.5","3.36","13.5","3.25","    ","    ","    ","    "
"604",="2461","光群雷","市","03/17","","20","+0.4","+2.04","116","2.31","19.6","19.85","20","19.7","1.53","13.5","1.11","    ","    ","    ","    "
"605",="8424","惠普","櫃","03/17","","69.1","0","0","3","0.18","69.1","69.7","69.7","69.1","0.87","13.5","2.34","    ","    ","    ","    "
"606",="2247","汎德永業","市","03/17","","236","+1","+0.43","100","23.8","235","237.5","239","235","1.7","13.5","1.61","    ","    ","    ","    "
"607",="6277","宏正","市","03/17","","78.7","-3.8","-4.61","4,762","376","82.5","83.7","83.7","78.7","6.06","13.5","2.06","    ","    ","    ","    "
"608",="4433","興采","櫃","03/17","","34.05","+1.05","+3.18","110","3.73","33","33","34.4","33","4.24","13.6","0.98","    ","    ","    ","    "
"609",="3693","營邦","櫃","03/17","","111","+2.5","+2.3","770","85.7","108.5","110.5","113","110.5","2.3","13.6","2.2","    ","    ","    ","    "
"610",="1434","福懋","市","03/17","","27.5","0","0","1,997","55","27.5","27.65","27.7","27.5","0.73","13.6","0.83","    ","    ","    ","    "
"611",="4744","皇將","櫃","03/17","","29.85","+0.65","+2.23","130","3.88","29.2","29.25","30.1","29.25","2.91","13.6","1.42","    ","    ","    ","    "
"612",="6188","廣明","櫃","03/17","","53.3","+1.3","+2.5","3,746","198","52","52.3","53.5","52","2.88","13.6","1.65","    ","    ","    ","    "
"613",="4535","至興","櫃","03/17","","38.55","+0.05","+0.13","13","0.5","38.5","37.9","38.65","37.9","1.95","13.7","1.19","    ","    ","    ","    "
"614",="2357","華碩","市","03/17","","271","+8","+3.04","4,408","1,186","263","264.5","271","263","3.04","13.7","0.95","    ","    ","    ","    "
"615",="6109","亞元","櫃","03/17","","16.05","0","0","850","13.8","16.05","16.2","16.55","16.05","3.12","13.7","1.39","    ","    ","    ","    "
"616",="1338","廣華-KY","市","03/17","","45.5","+0.1","+0.22","106","4.84","45.4","45.4","46.15","45","2.53","13.7","0.58","    ","    ","    ","    "
"617",="2480","敦陽科","市","03/17","","95.3","+0.7","+0.74","163","15.5","94.6","95","95.3","94.6","0.74","13.8","3.24","    ","    ","    ","    "
"618",="2109","華豐","市","03/17","","14.5","+0.05","+0.35","42","0.62","14.45","14.6","14.6","14.5","0.69","13.8","1.26","    ","    ","    ","    "
"619",="6667","信紘科","櫃","03/17","","67","+1.8","+2.76","446","29.7","65.2","65.6","67.5","65.6","2.91","13.8","2.26","    ","    ","    ","    "
"620",="3563","牧德","市","03/17","","184.5","+6","+3.36","341","62.5","178.5","180","185","180","2.8","13.8","2.83","    ","    ","    ","    "
"621",="6523","達爾膚","櫃","03/17","","104.5","+1.5","+1.46","87","9.12","103","103.5","105","103.5","1.46","13.8","3.08","    ","    ","    ","    "
"622",="1593","祺驊","櫃","03/17","","77","+1","+1.32","37","2.85","76","76","78","76","2.63","13.8","2.19","    ","    ","    ","    "
"623",="3426","台興","櫃","03/17","","39.2","0","0","0","0","39.2","39.2","39.2","39.2","0","13.9","1.49","    ","    ","    ","    "
