"排名","代號","名稱","市場","股價日期","K線","成交","漲跌價","漲跌幅","成交張數","成交額(百萬)","昨收","開盤","最高","最低","振幅(%)","PER","PBR","一個月走勢圖","三個月走勢圖","一年走勢圖","三年走勢圖"
"1",="2609","陽明","市","03/17","","65.4","+0.7","+1.08","30,601","1,997","64.7","65.3","65.6","65","0.93","1.26","0.67","    ","    ","    ","    "
"2",="8101","華冠","市","03/17","","5.9","+0.05","+0.85","96","0.56","5.85","5.84","5.9","5.79","1.88","1.47","1.16","    ","    ","    ","    "
"3",="2702","華園","市","03/17","","23.6","+0.7","+3.06","785","18.4","22.9","23","23.75","22.95","3.49","1.68","1.19","    ","    ","    ","    "
"4",="2603","長榮","市","03/17","","162","+2.5","+1.57","31,072","5,007","159.5","161","162","160","1.25","1.86","0.62","    ","    ","    ","    "
"5",="8421","旭源","櫃","03/17","","16.85","+0.25","+1.51","434","7.33","16.6","16.3","17.45","16.3","6.93","2.06","0.99","    ","    ","    ","    "
"6",="2025","千興","市","03/17","","5.7","-0.07","-1.21","519","2.99","5.77","5.83","5.83","5.7","2.25","2.07","1.18","    ","    ","    ","    "
"7",="2615","萬海","市","03/17","","69","+0.8","+1.17","13,051","900","68.2","69","69.6","68.5","1.61","2.08","0.86","    ","    ","    ","    "
"8",="8080","永利聯合","櫃","03/17","","10","0","0","0","0","10","10","10","10","0","2.2","1.3","    ","    ","    ","    "
"9",="1612","宏泰","市","03/17","","18.3","+0.4","+2.23","422","7.65","17.9","17.9","18.3","17.9","2.23","2.37","0.83","    ","    ","    ","    "
"10",="4304","勝昱","櫃","03/17","","9.9","-0.08","-0.8","93","0.93","9.98","10.15","10.3","9.9","4.01","2.58","1.62","    ","    ","    ","    "
"11",="6220","岳豐","櫃","03/17","","27.1","+0.95","+3.63","955","25.5","26.15","26.2","27.2","26.2","3.82","3.03","0.85","    ","    ","    ","    "
"12",="8354","冠好","櫃","03/17","","14.3","0","0","251","3.58","14.3","14.3","14.3","14.2","0.7","3.15","0.56","    ","    ","    ","    "
"13",="1742","台蠟","櫃","03/17","","15.45","+0.2","+1.31","14","0.22","15.25","15.35","15.45","15.35","0.66","3.25","0.88","    ","    ","    ","    "
"14",="3093","港建*","櫃","03/17","","41.95","+2.05","+5.14","6,846","288","39.9","40.55","43.25","40.55","6.77","3.34","1.28","    ","    ","    ","    "
"15",="2641","正德","櫃","03/17","","21.6","+0.25","+1.17","5,003","109","21.35","21.65","21.9","21.55","1.64","3.47","0.97","    ","    ","    ","    "
"16",="3706","神達","市","03/17","","28","+0.1","+0.36","2,748","77.1","27.9","28","28.15","28","0.54","3.61","0.55","    ","    ","    ","    "
"17",="2915","潤泰全","市","03/17","","57.9","-0.4","-0.69","5,397","313","58.3","58.5","58.7","57.5","2.06","3.72","0.78","    ","    ","    ","    "
"18",="3221","台嘉碩","櫃","03/17","","28.15","+0.25","+0.9","305","8.6","27.9","28.25","28.5","28","1.79","3.75","1.2","    ","    ","    ","    "
"19",="1457","宜進","市","03/17","","18.6","+0.1","+0.54","151","2.8","18.5","18.55","18.65","18.5","0.81","4.09","0.8","    ","    ","    ","    "
"20",="9944","新麗","市","03/17","","20.4","+0.05","+0.25","117","2.37","20.35","20.35","20.45","20.25","0.98","4.19","0.66","    ","    ","    ","    "
"21",="2643","捷迅","櫃","03/17","","74.4","+1.3","+1.78","149","11.1","73.1","73.4","74.9","73.4","2.05","4.27","1.5","    ","    ","    ","    "
"22",="3056","總太","市","03/17","","42.6","+0.15","+0.35","28,674","1,228","42.45","42.6","43.45","41.9","3.65","4.34","1.36","    ","    ","    ","    "
"23",="2636","台驊投控","市","03/17","","80","+3.7","+4.85","9,448","750","76.3","77.5","80","76.1","5.11","4.44","1.26","    ","    ","    ","    "
"24",="5609","中菲行","櫃","03/17","","84.3","+1.3","+1.57","1,550","130","83","83.5","84.5","83","1.81","4.51","1.87","    ","    ","    ","    "
"25",="5608","四維航","市","03/17","","27.45","+0.25","+0.92","5,222","143","27.2","27.5","27.6","27.15","1.65","4.51","1","    ","    ","    ","    "
"26",="1539","巨庭","市","03/17","","29.6","+0.3","+1.02","410","12.2","29.3","29.4","30.2","29.4","2.73","4.53","1.14","    ","    ","    ","    "
"27",="1475","業旺","市","03/17","","55.6","+0.4","+0.72","131","7.3","55.2","55.5","56.7","55","3.08","4.7","3.64","    ","    ","    ","    "
"28",="2637","慧洋-KY","市","03/17","","67.7","+0.1","+0.15","4,371","296","67.6","68.5","68.7","67.3","2.07","4.78","1.07","    ","    ","    ","    "
"29",="6171","大城地產","櫃","03/17","","25.95","+0.05","+0.19","50","1.31","25.9","25.9","26.1","25.8","1.16","4.81","1.41","    ","    ","    ","    "
"30",="5533","皇鼎","市","03/17","","17.7","+0.1","+0.57","159","2.82","17.6","17.65","17.8","17.6","1.14","4.97","0.56","    ","    ","    ","    "
"31",="8213","志超","市","03/17","","39.8","+0.65","+1.66","690","27.3","39.15","39.6","39.9","39.4","1.28","5.14","0.74","    ","    ","    ","    "
"32",="2897","王道銀行","市","03/17","","9.4","+0.25","+2.73","5,108","47.8","9.15","9.22","9.45","9.22","2.51","5.22","0.76","    ","    ","    ","    "
"33",="6111","大宇資","櫃","03/17","","57","+1.4","+2.52","431","24.5","55.6","55.8","57.2","55.8","2.52","5.31","3.09","    ","    ","    ","    "
"34",="8016","矽創","市","03/17","","224.5","-3","-1.32","7,425","1,682","227.5","233.5","236","220.5","6.81","5.37","2.43","    ","    ","    ","    "
"35",="4736","泰博","櫃","03/17","","188","+4","+2.17","938","176","184","185","190.5","184","3.53","5.37","1.94","    ","    ","    ","    "
"36",="1569","濱川","櫃","03/17","","24.8","+0.35","+1.43","442","10.9","24.45","24.6","24.95","24.6","1.43","5.57","0.83","    ","    ","    ","    "
"37",="5469","瀚宇博","市","03/17","","34.4","+0.9","+2.69","763","26.1","33.5","33.8","34.4","33.7","2.09","5.67","0.66","    ","    ","    ","    "
"38",="6706","惠特","市","03/17","","97.4","+0.6","+0.62","231","22.5","96.8","97.6","98.2","96.7","1.55","5.69","1.68","    ","    ","    ","    "
"39",="1626","艾美特-KY","市","03/17","","18.55","+0.15","+0.82","36","0.67","18.4","18.5","18.55","18.45","0.54","5.71","0.84","    ","    ","    ","    "
"40",="5519","隆大","市","03/17","","23.75","0","0","366","8.73","23.75","23.8","24","23.75","1.05","5.75","1.03","    ","    ","    ","    "
"41",="1541","錩泰","市","03/17","","34.4","+0.35","+1.03","34","1.15","34.05","34.05","34.4","34.05","1.03","5.78","1.36","    ","    ","    ","    "
"42",="2506","太設","市","03/17","","9.23","+0.11","+1.21","97","0.9","9.12","9.17","9.26","9.17","0.99","5.81","0.46","    ","    ","    ","    "
"43",="2387","精元","市","03/17","","39.5","+0.6","+1.54","468","18.3","38.9","39.2","39.55","38.9","1.67","5.81","0.87","    ","    ","    ","    "
"44",="1906","寶隆","市","03/17","","16.6","+0.1","+0.61","69","1.15","16.5","16.65","16.65","16.55","0.61","5.87","0.51","    ","    ","    ","    "
"45",="5015","華祺","櫃","03/17","","60.4","+0.5","+0.83","222","13.4","59.9","60","60.8","59.8","1.67","5.89","2.34","    ","    ","    ","    "
"46",="5014","建錩","櫃","03/17","","17.45","+0.25","+1.45","1,001","17.4","17.2","17.4","17.5","17.25","1.45","5.96","0.99","    ","    ","    ","    "
"47",="6770","力積電","市","03/17","","34.6","+1.25","+3.75","21,053","718","33.35","33.7","34.6","33.5","3.3","5.97","1.45","    ","    ","    ","    "
"48",="6191","精成科","市","03/17","","31.45","+0.5","+1.62","1,176","37","30.95","31.3","31.6","31.25","1.13","6","0.83","    ","    ","    ","    "
"49",="1236","宏亞","市","03/17","","23.65","+0.35","+1.5","231","5.44","23.3","23.4","24","23.4","2.58","6.05","0.87","    ","    ","    ","    "
"50",="3535","晶彩科","市","03/17","","21.9","+0.4","+1.86","385","8.42","21.5","21.55","22","21.55","2.09","6.12","1.42","    ","    ","    ","    "
"51",="2062","橋椿","市","03/17","","22.7","+0.2","+0.89","64","1.45","22.5","22.55","22.75","22.55","0.89","6.17","0.62","    ","    ","    ","    "
"52",="8924","大田","櫃","03/17","","132.5","+3","+2.32","565","74.5","129.5","130.5","133","130.5","1.93","6.19","2.46","    ","    ","    ","    "
"53",="3512","皇龍","櫃","03/17","","30.9","+0.4","+1.31","70","2.15","30.5","30.5","31","30.3","2.3","6.22","1.42","    ","    ","    ","    "
"54",="8234","新漢","櫃","03/17","","40.9","+1.4","+3.54","914","37.1","39.5","40","41.3","40","3.29","6.23","1.72","    ","    ","    ","    "
"55",="6506","雙邦","櫃","03/17","","21.1","+0.2","+0.96","49","1.03","20.9","21.05","21.1","20.95","0.72","6.28","1.3","    ","    ","    ","    "
"56",="2221","大甲","櫃","03/17","","42.1","+0.5","+1.2","69","2.89","41.6","42.2","42.2","41.7","1.2","6.29","1.75","    ","    ","    ","    "
"57",="1595","川寶","櫃","03/17","","39.3","+0.15","+0.38","12","0.46","39.15","39.3","39.3","39.2","0.26","6.35","0.69","    ","    ","    ","    "
"58",="8938","明安","櫃","03/17","","108","+1.5","+1.41","2,642","287","106.5","107.5","111","107","3.76","6.38","2.07","    ","    ","    ","    "
"59",="6227","茂綸","櫃","03/17","","48.4","+0.7","+1.47","202","9.75","47.7","48","48.45","48","0.94","6.41","1.63","    ","    ","    ","    "
"60",="4702","中美實","櫃","03/17","","12.65","+0.05","+0.4","41","0.52","12.6","12.7","12.85","12.65","1.59","6.42","0.8","    ","    ","    ","    "
"61",="3312","弘憶股","市","03/17","","19.1","+0.3","+1.6","467","8.9","18.8","18.95","19.15","18.9","1.33","6.43","1.21","    ","    ","    ","    "
"62",="2313","華通","市","03/17","","43.3","+0.2","+0.46","9,735","422","43.1","43.5","43.65","43.05","1.39","6.45","1.33","    ","    ","    ","    "
"63",="1526","日馳","市","03/17","","41.65","+0.7","+1.71","158","6.55","40.95","41.15","41.85","41.15","1.71","6.46","1.71","    ","    ","    ","    "
"64",="3051","力特","市","03/17","","17.85","-0.05","-0.28","596","10.7","17.9","18.2","18.2","17.8","2.23","6.51","1.23","    ","    ","    ","    "
"65",="2347","聯強","市","03/17","","61.5","+0.6","+0.99","2,782","171","60.9","61","61.8","61","1.31","6.51","1.41","    ","    ","    ","    "
"66",="2520","冠德","市","03/17","","28.2","+0.05","+0.18","2,036","57.6","28.15","28.35","28.5","28.2","1.07","6.54","0.82","    ","    ","    ","    "
"67",="6128","上福","市","03/17","","33.4","+0.4","+1.21","160","5.33","33","33.5","33.55","33.2","1.06","6.57","1.09","    ","    ","    ","    "
"68",="3114","好德","櫃","03/17","","27.2","+0.05","+0.18","80","2.18","27.15","27.25","27.25","27.1","0.55","6.59","1.07","    ","    ","    ","    "
"69",="6278","台表科","市","03/17","","91.2","+0.1","+0.11","1,490","136","91.1","91.5","92.4","90.5","2.09","6.6","1.36","    ","    ","    ","    "
"70",="5291","邑昇","櫃","03/17","","33","+0.15","+0.46","19","0.63","32.85","33","33.05","33","0.15","6.67","1.28","    ","    ","    ","    "
"71",="5223","安力-KY","櫃","03/17","","40.7","+0.6","+1.5","8","0.33","40.1","40.25","40.8","40.25","1.37","6.67","0.86","    ","    ","    ","    "
"72",="3037","欣興","市","03/17","","134","+4.5","+3.47","15,386","2,043","129.5","131.5","134","131","2.32","6.67","2.31","    ","    ","    ","    "
"73",="3548","兆利","櫃","03/17","","64.1","+0.9","+1.42","142","9.07","63.2","63.5","64.4","63.5","1.42","6.75","0.85","    ","    ","    ","    "
"74",="8941","關中","櫃","03/17","","61.5","+2.8","+4.77","125","7.62","58.7","59.2","62.5","59","5.96","6.77","2.09","    ","    ","    ","    "
"75",="3317","尼克森","櫃","03/17","","55.3","+1.6","+2.98","287","15.7","53.7","54.4","55.3","54.3","1.86","6.77","1.28","    ","    ","    ","    "
"76",="3067","全域","櫃","03/17","","32.7","0","0","0","0","32.85","32.7","32.7","32.7","0","6.77","2.67","    ","    ","    ","    "
"77",="5225","東科-KY","市","03/17","","40.95","+0.2","+0.49","342","14","40.75","41.3","41.6","40.5","2.7","6.79","1.14","    ","    ","    ","    "
"78",="8942","森鉅","櫃","03/17","","66","-0.5","-0.75","153","10.1","66.5","66.6","66.9","66","1.35","6.83","1.31","    ","    ","    ","    "
