code,content,date
廣華-KY,廣華-KY:公告本公司內部稽核主管異動,2022-08-27
廣華-KY,廣華-KY:董事會決議通過取消設置執行長乙職,2022-08-27
廣華-KY,廣華-KY:公告本公司經董事會通過之111年第二季自結合併財務報告,2022-08-27
聯德控股-KY,聯德控股-KY:公告本公司董事會決議分派111年第2季股利,2022-08-26
聯德控股-KY,聯德控股-KY:公告本公司董事會決議辦理庫藏股註銷暨訂定減資基準日,2022-08-26
聯德控股-KY,聯德控股-KY:公告本公司董事會通過111年第2季合併財務報告案,2022-08-26
菱光,菱光:公告本公司董事會決議撤銷111年第一次股東臨時會事宜,2022-08-26
訊芯-KY,"訊芯-KY:新增資金貸與子公司ShunSin Technology (Bag Giang,Vietnam)Limited金額達新台幣一千萬元以上且達該公開發行公司最近期財務報表淨值百分之二以上",2022-08-26
訊芯-KY,訊芯-KY:本公司暫停持股100%子公司訊芯香港增資事宜(更正110年12月29日重大訊息),2022-08-26
訊芯-KY,訊芯-KY:公告本公司董事會通過買回公司股份,2022-08-26
新光金,新光金:代子公司新光人壽公告資訊安全長異動事宜,2022-08-26
訊芯-KY,訊芯-KY:本公司董事會決議通過中華民國境內負責人暨中華民國境內訴訟及非訟代理人變動,2022-08-26
訊芯-KY,訊芯-KY:本公司董事會決議通過公司財務主管及會計主管變動,2022-08-26
訊芯-KY,訊芯-KY:公告本公司降低對中國子公司訊芸電子科技(中山)有限公司持股累積達百分之十以上,2022-08-26
訊芯-KY,訊芯-KY:公告本公司董事會通過2022年(111)第2季合併財務報告,2022-08-26
世芯-KY,世芯-KY：員工認股權憑證發行及認股辦法,2022-08-26
新光金,新光金:公告本公司取得新光人壽保險股份有限公司一筆使用權資產,2022-08-26
訊芯-KY,訊芯-KY:代子公司訊芸電子科技（中山）有限公司公告股東會決議事項,2022-08-26
新光金,新光金:本公司代子公司新光銀行公告第九屆董事辭任事宜。,2022-08-26
新光金,新光金:公告本公司董事會通過111年第2季合併財務報告,2022-08-26
瑞基,瑞基:公告瑞基股份有限公司國內第二次有擔保轉換公司債(簡稱：瑞基二，代碼：41712)自111年09月19日起，轉換價格自134.5元調整為115元。,2022-08-26
聯邦銀,聯邦銀:聯邦商業銀行股份有限公司（公司代號：2838）111年除權配股股票上市掛牌日期。,2022-08-26
聯邦銀,聯邦銀:公告本公司111年分派110年度盈餘暨員工酬勞轉增資之股票發放暨上市日期事宜。,2022-08-26
聯邦銀,聯邦銀:公告本公司111年分派110年度盈餘暨員工酬勞轉增資發行新股發放事宜。,2022-08-26
訊芯-KY,訊芯-KY:本公司代理發言人變動,2022-08-26
世芯-KY,世芯-KY:公告本公司董事會決議修訂2015年~2021年度員工認股權憑證發行辦法部分條文,2022-08-26
世芯-KY,世芯-KY:公告本公司董事會決議配息基準日,2022-08-26
駿熠電,駿熠電:公告本公司銀行融資額度使用情形及未來三個月之現金收支狀況。,2022-08-26
立凱-KY,立凱-KY:公告本公司董事會通過更換股務代理機構,2022-08-26
大同,大同:本公司受邀參加福邦證券之法人說明會,2022-08-26
鮮活果汁-KY,鮮活果汁-KY:公告本公司董事會通過111年第2季合併財務報告,2022-08-26
