code,content,date
志旭,志旭:本公司減資案新聞稿,2022-09-05
鉅祥,鉅祥:公告本公司111年第3季因員工認股權憑證執行而新增發行之股數,2022-09-05
上緯投控,上緯投控:上緯國際投資控股股份有限公司（公司代號：3708）111年第2季轉換普通股股票已上市股數。,2022-09-05
永豐金,永豐金:永豐金融控股股份有限公司111年盈餘轉增資發行新股資本額變更登記核准暨交付日期公告,2022-09-05
中鼎,中鼎8月營收77.58億元年增38.15% 1—8月達604.21億元,2022-09-05
崑鼎投控,崑鼎投控8月營收6.23億元年增17.19% 1—8月達45.44億元,2022-09-05
威潤,威潤8月營收0.17億元年增29.44% 1—8月達1.46億元,2022-09-05
志旭,志旭:本公司董事會通過辦理私募發行新股,2022-09-05
jpp-KY,jpp-KY8月營收1.64億元年增80.15% 1—8月達11.02億元,2022-09-05
新鼎,新鼎8月營收4.49億元年增100.39% 1—8月達22.53億元,2022-09-05
台耀,台耀8月營收2.79億元年增31.04% 1—8月達22.92億元,2022-09-05
鐿鈦,鐿鈦8月營收1.91億元年增32.78% 1—8月達14.92億元,2022-09-05
新鉅科,新鉅科8月營收0.92億元年減40.78% 1—8月達11.55億元,2022-09-05
熱映,熱映8月營收0.50億元年增0.34% 1—8月達3.95億元,2022-09-05
加百裕,加百裕8月營收11.68億元年增63.28% 1—8月達76.66億元,2022-09-05
鈊象,鈊象8月營收10.11億元年增4.76% 1—8月達77.79億元,2022-09-05
大量,大量8月營收1.63億元年減57.55% 1—8月達18.30億元,2022-09-05
晶宏,晶宏8月營收2.09億元年減21.01% 1—8月達19.36億元,2022-09-05
精確,精確:公告本公司受邀參加富邦證券舉辦之法人說明會,2022-09-05
豐達科,豐達科8月營收2.09億元年增76.67% 1—8月達13.12億元,2022-09-05
志旭,志旭:本公司111年度第一次股東臨時會召開日期,2022-09-05
精確,精確:代子公司精確集團香港有限公司依公開發行公司資金貸與及背書保證處理準則第二十二條第一項第二、三款規定辦理公告,2022-09-05
百容,百容8月營收1.85億元年減9.54% 1—8月達15.77億元,2022-09-05
佳世達,佳世達8月營收198.99億元年增11.85% 1—8月達1639.60億元,2022-09-05
志旭,志旭:本公司董事會通過擬減資彌補虧損,2022-09-05
精確,精確:依公開發行公司資金貸與及背書保證處理準則第二十二條第一項第二、三款規定公告,2022-09-05
精確,精確:代子公司精確集團香港有限公司依公開發行公司資金貸與及背書保證處理準則第二十二條第一項第一款規定辦理公告,2022-09-05
精確,精確:依公開發行公司資金貸與及背書保證處理準則第二十二條第一項第一款規定公告,2022-09-05
華冠,華冠:公告本公司接獲臺北士林地方法院民事裁定,2022-09-05
聯邦銀,聯邦銀:公布本行111年8月自結盈餘相關資訊。,2022-09-05
樺晟,樺晟:(更正事實發生日)公告本公司董事會決議授權董事長洽議簽訂取得「有機廢棄物處理水解爐系統及周邊設備」案,2022-09-05
樺晟,樺晟:(更正事實發生日)公告本公司董事會決議授權董事長洽議簽訂投資興建-「三峽專案廠房」案,2022-09-05
欣大健康,欣大健康:補正-公告本公司董事會決議111年度第1次私募普通股之特定人之應募人可能名單及資金用途計畫異動。,2022-09-05
元大金,元大金:元大金控代子公司元大投顧公告董事異動,2022-09-05
元大金,元大金:元大金控代子公司元大投顧公告董事長異動,2022-09-05
美律,美律:公告本公司自行結算111年8月集團合併營收,2022-09-05
能率,能率:公告本公司依證券交易法第四十三條之一第一項初次取得股份申報事項,2022-09-05
富邦金,富邦金:本公司發行110年度第一期無擔保普通公司債丙券第一次付息公告,2022-09-05
富邦金,富邦金:本公司發行110年度第一期無擔保普通公司債丁券第一次付息公告,2022-09-05
富邦金,富邦金:本公司發行110年度第一期無擔保普通公司債乙券第一次付息公告,2022-09-05
富邦金,富邦金:本公司發行109年度第二期無擔保普通公司債丙券第二次付息公告,2022-09-05
富邦金,富邦金:本公司發行110年度第一期無擔保普通公司債甲券第一次付息公告,2022-09-05
富邦金,富邦金:本公司發行109年度第二期無擔保普通公司債乙券第二次付息公告,2022-09-05
富邦金,富邦金:本公司發行109年度第二期無擔保普通公司債甲券第二次付息公告,2022-09-05
富邦金,富邦金:本公司發行107年度第一期無擔保普通公司債乙券第四次付息公告,2022-09-05
富邦金,富邦金:本公司發行107年度第一期無擔保普通公司債甲券第四次付息公告,2022-09-05
華冠,華冠:公告本公司辦理減資依公司法第252條及273條暨有價證券交付說明,2022-09-05
遠東新,遠東新:公告募集及交付本公司111年度第1次無擔保普通公司債,2022-09-05
東生華,東生華8月營收0.37億元年增7.89% 1—8月達3.01億元,2022-09-05
醣聯,醣聯:本公司可轉換公司債醣聯三(41683)近期達公布注意交易資訊標準，故公告相關訊息以利投資人區別瞭解。,2022-09-05
九齊,九齊8月營收1.12億元年減46.7% 1—8月達13.18億元,2022-09-05
GIS-KY,GIS-KY8月營收120.94億元年增4.32% 1—8月達800.98億元,2022-09-05
台表科,台表科8月營收58.59億元年減7.62% 1—8月達454.79億元,2022-09-05
迅杰,迅杰8月營收0.45億元年減45.1% 1—8月達4.81億元,2022-09-05
嘉聯益,嘉聯益8月營收18.24億元年增39.69% 1—8月達90.11億元,2022-09-05
金橋,金橋8月營收1.42億元年增29.17% 1—8月達9.23億元,2022-09-05
普誠,普誠8月營收1.62億元年增15.39% 1—8月達12.41億元,2022-09-05
創惟,創惟8月營收1.75億元年減37.54% 1—8月達24.87億元,2022-09-05
達興材料,達興材料8月營收2.53億元年減36.49% 1—8月達27.47億元,2022-09-05
東科-KY,東科-KY8月營收14.04億元年增42.02% 1—8月達86.67億元,2022-09-05
立積,立積8月營收3.02億元年減11.19% 1—8月達23.38億元,2022-09-05
光鋐,光鋐8月營收0.93億元年減41.7% 1—8月達8.08億元,2022-09-05
世坤,世坤8月營收0.58億元年減36.05% 1—8月達6.45億元,2022-09-05
