符合條件商品
資料日期：2021年 11月  4日
策略,	009投信5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(11/04),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 17:25 符合檔數(17)
1	,2481.TW,強茂,60.4,-0.33,2094,110,-42.03,9,投連買
2	,2345.TW,智邦,237.5,-6.5,4085,271.5,-10.4,7,投連買
3	,2455.TW,全新,67,0,1464,132.5,-46.83,7,投連買
4	,6271.TW,同欣電,201,-4.29,2372,271.5,-29.66,6,投連買
5	,9917.TW,中保科,99.6,1.32,404,101,3.52,6,投連買
6	,1102.TW,亞泥,41.55,0.24,6062,44.5,1.09,5,投連買
7	,1402.TW,遠東新,31.55,-4.39,10632,29.35,12.84,5,投連買
8	,2301.TW,光寶科,64,-0.47,4678,61,11.19,5,投連買
9	,2376.TW,技嘉,106.5,1.43,5227,121,1.17,5,投連買
10	,2412.TW,中華電,112.5,-0.44,6521,111,5.06,5,投連買
11	,2820.TW,華票,14.55,0,290,16.7,-7.91,5,投連買
12	,2883.TW,開發金,12.7,-0.78,8936,14.15,-3.5,5,投連買
13	,2888.TW,新光金,8.75,-0.57,13386,9.74,-6.12,5,投連買
14	,2889.TW,國票金,11.35,0,2314,15.85,-21.56,5,投連買
15	,2892.TW,第一金,26.3,-0.38,6392,22.95,21.37,5,投連買
16	,2912.TW,統一超,268,-1.47,996,281.5,-1.68,5,投連買
17	,5434.TW,崇越,167.5,0.9,197,140.5,25.89,5,投連買
