符合條件商品
資料日期：2021年 11月  8日
策略,	009投信5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(11/08),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 17:25 符合檔數(22)
1	,2345.TW,智邦,237.5,-6.5,4085,282.5,-13.89,9,投連買
2	,9917.TW,中保科,99.6,1.32,404,103.5,1.02,8,投連買
3	,1102.TW,亞泥,41.55,0.24,6062,44.9,0.19,7,投連買
4	,1402.TW,遠東新,31.55,-4.39,10632,29.45,12.44,7,投連買
5	,2301.TW,光寶科,64,-0.47,4678,61.7,9.93,7,投連買
6	,2376.TW,技嘉,106.5,1.43,5227,133.5,-8.3,7,投連買
7	,2412.TW,中華電,112.5,-0.44,6521,111.5,4.59,7,投連買
8	,2820.TW,華票,14.55,0,290,16.85,-8.72,7,投連買
9	,2883.TW,開發金,12.7,-0.78,8936,14.3,-4.51,7,投連買
10	,2888.TW,新光金,8.75,-0.57,13386,9.83,-6.91,7,投連買
11	,2889.TW,國票金,11.35,0,2314,15.75,-21.07,7,投連買
12	,2892.TW,第一金,26.3,-0.38,6392,23,21.14,7,投連買
13	,2912.TW,統一超,268,-1.47,996,287,-3.57,7,投連買
14	,5434.TW,崇越,167.5,0.9,197,140,26.34,7,投連買
15	,1326.TW,台化,69.4,-0.72,1689,80.7,-8.62,6,投連買
16	,2603.TW,長榮,167.5,-2.33,36972,124,-30.02,6,投連買
17	,3596.TW,智易,98.3,-0.2,490,115.5,-9.26,6,投連買
18	,2377.TW,微星,119.5,1.7,2513,158,-17.58,5,投連買
19	,2618.TW,長榮航,28.1,-2.09,27994,23.5,21.91,5,投連買
20	,2882.TW,國泰金,41.15,1.86,33982,58.7,-24.59,5,投連買
21	,3481.TW,群創,11.1,0,42046,18.45,-34.47,5,投連買
22	,6274.TW,台燿,52.5,1.16,910,97.3,-42.17,5,投連買
