符合條件商品
資料日期：2022年  1月  7日
策略,	009投信5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(01/07),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 17:18 符合檔數(23)
1	,2347.TW,聯強,61,-0.81,2957,66,-0.47,17,投連買
2	,6488.TW,環球晶,435.5,-2.57,2065,834,-46.8,12,投連買
3	,2108.TW,南帝,38.2,-0.26,608,86,-50.85,10,投連買
4	,2458.TW,義隆,86.1,-1.71,718,163.5,-40.49,10,投連買
5	,2542.TW,興富發,40.35,-3.93,8630,46.45,4.32,10,投連買
6	,6176.TW,瑞儀,106,0.47,1064,101.5,13.76,10,投連買
7	,1440.TW,南紡,17.3,-1.42,812,24.75,-26.82,8,投連買
8	,2353.TW,宏碁,23.15,0.22,5082,30.1,-15.48,8,投連買
9	,2382.TW,廣達,71.2,-0.97,4354,93,-16.96,8,投連買
10	,2637.TW,慧洋-KY,64.8,-3.28,13996,79.8,-14.29,8,投連買
11	,3008.TW,大立光,2140,0,324,2485,-9.34,8,投連買
12	,6116.TW,彩晶,11.1,0.91,3518,16.55,-27.4,8,投連買
13	,8415.TW,大國鋼,38.35,-0.78,181,39,3.51,8,投連買
14	,6278.TW,台表科,92.4,-0.86,1062,133.5,-25.3,7,投連買
15	,2233.TW,宇隆,99.5,0.3,88,109.5,-4.69,6,投連買
16	,3141.TW,晶宏,79.9,0.63,950,232,-64.23,6,投連買
17	,6196.TW,帆宣,117,-0.43,361,173.5,-29.64,6,投連買
18	,2324.TW,仁寶,22.95,0.44,9576,24.75,0.66,5,投連買
19	,2327.TW,國巨,460,-1.39,1468,515,-25.69,5,投連買
20	,2330.TW,台積電,455,-2.78,26724,634,-26.65,5,投連買
21	,2357.TW,華碩,271,-1.63,1392,377.5,-17.33,5,投連買
22	,3665.TW,貿聯-KY,251,-2.33,1391,253.5,2.1,5,投連買
23	,6187.TW,萬潤,65,0.93,810,138.5,-50.21,5,投連買
