符合條件商品
資料日期：2022年  4月 21日
策略,	009投信5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(04/21),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 16:44 符合檔數(50)
1	,4958.TW,臻鼎-KY,108,-1.37,2633,111.5,1.43,18,投連買
2	,2308.TW,台達電,281,-1.92,5149,253,13.72,17,投連買
3	,1326.TW,台化,69.4,-0.72,1689,80.9,-8.85,13,投連買
4	,2801.TW,彰銀,17.25,-0.29,2566,18.5,-3.14,13,投連買
5	,2880.TW,華南金,22.5,-1.1,4175,23.4,2.69,13,投連買
6	,2890.TW,永豐金,16.7,-4.84,27291,18.25,-3.19,13,投連買
7	,4904.TW,遠傳,65.7,-0.3,2525,77.1,-11.31,13,投連買
8	,5880.TW,合庫金,25.95,-0.76,4866,28.55,-2.99,13,投連買
9	,6147.TW,頎邦,58.6,0.51,604,68.7,-5.21,13,投連買
10	,6443.TW,元晶,34.1,1.19,7879,48.05,-29.03,13,投連買
11	,2412.TW,中華電,112.5,-0.44,6521,131,-10.98,12,投連買
12	,2301.TW,光寶科,64,-0.47,4678,66.8,-2.04,11,投連買
13	,2618.TW,長榮航,28.1,-2.09,27994,35.65,-19.62,11,投連買
14	,1402.TW,遠東新,31.55,-4.39,10632,30.4,8.94,10,投連買
15	,2354.TW,鴻準,51.4,-1.15,1092,60.7,-12.14,10,投連買
16	,2603.TW,長榮,167.5,-2.33,36972,145.5,-40.36,10,投連買
17	,2609.TW,陽明,67.3,-1.03,57425,125,-32.41,10,投連買
18	,2881.TW,富邦金,56.7,-0.18,6587,74.6,-15.18,10,投連買
19	,2885.TW,元大金,21.8,-0.91,10786,26.55,-9.62,10,投連買
20	,2887.TW,台新金,15.2,0,6593,19.3,-14.37,10,投連買
21	,2377.TW,微星,119.5,1.7,2513,122.5,6.31,9,投連買
22	,2395.TW,研華,333,-1.48,273,377,-9.47,9,投連買
23	,1795.TW,美時,232,0.22,11755,134.5,75.03,8,投連買
24	,2313.TW,華通,45.95,-1.08,9582,48,-4.27,8,投連買
25	,8069.TW,元太,167,-1.47,11565,185,-8.17,8,投連買
26	,2327.TW,國巨,460,-1.39,1468,412.5,-7.23,7,投連買
27	,2454.TW,聯發科,660,-0.15,2431,868,-16.4,7,投連買
28	,2455.TW,全新,67,0,1464,96,-26.61,7,投連買
29	,2606.TW,裕民,50.1,-3.47,10468,69.5,-22.7,7,投連買
30	,2610.TW,華航,19,-1.55,26392,29.75,-33.77,7,投連買
31	,3017.TW,奇鋐,111,-1.77,2015,113.5,1.53,7,投連買
32	,3711.TW,日月光投控,93.8,-3.6,11870,99.5,2.12,7,投連買
33	,6669.TW,緯穎,819,-1.33,686,1015,-16.73,7,投連買
34	,3374.TW,精材,99.5,-1.49,1508,138,-26.37,6,投連買
35	,4968.TW,立積,113.5,2.25,1398,216,-46.13,6,投連買
36	,1216.TW,統一,65.9,0,2803,67.5,1.63,5,投連買
37	,1301.TW,台塑,86.8,-0.46,6046,107,-12.18,5,投連買
38	,1513.TW,中興電,66,0.15,12515,56.3,23.55,5,投連買
39	,2337.TW,旺宏,35,0.57,15889,40.05,-6.89,5,投連買
40	,2408.TW,南亞科,51.4,-0.58,5241,66.9,-17.84,5,投連買
41	,2449.TW,京元電子,36.4,-1.75,4505,41.05,-4.26,5,投連買
42	,2812.TW,台中銀,12.8,-0.39,3299,15.05,-9.03,5,投連買
43	,2838.TW,聯邦銀,16.1,-0.92,465,16.95,4.41,5,投連買
44	,2855.TW,統一證,15.85,0,341,21.5,-17.36,5,投連買
45	,2891.TW,中信金,21.9,-1.13,23817,28.75,-19.54,5,投連買
46	,2892.TW,第一金,26.3,-0.38,6392,27.7,0.57,5,投連買
47	,2912.TW,統一超,268,-1.47,996,271.5,1.94,5,投連買
48	,3045.TW,台灣大,94.8,0,2514,108,-8.58,5,投連買
49	,3653.TW,健策,369.5,-0.81,1389,399.5,3.86,5,投連買
50	,9910.TW,豐泰,207.5,-1.19,2962,193.5,9.79,5,投連買
