符合條件商品
資料日期：2022年  6月  9日
策略,	009投信5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(06/09),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 16:35 符合檔數(11)
1	,2317.TW,鴻海,101,0,15490,115.5,-8.04,20,投連買
2	,3702.TW,大聯大,47.8,-0.52,2583,57.1,-10.35,11,投連買
3	,5876.TW,上海商銀,44.25,-0.45,2405,52.2,-12.13,11,投連買
4	,6146.TW,耕興,231,2.21,247,204.5,18.75,10,投連買
5	,2454.TW,聯發科,660,-0.15,2431,924,-21.47,9,投連買
6	,3707.TW,漢磊,86.9,0,3034,134.5,-35.13,8,投連買
7	,5274.TW,信驊,1830,0.83,312,2445,-16.43,8,投連買
8	,5425.TW,台半,75.3,0,4216,87.3,-10.98,7,投連買
9	,5269.TW,祥碩,717,0.14,564,1435,-48.64,6,投連買
10	,1301.TW,台塑,86.8,-0.46,6046,108,-12.99,5,投連買
11	,2313.TW,華通,45.95,-1.08,9582,47.9,-4.07,5,投連買
