符合條件商品
資料日期：2022年  6月 15日
策略,	009投信5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(06/15),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 16:35 符合檔數(17)
1	,2317.TW,鴻海,101,0,15490,112,-5.17,20,投連買
2	,3702.TW,大聯大,47.8,-0.52,2583,56.5,-9.38,15,投連買
3	,5876.TW,上海商銀,44.25,-0.45,2405,52.3,-12.31,15,投連買
4	,2454.TW,聯發科,660,-0.15,2431,884,-17.91,13,投連買
5	,5269.TW,祥碩,717,0.14,564,1320,-44.17,10,投連買
6	,2313.TW,華通,45.95,-1.08,9582,48.25,-4.77,9,投連買
7	,9910.TW,豐泰,207.5,-1.19,2962,200,6.23,7,投連買
8	,2324.TW,仁寶,22.95,0.44,9576,22.85,0.44,6,投連買
9	,2327.TW,國巨,460,-1.39,1468,383.5,-0.21,6,投連買
10	,2409.TW,友達,15.4,0.65,36394,17.4,-12.2,6,投連買
11	,2885.TW,元大金,21.8,-0.91,10786,23.05,4.11,6,投連買
12	,2338.TW,光罩,86.3,0.94,3470,94.6,-6.37,5,投連買
13	,2345.TW,智邦,237.5,-6.5,4085,240,1.36,5,投連買
14	,2382.TW,廣達,71.2,-0.97,4354,80,-3.47,5,投連買
15	,2881.TW,富邦金,56.7,-0.18,6587,61.8,2.38,5,投連買
16	,8114.TW,振樺電,110,0.92,219,130,-12.42,5,投連買
17	,9933.TW,中鼎,41.85,0.6,916,47.6,-7.41,5,投連買
