符合條件商品
資料日期：2022年 11月 21日
策略,	009投信5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(11/21),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 16:08 符合檔數(78)
1	,2327.TW,國巨,460,-1.39,1468,454,1.32,16,投連買
2	,3008.TW,大立光,2140,0,324,2270,-5.73,12,投連買
3	,1909.TW,榮成,15.55,-0.32,1849,16.2,-4.01,10,投連買
4	,4966.TW,譜瑞-KY,825,0.86,553,774,6.59,10,投連買
5	,1215.TW,卜蜂,78.3,0.77,1049,77.7,0.77,5,投連買
6	,1218.TW,泰山,32.6,1.24,3578,37.6,-13.3,5,投連買
7	,1219.TW,福壽,18.9,0.8,834,18.85,0.27,5,投連買
8	,1312.TW,國喬,18.95,1.07,4063,17.35,9.22,5,投連買
9	,1313.TW,聯成,13.8,-1.78,1516,12.6,9.52,5,投連買
10	,1440.TW,南紡,17.3,-1.42,812,16.7,3.59,5,投連買
11	,1442.TW,名軒,37.2,1.5,752,34.65,7.36,5,投連買
12	,1444.TW,力麗,10.3,0,557,10.55,-2.37,5,投連買
13	,1455.TW,集盛,10.45,0,596,10.4,0.48,5,投連買
14	,1513.TW,中興電,66,0.15,12515,55.7,18.49,5,投連買
15	,1515.TW,力山,30.9,0.49,381,30.4,1.64,5,投連買
16	,1527.TW,鑽全,41.3,0.12,137,41.45,-0.36,5,投連買
17	,1603.TW,華電,26.3,-0.75,181,26.4,-0.38,5,投連買
18	,1612.TW,宏泰,16.5,-1.2,304,15.8,4.43,5,投連買
19	,1701.TW,中化,33.5,8.41,15339,20.8,61.06,5,投連買
20	,1720.TW,生達,59.1,0.17,11057,47.2,25.21,5,投連買
21	,1733.TW,五鼎,25.65,-0.19,140,24.4,5.12,5,投連買
22	,1789.TW,神隆,25.9,-0.77,2066,24.55,5.5,5,投連買
23	,1905.TW,華紙,16.25,-1.81,591,17.2,-5.52,5,投連買
24	,2009.TW,第一銅,31.95,0.79,2420,31.8,0.47,5,投連買
25	,2023.TW,燁輝,16.8,-0.59,4854,14.9,12.75,5,投連買
26	,2031.TW,新光鋼,44,-0.56,5573,37.8,16.4,5,投連買
27	,2104.TW,國際中橡,19.6,0.77,1331,20.55,-4.62,5,投連買
28	,2108.TW,南帝,38.2,-0.26,608,36.3,5.23,5,投連買
29	,2201.TW,裕隆,59.1,-1.01,17319,54.1,9.24,5,投連買
30	,2208.TW,台船,19.5,-0.51,1938,17.4,12.07,5,投連買
31	,2312.TW,金寶,13.65,-1.09,2439,13.9,-1.8,5,投連買
32	,2328.TW,廣宇,37.65,-1.7,2360,34.1,10.41,5,投連買
33	,2329.TW,華泰,17.6,-1.68,1321,18.5,-4.86,5,投連買
34	,2369.TW,菱生,13.2,-1.49,383,14,-5.71,5,投連買
35	,2374.TW,佳能,20.7,0,250,21.5,-3.72,5,投連買
36	,2464.TW,盟立,38.1,-0.39,128,37.5,1.6,5,投連買
37	,2472.TW,立隆電,54.4,-1.45,170,55.7,-2.33,5,投連買
38	,2485.TW,兆赫,17.25,0.29,454,17.4,-0.86,5,投連買
39	,2489.TW,瑞軒,9.93,1.02,1113,10,-0.7,5,投連買
40	,2504.TW,國產,25.1,1.01,1440,24.95,0.6,5,投連買
41	,2520.TW,冠德,28.65,0.7,326,27.6,3.8,5,投連買
42	,2530.TW,華建,17.35,-0.29,360,18.85,-7.96,5,投連買
43	,2534.TW,宏盛,22.85,0.22,2104,25.7,-11.09,5,投連買
44	,2535.TW,達欣工,29.7,0.17,102,29.6,0.34,5,投連買
45	,2538.TW,基泰,11.95,0,174,12.25,-2.45,5,投連買
46	,2607.TW,榮運,29.1,1.39,5367,27.5,5.82,5,投連買
47	,2608.TW,嘉里大榮,38.05,-0.39,337,36.3,4.82,5,投連買
48	,2614.TW,東森,23.3,1.75,3526,20.6,13.11,5,投連買
49	,2748.TW,雲品,58.2,0.87,303,50.4,15.48,5,投連買
50	,2820.TW,華票,14.55,0,290,14.55,0,5,投連買
51	,2850.TW,新產,48.8,0.21,121,46.65,4.61,5,投連買
52	,2855.TW,統一證,15.85,0,341,15.65,1.28,5,投連買
53	,2889.TW,國票金,11.35,0,2314,11.1,2.25,5,投連買
54	,2913.TW,農林,21.45,-1.15,909,22.2,-3.38,5,投連買
55	,3030.TW,德律,63.7,-0.47,122,65.2,-2.3,5,投連買
