符合條件商品
資料日期：2022年 11月 23日
策略,	009投信5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(11/23),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 16:07 符合檔數(15)
1	,2327.TW,國巨,460,-1.39,1468,449,2.45,18,投連買
2	,3008.TW,大立光,2140,0,324,2280,-6.14,14,投連買
3	,1513.TW,中興電,66,0.15,12515,54.6,20.88,7,投連買
4	,2201.TW,裕隆,59.1,-1.01,17319,57.1,3.5,7,投連買
5	,4919.TW,新唐,117,-2.09,4502,122.5,-4.49,7,投連買
6	,6223.TW,旺矽,111.5,-3.46,3050,109,2.29,6,投連買
7	,1301.TW,台塑,86.8,-0.46,6046,88.9,-2.36,5,投連買
8	,1303.TW,南亞,70.3,-1.54,4616,76.3,-7.86,5,投連買
9	,2347.TW,聯強,61,-0.81,2957,58.2,4.81,5,投連買
10	,2353.TW,宏碁,23.15,0.22,5082,24.75,-6.46,5,投連買
11	,2357.TW,華碩,271,-1.63,1392,265,2.26,5,投連買
12	,2603.TW,長榮,167.5,-2.33,36972,153.5,9.12,5,投連買
13	,3217.TW,優群,80.7,0.37,119,90.1,-10.43,5,投連買
14	,3533.TW,嘉澤,829,0.36,375,873,-5.04,5,投連買
15	,6446.TW,藥華藥,488.5,-1.81,841,530,-7.83,5,投連買
