符合條件商品
資料日期：2021年 11月  5日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(11/05),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 17:01 符合檔數(24)
1	,4919.TW,新唐,117,-2.09,4502,124,-1.52,11,投連賣
2	,2303.TW,聯電,41.95,-2.1,34060,60.4,-26.04,10,投連賣
3	,3645.TW,達邁,32.55,-1.21,101,41.7,-19.59,10,投連賣
4	,2344.TW,華邦電,20.1,-0.99,9528,26.85,-22.24,8,投連賣
5	,2454.TW,聯發科,660,-0.15,2431,940,-22.8,8,投連賣
6	,3661.TW,世芯-KY,803,-1.35,2950,1235,-34.16,8,投連賣
7	,3711.TW,日月光投控,93.8,-3.6,11870,99.7,1.91,8,投連賣
8	,5871.TW,中租-KY,216.5,0.46,2711,265,-11.86,8,投連賣
9	,8081.TW,致新,141,-1.05,262,228.5,-32.06,8,投連賣
10	,2492.TW,華新科,78.7,-1.38,848,154,-46.32,7,投連賣
11	,6224.TW,聚鼎,57.2,-2.39,189,120,-50.18,7,投連賣
12	,2317.TW,鴻海,101,0,15490,109,-2.56,6,投連賣
13	,2379.TW,瑞昱,289,-0.52,1352,499.5,-37.01,6,投連賣
14	,2383.TW,台光電,176.5,-0.84,2034,230.5,-18.73,6,投連賣
15	,2458.TW,義隆,86.1,-1.71,718,162,-39.94,6,投連賣
16	,3014.TW,聯陽,71.5,-0.83,189,104.5,-22.21,6,投連賣
17	,3035.TW,智原,159,0.63,7973,197,-17.43,6,投連賣
18	,6239.TW,力成,81.3,0.62,1926,96.7,-9.09,6,投連賣
19	,6269.TW,台郡,99.2,-0.8,645,98,6.47,6,投連賣
20	,2002.TW,中鋼,30.7,0.16,37216,33.1,2.95,5,投連賣
21	,3264.TW,欣銓,49.85,-0.89,1243,61.3,-13.83,5,投連賣
22	,3675.TW,德微,168,2.75,1849,265,-35.12,5,投連賣
23	,4938.TW,和碩,64.2,0.31,3317,69,0.58,5,投連賣
24	,6531.TW,愛普*,170,0,2500,510,-65.79,5,投連賣
