符合條件商品
資料日期：2021年 11月  9日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(11/09),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 17:01 符合檔數(20)
1	,3645.TW,達邁,32.55,-1.21,101,41.5,-19.19,12,投連賣
2	,3661.TW,世芯-KY,803,-1.35,2950,1190,-31.67,10,投連賣
3	,8081.TW,致新,141,-1.05,262,233,-33.38,10,投連賣
4	,2492.TW,華新科,78.7,-1.38,848,159,-48,9,投連賣
5	,6224.TW,聚鼎,57.2,-2.39,189,120,-50.18,9,投連賣
6	,2317.TW,鴻海,101,0,15490,108,-1.66,8,投連賣
7	,2379.TW,瑞昱,289,-0.52,1352,511,-38.43,8,投連賣
8	,2383.TW,台光電,176.5,-0.84,2034,232,-19.26,8,投連賣
9	,2458.TW,義隆,86.1,-1.71,718,161.5,-39.75,8,投連賣
10	,3014.TW,聯陽,71.5,-0.83,189,104,-21.83,8,投連賣
11	,3035.TW,智原,159,0.63,7973,181,-10.13,8,投連賣
12	,6269.TW,台郡,99.2,-0.8,645,97.7,6.79,8,投連賣
13	,3264.TW,欣銓,49.85,-0.89,1243,58.5,-9.71,7,投連賣
14	,3675.TW,德微,168,2.75,1849,257.5,-33.22,7,投連賣
15	,2360.TW,致茂,179,0.56,783,188,-0.47,6,投連賣
16	,6138.TW,茂達,117.5,-0.42,755,177,-28.92,6,投連賣
17	,8383.TW,千附,38.1,-0.13,61,41.3,-1.01,6,投連賣
18	,3008.TW,大立光,2140,0,324,2060,9.37,5,投連賣
19	,3443.TW,創意,726,-0.55,5389,591,24.38,5,投連賣
20	,3707.TW,漢磊,86.9,0,3034,142,-38.56,5,投連賣
