符合條件商品
資料日期：2022年  4月 25日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(04/25),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:40 符合檔數(23)
1	,8299.TW,群聯,305,-0.81,792,385.5,-14.56,14,投連賣
2	,1531.TW,高林股,13.95,-0.36,46,14.9,-1.83,11,投連賣
3	,1817.TW,凱撒衛,37.9,0.4,40,35.25,14.05,11,投連賣
4	,2236.TW,百達-KY,23.6,0.43,223,25.95,3.78,11,投連賣
5	,8433.TW,弘帆,62.4,0.32,14,43.65,49.68,11,投連賣
6	,5284.TW,jpp-KY,68.8,-2.41,2843,43.95,64.71,10,投連賣
7	,5439.TW,高技,46.85,0,102,50.6,1.01,10,投連賣
8	,6488.TW,環球晶,435.5,-2.57,2065,549,-19.19,10,投連賣
9	,2338.TW,光罩,86.3,0.94,3470,74.5,18.89,7,投連賣
10	,3141.TW,晶宏,79.9,0.63,950,133,-37.61,7,投連賣
11	,6781.TW,AES-KY,680,1.34,965,931,-25.89,7,投連賣
12	,8255.TW,朋程,177,5.04,12777,174.5,4.42,7,投連賣
13	,6187.TW,萬潤,65,0.93,810,105.5,-34.64,6,投連賣
14	,2006.TW,東和鋼鐵,53.2,0.95,1881,65.4,-18.65,5,投連賣
15	,2027.TW,大成鋼,43.15,-1.93,15303,48.5,-5.41,5,投連賣
16	,2376.TW,技嘉,106.5,1.43,5227,107,14.41,5,投連賣
17	,2458.TW,義隆,86.1,-1.71,718,150.5,-35.35,5,投連賣
18	,3036.TW,文曄,62.7,-0.95,1327,70.1,-4.35,5,投連賣
19	,3324.TW,雙鴻,151,-0.66,649,162,-3.35,5,投連賣
20	,3481.TW,群創,11.1,0,42046,14.65,-17.47,5,投連賣
21	,6116.TW,彩晶,11.1,0.91,3518,13,-7.58,5,投連賣
22	,6278.TW,台表科,92.4,-0.86,1062,102,-2.23,5,投連賣
23	,6679.TW,鈺太,229,0.44,465,351.5,-33.3,5,投連賣
