符合條件商品
資料日期：2022年  6月  1日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(06/01),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:37 符合檔數(38)
1	,2002.TW,中鋼,30.7,0.16,37216,34.15,-0.23,20,投連賣
2	,5439.TW,高技,46.85,0,102,49.6,3.06,20,投連賣
3	,2354.TW,鴻準,51.4,-1.15,1092,56,-4.76,14,投連賣
4	,2387.TW,精元,39.25,-1.75,500,37.5,12.92,12,投連賣
5	,2912.TW,統一超,268,-1.47,996,266.5,3.85,11,投連賣
6	,2409.TW,友達,15.4,0.65,36394,17.6,-13.19,10,投連賣
7	,3189.TW,景碩,107,0,9581,166,-33.54,8,投連賣
8	,4904.TW,遠傳,65.7,-0.3,2525,81.5,-16.1,8,投連賣
9	,5347.TW,世界,81.5,-1.69,3288,103.5,-16.11,8,投連賣
10	,8046.TW,南電,242,-0.41,10124,371,-32.44,8,投連賣
11	,1102.TW,亞泥,41.55,0.24,6062,44.8,0.44,7,投連賣
12	,1216.TW,統一,65.9,0,2803,65.6,4.59,7,投連賣
13	,2347.TW,聯強,61,-0.81,2957,70,-6.17,7,投連賣
14	,2408.TW,南亞科,51.4,-0.58,5241,66.8,-17.72,7,投連賣
15	,2458.TW,義隆,86.1,-1.71,718,150.5,-35.35,7,投連賣
16	,2834.TW,臺企銀,12.9,-0.39,8238,12.1,11.5,7,投連賣
17	,2883.TW,開發金,12.7,-0.78,8936,15.95,-14.36,7,投連賣
18	,2890.TW,永豐金,16.7,-4.84,27291,17.75,-0.48,7,投連賣
19	,2892.TW,第一金,26.3,-0.38,6392,26.5,5.12,7,投連賣
20	,5230.TW,雷笛克光學,22.8,0,19,24.45,-3.55,7,投連賣
21	,9904.TW,寶成,34.05,0.44,6898,31.25,14.96,7,投連賣
22	,9910.TW,豐泰,207.5,-1.19,2962,188.5,12.7,7,投連賣
23	,1303.TW,南亞,70.3,-1.54,4616,84.6,-8.38,6,投連賣
24	,2301.TW,光寶科,64,-0.47,4678,63.5,3.04,6,投連賣
25	,2886.TW,兆豐金,30.55,-0.97,8425,38.2,-14.83,6,投連賣
26	,2891.TW,中信金,21.9,-1.13,23817,26.55,-12.85,6,投連賣
27	,3035.TW,智原,159,0.63,7973,238,-31.65,6,投連賣
28	,3037.TW,欣興,125,2.46,35224,205.5,-37.8,6,投連賣
29	,3455.TW,由田,80.3,-0.25,313,84.3,1.3,6,投連賣
30	,1326.TW,台化,69.4,-0.72,1689,81.7,-9.74,5,投連賣
31	,2207.TW,和泰車,592,-0.67,113,620,-1.32,5,投連賣
32	,2337.TW,旺宏,35,0.57,15889,39.6,-5.84,5,投連賣
33	,2344.TW,華邦電,20.1,-0.99,9528,28.95,-27.88,5,投連賣
34	,2887.TW,台新金,15.2,0,6593,17.55,-5.82,5,投連賣
35	,5880.TW,合庫金,25.95,-0.76,4866,27.65,0.19,5,投連賣
36	,6147.TW,頎邦,58.6,0.51,604,69.5,-6.3,5,投連賣
37	,6679.TW,鈺太,229,0.44,465,320.5,-26.85,5,投連賣
38	,9958.TW,世紀鋼,88.9,-1.22,9352,114,-19.02,5,投連賣
