符合條件商品
資料日期：2022年  9月  2日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(09/02),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:23 符合檔數(10)
1	,1795.TW,美時,232,0.22,11755,170,36.47,11,投連賣
2	,3037.TW,欣興,125,2.46,35224,138.5,-9.75,10,投連賣
3	,4958.TW,臻鼎-KY,108,-1.37,2633,109,-0.92,9,投連賣
4	,3017.TW,奇鋐,111,-1.77,2015,105.5,5.21,8,投連賣
5	,2603.TW,長榮,167.5,-2.33,36972,79.7,-9.19,5,投連賣
6	,3189.TW,景碩,107,0,9581,111.5,-4.04,5,投連賣
7	,5871.TW,中租-KY,216.5,0.46,2711,188.5,14.85,5,投連賣
8	,6488.TW,環球晶,435.5,-2.57,2065,466,-6.55,5,投連賣
9	,8046.TW,南電,242,-0.41,10124,243,-0.41,5,投連賣
10	,9921.TW,巨大,209,-1.18,293,229,-8.73,5,投連賣
