符合條件商品
資料日期：2022年  9月 13日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(09/13),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:22 符合檔數(10)
1	,3189.TW,景碩,107,0,9581,111.5,-4.04,11,投連賣
2	,6415.TW,矽力*-KY,445,1.37,2330,524,-15.08,10,投連賣
3	,2313.TW,華通,45.95,-1.08,9582,50.5,-9.01,9,投連賣
4	,3567.TW,逸昌,24.95,0.4,68,28.3,-11.84,9,投連賣
5	,6781.TW,AES-KY,680,1.34,965,817,-16.77,8,投連賣
6	,4919.TW,新唐,117,-2.09,4502,122.5,-4.49,6,投連賣
7	,9914.TW,美利達,171,-2.29,298,211.5,-19.15,6,投連賣
8	,2352.TW,佳世達,27.5,1.66,4573,29.15,-5.66,5,投連賣
9	,4927.TW,泰鼎-KY,54.5,-0.73,593,58.9,-7.47,5,投連賣
10	,6278.TW,台表科,92.4,-0.86,1062,91.7,0.76,5,投連賣
