符合條件商品
資料日期：2022年 10月 25日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(10/25),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:16 符合檔數(13)
1	,1560.TW,中砂,109.5,-1.35,2814,100.5,8.96,14,投連賣
2	,5340.TW,建榮,25.25,-0.79,22,25.8,-2.13,13,投連賣
3	,6515.TW,穎崴,404,-1.46,559,310.5,30.11,11,投連賣
4	,3406.TW,玉晶光,364,-0.68,820,292,24.66,10,投連賣
5	,5439.TW,高技,46.85,0,102,38.8,20.75,9,投連賣
6	,4919.TW,新唐,117,-2.09,4502,97.3,20.25,8,投連賣
7	,6491.TW,晶碩,404.5,-1.94,432,275,47.09,7,投連賣
8	,8255.TW,朋程,177,5.04,12777,127.5,38.82,7,投連賣
9	,2634.TW,漢翔,34.55,3.13,14471,31.35,10.21,6,投連賣
10	,3567.TW,逸昌,24.95,0.4,68,23.4,6.62,6,投連賣
11	,6438.TW,迅得,86.2,-0.69,51,74.8,15.24,6,投連賣
12	,1513.TW,中興電,66,0.15,12515,51.1,29.16,5,投連賣
13	,5388.TW,中磊,77.4,-0.13,1579,75.2,2.93,5,投連賣
