符合條件商品
資料日期：2022年 11月 28日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(11/28),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:10 符合檔數(26)
1	,1402.TW,遠東新,31.55,-4.39,10632,31.75,-0.63,13,投連賣
2	,2360.TW,致茂,179,0.56,783,190,-5.79,11,投連賣
3	,2890.TW,永豐金,16.7,-4.84,27291,17.5,-4.57,11,投連賣
4	,6472.TW,保瑞,406.5,-2.28,4588,428,-5.02,11,投連賣
5	,2474.TW,可成,169,-1.74,2651,180,-6.11,10,投連賣
6	,3045.TW,台灣大,94.8,0,2514,93,1.94,10,投連賣
7	,8928.TW,鉅明,39.05,-0.26,45,36.45,7.13,10,投連賣
8	,1605.TW,華新,46.75,-1.68,42087,45.95,1.74,9,投連賣
9	,1216.TW,統一,65.9,0,2803,65.3,0.92,8,投連賣
10	,1477.TW,聚陽,238.5,0,510,221,7.92,8,投連賣
11	,2385.TW,群光,87.2,0.11,1118,82,6.34,8,投連賣
12	,5483.TW,中美晶,143.5,-1.37,3418,158,-9.18,8,投連賣
13	,6533.TW,晶心科,494.5,-1.69,4905,537,-7.91,7,投連賣
14	,1795.TW,美時,232,0.22,11755,246.5,-5.88,6,投連賣
15	,2301.TW,光寶科,64,-0.47,4678,65.5,-2.29,6,投連賣
16	,2324.TW,仁寶,22.95,0.44,9576,21.75,5.52,6,投連賣
17	,2356.TW,英業達,26,0.19,6530,24.4,6.56,6,投連賣
18	,5876.TW,上海商銀,44.25,-0.45,2405,46.4,-4.63,6,投連賣
19	,8028.TW,昇陽半導體,57.5,-2.87,2439,54,6.48,6,投連賣
20	,1101.TW,台泥,34.05,-1.16,23484,33,3.18,5,投連賣
21	,2014.TW,中鴻,27.6,1.1,53751,22.6,22.12,5,投連賣
22	,2458.TW,義隆,86.1,-1.71,718,88,-2.16,5,投連賣
23	,2892.TW,第一金,26.3,-0.38,6392,25.85,1.74,5,投連賣
24	,3023.TW,信邦,275.5,-0.18,232,272.5,1.1,5,投連賣
25	,3675.TW,德微,168,2.75,1849,179.5,-6.41,5,投連賣
26	,4945.TW,陞達科技,46.75,-2.6,16,47.6,-1.79,5,投連賣
