符合條件商品
資料日期：2022年 12月 23日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	連賣次數,	主融外自投
執行時間：2022-12-25 16:05 符合檔數(15)
1	,3037.TW,欣興,125,2.46,35224,14,投連賣
2	,2441.TW,超豐,48.2,-2.33,4006,11,投連賣
3	,1215.TW,卜蜂,78.3,0.77,1049,10,投連賣
4	,1232.TW,大統益,141.5,-0.35,131,10,投連賣
5	,5274.TW,信驊,1830,0.83,312,10,投連賣
6	,3567.TW,逸昌,24.95,0.4,68,9,投連賣
7	,4945.TW,陞達科技,46.75,-2.6,16,9,投連賣
8	,5220.TW,萬達光電,28.2,-0.88,20,9,投連賣
9	,5483.TW,中美晶,143.5,-1.37,3418,9,投連賣
10	,1101.TW,台泥,34.05,-1.16,23484,8,投連賣
11	,9940.TW,信義,27.2,-0.18,182,8,投連賣
12	,6488.TW,環球晶,435.5,-2.57,2065,7,投連賣
13	,2368.TW,金像電,88.4,-1.12,3685,6,投連賣
14	,3034.TW,聯詠,301.5,-0.17,3163,6,投連賣
15	,4551.TW,智伸科,146,-0.68,691,5,投連賣
