符合條件商品
資料日期：2021年 12月  7日
策略,	007自營商5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(12/07),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 15:08 符合檔數(21)
1	,1907.TW,永豐餘,24.45,-1.21,810,35.1,-25.73,10,自連買
2	,3545.TW,敦泰,59.4,2.24,1934,173,-58.94,10,自連買
3	,6141.TW,柏承,19.2,-1.03,131,26.6,-29.36,8,自連買
4	,6239.TW,力成,81.3,0.62,1926,96.9,-9.27,8,自連買
5	,3016.TW,嘉晶,71.2,0.28,652,147.5,-51,7,自連買
6	,6412.TW,群電,74.5,2.48,374,77.5,2.73,7,自連買
7	,3312.TW,弘憶股,17.65,-1.12,87,25.2,-22.18,6,自連買
8	,4722.TW,國精化,34.1,-0.29,11,42.25,-14.47,6,自連買
9	,6224.TW,聚鼎,57.2,-2.39,189,128,-53.29,6,自連買
10	,6523.TW,達爾膚,103,-5.07,860,132,-14.82,6,自連買
11	,1808.TW,潤隆,68,1.49,885,59.6,34.95,5,自連買
12	,2015.TW,豐興,65.9,1.85,274,79.6,-12.66,5,自連買
13	,2371.TW,大同,33.7,0,4072,34.45,-2.18,5,自連買
14	,2537.TW,聯上發,7.16,0,193,10.8,-26.41,5,自連買
15	,3703.TW,欣陸,28.15,0.18,655,25.4,17.73,5,自連買
16	,4952.TW,凌通,47.85,0.1,191,72.4,-28.59,5,自連買
17	,4961.TW,天鈺,117,0.86,1402,267,-49.62,5,自連買
18	,5203.TW,訊連,83,-0.6,51,91.8,-7.84,5,自連買
19	,5607.TW,遠雄港,50.7,-0.39,436,60.8,-13.83,5,自連買
20	,6669.TW,緯穎,819,-1.33,686,1010,-16.31,5,自連買
21	,6706.TW,惠特,89.3,1.59,265,227.5,-57.36,5,自連買
