符合條件商品
資料日期：2021年 12月  9日
策略,	007自營商5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(12/09),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 15:08 符合檔數(16)
1	,6239.TW,力成,81.3,0.62,1926,97.2,-9.56,10,自連買
2	,3016.TW,嘉晶,71.2,0.28,652,142.5,-49.28,9,自連買
3	,6412.TW,群電,74.5,2.48,374,78.7,1.17,9,自連買
4	,3312.TW,弘憶股,17.65,-1.12,87,24.1,-18.63,8,自連買
5	,6224.TW,聚鼎,57.2,-2.39,189,134.5,-55.55,8,自連買
6	,6523.TW,達爾膚,103,-5.07,860,109,3.15,8,自連買
7	,1808.TW,潤隆,68,1.49,885,59.5,35.19,7,自連買
8	,2015.TW,豐興,65.9,1.85,274,80,-13.1,7,自連買
9	,2371.TW,大同,33.7,0,4072,32.85,2.59,7,自連買
10	,3703.TW,欣陸,28.15,0.18,655,25.45,17.49,7,自連買
11	,5203.TW,訊連,83,-0.6,51,90.9,-6.93,7,自連買
12	,1409.TW,新纖,17.9,0.28,1722,19.9,-3.03,5,自連買
13	,2885.TW,元大金,21.8,-0.91,10786,25,-4.01,5,自連買
14	,6128.TW,上福,29.3,-0.51,64,29.7,5.97,5,自連買
15	,6416.TW,瑞祺電通,90,0.22,41,103,-10.78,5,自連買
16	,6477.TW,安集,45.15,0.22,708,44.05,3.7,5,自連買
