符合條件商品
資料日期：2022年  4月 15日
策略,	007自營商5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(04/15),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 14:40 符合檔數(28)
1	,2301.TW,光寶科,64,-0.47,4678,67.6,-3.21,18,自連買
2	,2382.TW,廣達,71.2,-0.97,4354,85.9,-10.1,17,自連買
3	,2441.TW,超豐,48.2,-2.33,4006,70.6,-26.06,14,自連買
4	,5522.TW,遠雄,58.5,0.34,1205,67.6,-3.66,14,自連買
5	,1101.TW,台泥,34.05,-1.16,23484,47.1,-18.52,13,自連買
6	,2356.TW,英業達,26,0.19,6530,25.35,8.92,11,自連買
7	,2886.TW,兆豐金,30.55,-0.97,8425,42.85,-24.06,11,自連買
8	,2002.TW,中鋼,30.7,0.16,37216,39.55,-13.84,10,自連買
9	,2347.TW,聯強,61,-0.81,2957,77.6,-15.36,9,自連買
10	,2385.TW,群光,87.2,0.11,1118,86.1,9.14,9,自連買
11	,2606.TW,裕民,50.1,-3.47,10468,62.3,-13.77,9,自連買
12	,3044.TW,健鼎,96,1.59,1391,126,-18.48,9,自連買
13	,4938.TW,和碩,64.2,0.31,3317,70.3,-1.29,9,自連買
14	,6176.TW,瑞儀,106,0.47,1064,104.5,10.5,9,自連買
15	,2038.TW,海光,23.05,-3.15,5951,35,-29.81,7,自連買
16	,2540.TW,愛山林,71.9,-1.64,383,124.5,-2.43,7,自連買
17	,1301.TW,台塑,86.8,-0.46,6046,105,-10.51,6,自連買
18	,3257.TW,虹冠電,43.65,0.81,25,72.2,-35.04,6,自連買
19	,4128.TW,中天,66.8,-2.2,19523,59.4,23.34,6,自連買
20	,9958.TW,世紀鋼,88.9,-1.22,9352,130.5,-29.26,6,自連買
21	,1760.TW,寶齡富錦,190,8.57,30709,136,41.64,5,自連買
22	,2233.TW,宇隆,99.5,0.3,88,108,-3.37,5,自連買
23	,2482.TW,連宇,24.2,-2.81,1591,12.45,94.38,5,自連買
24	,2801.TW,彰銀,17.25,-0.29,2566,18.75,-4.43,5,自連買
25	,3231.TW,緯創,29.9,-0.83,12268,29.4,10.99,5,自連買
26	,3376.TW,新日興,80.7,-0.25,113,83.5,3.32,5,自連買
27	,3645.TW,達邁,32.55,-1.21,101,57.6,-41.78,5,自連買
28	,4943.TW,康控-KY,10.6,9.17,1592,24.25,-56.29,5,自連買
