符合條件商品
資料日期：2022年  8月  8日
策略,	007自營商5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(08/08),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 13:19 符合檔數(20)
1	,2324.TW,仁寶,22.95,0.44,9576,23.1,-0.65,17,自連買
2	,2356.TW,英業達,26,0.19,6530,24.2,7.44,17,自連買
3	,2006.TW,東和鋼鐵,53.2,0.95,1881,52,2.31,16,自連買
4	,5522.TW,遠雄,58.5,0.34,1205,62.9,-3.5,14,自連買
5	,2301.TW,光寶科,64,-0.47,4678,66.5,-1.6,12,自連買
6	,2441.TW,超豐,48.2,-2.33,4006,62.2,-16.09,12,自連買
7	,3044.TW,健鼎,96,1.59,1391,101,-4.95,12,自連買
8	,2347.TW,聯強,61,-0.81,2957,56.5,7.96,10,自連買
9	,2354.TW,鴻準,51.4,-1.15,1092,48.6,5.76,9,自連買
10	,1102.TW,亞泥,41.55,0.24,6062,40.9,1.59,6,自連買
11	,2313.TW,華通,45.95,-1.08,9582,50.7,-9.37,6,自連買
12	,2385.TW,群光,87.2,0.11,1118,79.6,9.55,6,自連買
13	,3228.TW,金麗科,187,-1.32,123,307,-39.09,6,自連買
14	,3545.TW,敦泰,59.4,2.24,1934,69.5,-14.53,6,自連買
15	,5534.TW,長虹,73.6,2.22,690,73.7,5.85,6,自連買
16	,6143.TW,振曜,66.9,0.45,825,50.8,38.19,6,自連買
17	,1101.TW,台泥,34.05,-1.16,23484,38.7,-12.02,5,自連買
18	,2382.TW,廣達,71.2,-0.97,4354,79.7,-10.66,5,自連買
19	,3231.TW,緯創,29.9,-0.83,12268,27.65,8.14,5,自連買
20	,3702.TW,大聯大,47.8,-0.52,2583,51.3,-6.82,5,自連買
