符合條件商品
資料日期：2022年  8月  9日
策略,	007自營商5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(08/09),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 13:19 符合檔數(22)
1	,2324.TW,仁寶,22.95,0.44,9576,23.1,-0.65,18,自連買
2	,2356.TW,英業達,26,0.19,6530,24.45,6.34,18,自連買
3	,2006.TW,東和鋼鐵,53.2,0.95,1881,52.3,1.72,17,自連買
4	,5522.TW,遠雄,58.5,0.34,1205,63.5,-4.41,15,自連買
5	,2301.TW,光寶科,64,-0.47,4678,68.1,-3.9,13,自連買
6	,2441.TW,超豐,48.2,-2.33,4006,62,-15.81,13,自連買
7	,3044.TW,健鼎,96,1.59,1391,101.5,-5.42,13,自連買
8	,2347.TW,聯強,61,-0.81,2957,55.2,10.51,11,自連買
9	,2354.TW,鴻準,51.4,-1.15,1092,49.1,4.68,10,自連買
10	,1102.TW,亞泥,41.55,0.24,6062,41.25,0.73,7,自連買
11	,2385.TW,群光,87.2,0.11,1118,85.3,2.23,7,自連買
12	,3228.TW,金麗科,187,-1.32,123,327.5,-42.9,7,自連買
13	,3545.TW,敦泰,59.4,2.24,1934,68.9,-13.79,7,自連買
14	,5534.TW,長虹,73.6,2.22,690,74.6,4.58,7,自連買
15	,6143.TW,振曜,66.9,0.45,825,52.5,33.72,7,自連買
16	,1101.TW,台泥,34.05,-1.16,23484,38.75,-12.13,6,自連買
17	,2382.TW,廣達,71.2,-0.97,4354,80.5,-11.55,6,自連買
18	,3231.TW,緯創,29.9,-0.83,12268,28,6.79,6,自連買
19	,3702.TW,大聯大,47.8,-0.52,2583,51.1,-6.46,6,自連買
20	,2476.TW,鉅祥,46.4,-0.96,356,53.8,-10.29,5,自連買
21	,3056.TW,總太,30.6,0.82,476,29.5,3.73,5,自連買
22	,9945.TW,潤泰新,43.65,-1.58,3379,60,12.62,5,自連買
