符合條件商品
資料日期：2022年  9月 13日
策略,	007自營商5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(09/13),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 13:13 符合檔數(20)
1	,2324.TW,仁寶,22.95,0.44,9576,23.15,-0.86,20,自連買
2	,2356.TW,英業達,26,0.19,6530,23.5,10.64,20,自連買
3	,3036.TW,文曄,62.7,-0.95,1327,62.9,-0.32,20,自連買
4	,3044.TW,健鼎,96,1.59,1391,99,-3.03,20,自連買
5	,5522.TW,遠雄,58.5,0.34,1205,62.7,-3.19,20,自連買
6	,2449.TW,京元電子,36.4,-1.75,4505,36.2,0.55,18,自連買
7	,3231.TW,緯創,29.9,-0.83,12268,27.65,8.14,18,自連買
8	,2006.TW,東和鋼鐵,53.2,0.95,1881,54.3,-2.03,16,自連買
9	,2014.TW,中鴻,27.6,1.1,53751,24.55,12.42,16,自連買
10	,1101.TW,台泥,34.05,-1.16,23484,39.9,-14.66,7,自連買
11	,2385.TW,群光,87.2,0.11,1118,81.9,6.47,7,自連買
12	,2634.TW,漢翔,34.55,3.13,14471,36.7,-5.86,7,自連買
13	,4938.TW,和碩,64.2,0.31,3317,65.5,-1.98,7,自連買
14	,2409.TW,友達,15.4,0.65,36394,17.35,-17.82,6,自連買
15	,5321.TW,美而快,63.1,-0.47,32,95.3,-23.43,6,自連買
16	,6192.TW,巨路,69.2,-0.86,148,70.1,-9.75,6,自連買
17	,2455.TW,全新,67,0,1464,68.6,-2.33,5,自連買
18	,3105.TW,穩懋,138,0.36,2757,165.5,-16.62,5,自連買
19	,3552.TW,同致,141.5,1.07,902,194.5,-27.25,5,自連買
20	,6285.TW,啟碁,80.8,-2.3,4232,85.9,-5.94,5,自連買
