符合條件商品
資料日期：2022年 10月 17日
策略,	007自營商5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(10/17),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 13:08 符合檔數(44)
1	,1102.TW,亞泥,41.55,0.24,6062,38,9.34,20,自連買
2	,1312.TW,國喬,18.95,1.07,4063,17.05,11.14,20,自連買
3	,2002.TW,中鋼,30.7,0.16,37216,27.05,13.49,20,自連買
4	,2006.TW,東和鋼鐵,53.2,0.95,1881,52.5,1.33,20,自連買
5	,2014.TW,中鴻,27.6,1.1,53751,21.15,30.5,20,自連買
6	,2301.TW,光寶科,64,-0.47,4678,63.5,0.79,20,自連買
7	,2324.TW,仁寶,22.95,0.44,9576,21.25,8,20,自連買
8	,2347.TW,聯強,61,-0.81,2957,53.7,13.59,20,自連買
9	,2356.TW,英業達,26,0.19,6530,23.15,12.31,20,自連買
10	,2357.TW,華碩,271,-1.63,1392,232,16.81,20,自連買
11	,2382.TW,廣達,71.2,-0.97,4354,71.3,-0.14,20,自連買
12	,2385.TW,群光,87.2,0.11,1118,79.9,9.14,20,自連買
13	,2441.TW,超豐,48.2,-2.33,4006,46.1,4.56,20,自連買
14	,2449.TW,京元電子,36.4,-1.75,4505,30.9,17.8,20,自連買
15	,2454.TW,聯發科,660,-0.15,2431,578,14.19,20,自連買
16	,3034.TW,聯詠,301.5,-0.17,3163,249,21.08,20,自連買
17	,3036.TW,文曄,62.7,-0.95,1327,61.5,1.95,20,自連買
18	,3044.TW,健鼎,96,1.59,1391,90.1,6.55,20,自連買
19	,3231.TW,緯創,29.9,-0.83,12268,26.6,12.41,20,自連買
20	,4938.TW,和碩,64.2,0.31,3317,57.6,11.46,20,自連買
21	,5522.TW,遠雄,58.5,0.34,1205,55.2,9.96,20,自連買
22	,6176.TW,瑞儀,106,0.47,1064,97.8,8.38,20,自連買
23	,3702.TW,大聯大,47.8,-0.52,2583,45.7,4.6,19,自連買
24	,1101.TW,台泥,34.05,-1.16,23484,31.7,7.41,16,自連買
25	,2377.TW,微星,119.5,1.7,2513,107,11.68,16,自連買
26	,2409.TW,友達,15.4,0.65,36394,18,-14.44,13,自連買
27	,2376.TW,技嘉,106.5,1.43,5227,83.1,28.16,9,自連買
28	,2495.TW,普安,21.6,-2.92,2069,15.6,38.46,9,自連買
29	,3019.TW,亞光,61.6,-1.28,472,58.4,5.48,9,自連買
30	,3015.TW,全漢,38.3,0.39,117,36.95,3.65,8,自連買
31	,3006.TW,晶豪科,66.2,0,3117,66,0.3,7,自連買
32	,1909.TW,榮成,15.55,-0.32,1849,15.25,1.97,6,自連買
33	,2327.TW,國巨,460,-1.39,1468,278.5,32.48,6,自連買
34	,3481.TW,群創,11.1,0,42046,12.95,-14.29,6,自連買
35	,6182.TW,合晶,41.8,-0.36,1757,39.8,5.03,6,自連買
36	,1503.TW,士電,59.1,-1.01,78,52.2,13.22,5,自連買
37	,2338.TW,光罩,86.3,0.94,3470,55.2,56.34,5,自連買
38	,2364.TW,倫飛,105,0.96,463,73.3,43.25,5,自連買
39	,2371.TW,大同,33.7,0,4072,31.8,5.97,5,自連買
40	,2903.TW,遠百,21.6,0.47,1990,18.4,17.39,5,自連買
41	,3005.TW,神基,43.55,0.35,857,41.05,6.09,5,自連買
42	,3016.TW,嘉晶,71.2,0.28,652,69.3,2.74,5,自連買
43	,4155.TW,訊映,28.55,1.78,4554,23.05,23.86,5,自連買
44	,6670.TW,復盛應用,213,-0.7,244,183,16.39,5,自連買
