符合條件商品
資料日期：2022年 11月 21日
策略,	007自營商5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(11/21),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 13:03 符合檔數(12)
1	,1312.TW,國喬,18.95,1.07,4063,17.35,9.22,20,自連買
2	,6834.TW,天二科技,25.1,-1.38,20,24.6,2.03,10,自連買
3	,2732.TW,六角,126,0.8,213,119,5.88,8,自連買
4	,8916.TW,光隆,52.9,-0.94,490,58.9,-10.19,7,自連買
5	,6446.TW,藥華藥,488.5,-1.81,841,520,-6.06,6,自連買
6	,6643.TW,M31,504,0,3247,482,4.56,6,自連買
7	,1760.TW,寶齡富錦,190,8.57,30709,177,7.34,5,自連買
8	,3272.TW,東碩,47.45,1.61,1259,58,-18.19,5,自連買
9	,3324.TW,雙鴻,151,-0.66,649,152,-0.66,5,自連買
10	,3390.TW,旭軟,18,1.12,52,19.15,-6.01,5,自連買
11	,4128.TW,中天,66.8,-2.2,19523,66.6,0.3,5,自連買
12	,9933.TW,中鼎,41.85,0.6,916,40.15,4.23,5,自連買
