符合條件商品
資料日期：2022年  1月 26日
策略,	10自營商5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(01/26),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 14:30 符合檔數(163)
1	,2354.TW,鴻準,51.4,-1.15,1092,60,-11.12,19,自連賣
2	,8163.TW,達方,37.8,-0.13,469,44.8,-8.52,19,自連賣
3	,1305.TW,華夏,26.5,1.15,17566,32.95,-11.64,17,自連賣
4	,6282.TW,康舒,30.4,0.83,1860,31.95,-1.81,16,自連賣
5	,5243.TW,乙盛-KY,59.3,0.51,535,59.5,1.73,15,自連賣
6	,2028.TW,威致,29.2,0.69,4120,36.05,-9.82,13,自連賣
7	,2633.TW,台灣高鐵,28.75,-0.52,2418,28.45,3.87,13,自連賣
8	,3706.TW,神達,29.7,-0.17,1384,32.3,-1.88,13,自連賣
9	,2406.TW,國碩,18.8,-1.05,970,25.3,-25.69,12,自連賣
10	,8028.TW,昇陽半導體,57.5,-2.87,2439,49.05,25.74,12,自連賣
11	,2439.TW,美律,79.5,0.63,452,88.8,-6,11,自連賣
12	,2605.TW,新興,20.65,-3.5,6563,24.55,-12.46,11,自連賣
13	,2727.TW,王品,158,-1.56,228,125.5,25.9,11,自連賣
14	,2915.TW,潤泰全,66.7,0.15,4192,94.6,-23.57,11,自連賣
15	,3691.TW,碩禾,101.5,0,155,178.5,-43.14,11,自連賣
16	,5609.TW,中菲行,71.8,-1.64,274,96.2,-16.98,11,自連賣
17	,6244.TW,茂迪,28.35,0,3256,31,-7.89,11,自連賣
18	,1708.TW,東鹼,40.75,-1.33,1193,31.4,35.61,10,自連賣
19	,2010.TW,春源,16.25,0.62,682,21.1,-18.71,10,自連賣
20	,2392.TW,正崴,36.85,-0.94,578,37.7,2.45,10,自連賣
21	,2489.TW,瑞軒,9.93,1.02,1113,16.25,-31.85,10,自連賣
22	,2614.TW,東森,23.3,1.75,3526,33.45,-32.39,10,自連賣
23	,2845.TW,遠東銀,11.1,-0.89,1864,10.95,6.73,10,自連賣
24	,8027.TW,鈦昇,51.7,-2.45,239,69.9,-24.24,10,自連賣
25	,1201.TW,味全,19.05,0,164,21.4,-8.76,9,自連賣
