符合條件商品
資料日期：2022年  4月  7日
策略,	10自營商5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(04/07),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 14:22 符合檔數(36)
1	,2542.TW,興富發,40.35,-3.93,8630,48.9,-0.91,16,自連賣
2	,2338.TW,光罩,86.3,0.94,3470,94,-5.78,12,自連賣
3	,6485.TW,點序,66,-1.35,363,138,-48.85,9,自連賣
4	,1305.TW,華夏,26.5,1.15,17566,34.2,-14.87,8,自連賣
5	,3551.TW,世禾,58,0,44,66.3,-7.01,8,自連賣
6	,1440.TW,南紡,17.3,-1.42,812,23.3,-22.28,7,自連賣
7	,2486.TW,一詮,21.55,-0.23,1380,44.2,-50.61,7,自連賣
8	,3033.TW,威健,26.5,0,428,31.25,-5.32,7,自連賣
9	,3036.TW,文曄,62.7,-0.95,1327,77.1,-13.04,7,自連賣
10	,3049.TW,和鑫,9.18,-0.54,1037,12.85,-25.85,7,自連賣
11	,4743.TW,合一,259.5,-1.14,14786,208.5,24.46,7,自連賣
12	,5536.TW,聖暉*,102.5,-0.97,167,200,11.36,7,自連賣
13	,6116.TW,彩晶,11.1,0.91,3518,14.7,-18.26,7,自連賣
14	,1513.TW,中興電,66,0.15,12515,51.6,34.8,6,自連賣
15	,3015.TW,全漢,38.3,0.39,117,42.8,-2.47,6,自連賣
16	,3028.TW,增你強,28.6,1.06,236,38.95,-17.86,6,自連賣
17	,6150.TW,撼訊,73.1,0.14,1301,133,-34.72,6,自連賣
18	,6187.TW,萬潤,65,0.93,810,129.5,-46.76,6,自連賣
19	,6196.TW,帆宣,117,-0.43,361,145,-15.81,6,自連賣
20	,1442.TW,名軒,37.2,1.5,752,23.2,69.24,5,自連賣
21	,2231.TW,為升,142,-2.07,335,148.5,5.94,5,自連賣
22	,2340.TW,台亞,34.95,-0.14,799,48.15,-22.16,5,自連賣
23	,2363.TW,矽統,15.95,-0.93,935,23.35,-22.23,5,自連賣
24	,2537.TW,聯上發,7.16,0,193,10.6,-25.03,5,自連賣
25	,3545.TW,敦泰,59.4,2.24,1934,131,-45.78,5,自連賣
26	,4162.TW,智擎,118.5,-2.07,10092,80.7,51.52,5,自連賣
27	,4952.TW,凌通,47.85,0.1,191,72.5,-28.7,5,自連賣
28	,5371.TW,中光電,55,-0.36,3464,68,-12.96,5,自連賣
29	,5471.TW,松翰,51.1,-1.73,859,85.9,-33.69,5,自連賣
30	,6202.TW,盛群,67.6,0,761,112.5,-33.31,5,自連賣
31	,6278.TW,台表科,92.4,-0.86,1062,114.5,-12.9,5,自連賣
32	,6683.TW,雍智科技,189.5,0.26,103,260,-24.18,5,自連賣
33	,8150.TW,南茂,32.9,1.23,1428,49.8,-26.92,5,自連賣
34	,8249.TW,菱光,27.35,0.92,91,22.3,30.3,5,自連賣
35	,8261.TW,富鼎,106,-0.47,888,104.5,6.87,5,自連賣
36	,9945.TW,潤泰新,43.65,-1.58,3379,77.5,-12.8,5,自連賣
