符合條件商品
資料日期：2022年  6月  9日
策略,	10自營商5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(06/09),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 14:12 符合檔數(11)
1	,3162.TW,精確,49,-1.31,3011,40.35,21.44,9,自連賣
2	,3527.TW,聚積,100,0,154,154.5,-30.57,7,自連賣
3	,6182.TW,合晶,41.8,-0.36,1757,61,-29.5,7,自連賣
4	,8086.TW,宏捷科,67.7,1.04,620,93.7,-24.77,7,自連賣
5	,8390.TW,金益鼎,36.8,-2.26,415,33.9,-0.49,7,自連賣
6	,6649.TW,台生材,34.7,0,26,24.3,42.8,6,自連賣
7	,8091.TW,翔名,86,0.35,634,82,10.9,6,自連賣
8	,2030.TW,彰源,23.95,1.27,3219,29.2,-10.53,5,自連賣
9	,2637.TW,慧洋-KY,64.8,-3.28,13996,93.1,-30.4,5,自連賣
10	,6179.TW,亞通,24.4,1.88,231,31.6,-18.56,5,自連賣
11	,6188.TW,廣明,40.45,-0.37,336,39.85,8.71,5,自連賣
