符合條件商品
資料日期：2022年  8月 10日
策略,	10自營商5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(08/10),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 14:04 符合檔數(13)
1	,8039.TW,台虹,41,-0.61,92,40.35,1.61,16,自連賣
2	,3026.TW,禾伸堂,89.9,0,51,86.9,3.45,14,自連賣
3	,3028.TW,增你強,28.6,1.06,236,30.65,-6.69,9,自連賣
4	,3005.TW,神基,43.55,0.35,857,45.65,-4.6,8,自連賣
5	,2206.TW,三陽工業,33.7,0.45,1845,38.75,-13.03,7,自連賣
6	,5258.TW,虹堡,65.2,1.4,2344,66,-0.28,7,自連賣
7	,6244.TW,茂迪,28.35,0,3256,28.3,0.18,7,自連賣
8	,2605.TW,新興,20.65,-3.5,6563,22.75,-9.23,6,自連賣
9	,3645.TW,達邁,32.55,-1.21,101,35.1,-7.26,6,自連賣
10	,5244.TW,弘凱,27.35,-0.18,36,27.9,-1.97,6,自連賣
11	,5263.TW,智崴,123.5,-3.52,358,125,-1.2,6,自連賣
12	,2486.TW,一詮,21.55,-0.23,1380,25.15,-14.31,5,自連賣
13	,3265.TW,台星科,46.95,-2.09,1946,43.45,8.06,5,自連賣
