符合條件商品
資料日期：2022年 10月 19日
策略,	10自營商5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(10/19),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 13:42 符合檔數(13)
1	,4577.TW,達航科技,31.15,0.16,67,28.1,10.85,17,自連賣
2	,6585.TW,鼎基,55.9,6.88,488,48.6,15.02,16,自連賣
3	,1717.TW,長興,31.5,-1.25,930,30.55,3.11,9,自連賣
4	,2867.TW,三商壽,5.51,-2.3,17135,5.75,-4.17,9,自連賣
5	,8131.TW,福懋科,38.4,-0.78,269,36.15,6.22,9,自連賣
6	,2851.TW,中再保,18.45,1.1,929,18.45,0,8,自連賣
7	,6192.TW,巨路,69.2,-0.86,148,66.6,3.9,7,自連賣
8	,6834.TW,天二科技,25.1,-1.38,20,22.9,9.61,6,自連賣
9	,2731.TW,雄獅,102.5,0.99,1497,82,25,5,自連賣
10	,2888.TW,新光金,8.75,-0.57,13386,7.93,10.34,5,自連賣
11	,5388.TW,中磊,77.4,-0.13,1579,80.2,-3.49,5,自連賣
12	,6284.TW,佳邦,50.8,0.2,322,40.65,24.97,5,自連賣
13	,8109.TW,博大,85.5,-0.23,60,84.8,0.83,5,自連賣
