符合條件商品
資料日期：2022年 11月  4日
策略,	10自營商5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(11/04),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 13:36 符合檔數(10)
1	,4577.TW,達航科技,31.15,0.16,67,32,-2.66,20,自連賣
2	,2889.TW,國票金,11.35,0,2314,11.05,2.71,8,自連賣
3	,2474.TW,可成,169,-1.74,2651,171,-1.17,7,自連賣
4	,6690.TW,安碁資訊,112,0,4,112,0,7,自連賣
5	,2358.TW,廷鑫,14.7,-2,2597,14,6.83,5,自連賣
6	,3005.TW,神基,43.55,0.35,857,39.15,11.24,5,自連賣
7	,3416.TW,融程電,83,0.36,22,83.5,-0.6,5,自連賣
8	,3551.TW,世禾,58,0,44,53.4,8.61,5,自連賣
9	,5536.TW,聖暉*,102.5,-0.97,167,95.8,6.99,5,自連賣
10	,8163.TW,達方,37.8,-0.13,469,38.65,-2.2,5,自連賣
