符合條件商品
資料日期：2022年 12月  1日
策略,	10自營商5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(12/01),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 13:33 符合檔數(75)
1	,9941.TW,裕融,156.5,0,327,159.5,-1.88,20,自連賣
2	,2722.TW,夏都,33.9,0.44,10,34.25,-1.02,18,自連賣
3	,2882.TW,國泰金,41.15,1.86,33982,44.15,-6.8,18,自連賣
4	,2441.TW,超豐,48.2,-2.33,4006,50.2,-3.98,15,自連賣
5	,1476.TW,儒鴻,492.5,1.23,1098,461,6.83,14,自連賣
6	,6811.TW,宏碁資訊,133,-0.37,7,130,2.31,14,自連賣
7	,8411.TW,福貞-KY,13.1,-0.76,94,12.6,3.97,14,自連賣
8	,1586.TW,和勤,33.5,-0.59,70,33.75,-0.74,13,自連賣
9	,6830.TW,汎銓,98,-0.1,49,92.2,6.29,12,自連賣
10	,3576.TW,聯合再生,20.4,-0.73,3970,21.4,-4.67,11,自連賣
11	,6835.TW,圓裕,39.2,-2,415,38.6,1.55,11,自連賣
12	,4168.TW,醣聯,32.05,-0.31,1372,34.2,-6.29,10,自連賣
13	,2412.TW,中華電,112.5,-0.44,6521,111.5,0.9,9,自連賣
14	,2474.TW,可成,169,-1.74,2651,177,-4.52,7,自連賣
15	,2836.TW,高雄銀,12.5,-0.4,467,12.85,-2.72,7,自連賣
16	,2888.TW,新光金,8.75,-0.57,13386,8.9,-1.69,7,自連賣
17	,6689.TW,伊雲谷,87.2,-0.91,297,83.9,3.93,7,自連賣
18	,2002.TW,中鋼,30.7,0.16,37216,29.25,4.96,6,自連賣
19	,2006.TW,東和鋼鐵,53.2,0.95,1881,53.2,0,6,自連賣
20	,2356.TW,英業達,26,0.19,6530,24.2,7.44,6,自連賣
21	,2357.TW,華碩,271,-1.63,1392,271.5,-0.18,6,自連賣
22	,2885.TW,元大金,21.8,-0.91,10786,22.6,-3.54,6,自連賣
23	,3023.TW,信邦,275.5,-0.18,232,267,3.18,6,自連賣
24	,3209.TW,全科,35.5,-0.42,228,35.3,0.57,6,自連賣
25	,3711.TW,日月光投控,93.8,-3.6,11870,101.5,-7.59,6,自連賣
26	,6116.TW,彩晶,11.1,0.91,3518,11.65,-4.72,6,自連賣
27	,6213.TW,聯茂,71.9,0.42,941,76.3,-5.77,6,自連賣
28	,6469.TW,大樹,283.5,-1.56,247,297,-4.55,6,自連賣
29	,8131.TW,福懋科,38.4,-0.78,269,39.55,-2.91,6,自連賣
30	,9908.TW,大台北,31.45,0.96,26,31.7,-0.79,6,自連賣
31	,1301.TW,台塑,86.8,-0.46,6046,90.7,-4.3,5,自連賣
32	,1303.TW,南亞,70.3,-1.54,4616,77.6,-9.41,5,自連賣
33	,1326.TW,台化,69.4,-0.72,1689,75.4,-7.96,5,自連賣
34	,1402.TW,遠東新,31.55,-4.39,10632,32.65,-3.37,5,自連賣
35	,1409.TW,新纖,17.9,0.28,1722,17.9,0,5,自連賣
36	,1440.TW,南紡,17.3,-1.42,812,17.75,-2.54,5,自連賣
37	,1710.TW,東聯,18.5,1.09,1345,18.9,-2.12,5,自連賣
38	,1717.TW,長興,31.5,-1.25,930,33.6,-6.25,5,自連賣
39	,1722.TW,台肥,53.1,-0.56,1033,56.2,-5.52,5,自連賣
40	,2105.TW,正新,33.75,-0.74,1203,34.55,-2.32,5,自連賣
41	,2308.TW,台達電,281,-1.92,5149,305,-7.87,5,自連賣
42	,2330.TW,台積電,455,-2.78,26724,498.5,-8.2,5,自連賣
43	,2342.TW,茂矽,38.65,1.44,640,42,-7.98,5,自連賣
44	,2347.TW,聯強,61,-0.81,2957,59.7,2.18,5,自連賣
45	,2382.TW,廣達,71.2,-0.97,4354,72.2,-1.39,5,自連賣
46	,2408.TW,南亞科,51.4,-0.58,5241,57.5,-10.61,5,自連賣
47	,2428.TW,興勤,119,-0.42,110,121.5,-2.06,5,自連賣
48	,2436.TW,偉詮電,42,0.84,593,47.1,-10.83,5,自連賣
49	,2449.TW,京元電子,36.4,-1.75,4505,36.2,0.55,5,自連賣
50	,2538.TW,基泰,11.95,0,174,12.3,-2.85,5,自連賣
51	,2801.TW,彰銀,17.25,-0.29,2566,17.4,-0.86,5,自連賣
52	,2834.TW,臺企銀,12.9,-0.39,8238,13,-0.77,5,自連賣
53	,2880.TW,華南金,22.5,-1.1,4175,22.8,-1.32,5,自連賣
54	,2884.TW,玉山金,24.1,-1.03,10272,24.6,-2.03,5,自連賣
55	,2886.TW,兆豐金,30.55,-0.97,8425,31.55,-3.17,5,自連賣
56	,2891.TW,中信金,21.9,-1.13,23817,22.6,-3.1,5,自連賣
57	,2897.TW,王道銀行,8.32,-0.36,812,8.59,-3.14,5,自連賣
58	,2915.TW,潤泰全,66.7,0.15,4192,66.3,0.6,5,自連賣
59	,3189.TW,景碩,107,0,9581,130.5,-18.01,5,自連賣
60	,3260.TW,威剛,57.6,-0.17,970,62,-7.1,5,自連賣
61	,3532.TW,台勝科,142,-2.07,1152,160,-11.25,5,自連賣
62	,3702.TW,大聯大,47.8,-0.52,2583,48.4,-1.24,5,自連賣
63	,5009.TW,榮剛,37.5,-0.66,11974,33.65,11.44,5,自連賣
64	,5522.TW,遠雄,58.5,0.34,1205,54.9,6.56,5,自連賣
65	,5880.TW,合庫金,25.95,-0.76,4866,26.7,-2.81,5,自連賣
66	,6176.TW,瑞儀,106,0.47,1064,106,0,5,自連賣
67	,6196.TW,帆宣,117,-0.43,361,121,-3.31,5,自連賣
68	,6206.TW,飛捷,65.6,0.46,146,70.5,-6.95,5,自連賣
69	,6209.TW,今國光,25.4,-0.59,249,27.25,-6.79,5,自連賣
70	,6763.TW,綠界科技,412,7.57,105,416,-0.96,5,自連賣
71	,8150.TW,南茂,32.9,1.23,1428,34.1,-3.52,5,自連賣
72	,8464.TW,億豐,278.5,-1.42,255,289,-3.63,5,自連賣
73	,9904.TW,寶成,34.05,0.44,6898,32.6,4.45,5,自連賣
74	,9933.TW,中鼎,41.85,0.6,916,41.7,0.36,5,自連賣
75	,9938.TW,百和,59,4.8,4688,55.3,6.69,5,自連賣
