符合條件商品
資料日期：2022年 12月 13日
策略,	10自營商5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(12/13),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 13:31 符合檔數(40)
1	,2722.TW,夏都,33.9,0.44,10,34.2,-0.88,20,自連賣
2	,2882.TW,國泰金,41.15,1.86,33982,40.95,0.49,20,自連賣
3	,6811.TW,宏碁資訊,133,-0.37,7,134.5,-1.12,20,自連賣
4	,8411.TW,福貞-KY,13.1,-0.76,94,13.15,-0.38,20,自連賣
5	,6835.TW,圓裕,39.2,-2,415,38.65,1.42,19,自連賣
6	,2412.TW,中華電,112.5,-0.44,6521,111,1.35,17,自連賣
7	,1717.TW,長興,31.5,-1.25,930,31.55,-0.16,13,自連賣
8	,2436.TW,偉詮電,42,0.84,593,44.15,-4.87,13,自連賣
9	,5880.TW,合庫金,25.95,-0.76,4866,26.1,-0.57,13,自連賣
10	,1216.TW,統一,65.9,0,2803,65.4,0.76,12,自連賣
11	,6806.TW,森崴能源,82.9,0.61,8626,74,12.03,12,自連賣
12	,2368.TW,金像電,88.4,-1.12,3685,95,-6.95,8,自連賣
13	,3592.TW,瑞鼎,307.5,0,497,294,4.59,8,自連賣
14	,5536.TW,聖暉*,102.5,-0.97,167,105.5,-2.84,8,自連賣
15	,6546.TW,正基,71.1,-0.7,189,75.8,-6.2,8,自連賣
16	,2851.TW,中再保,18.45,1.1,929,18.7,-1.34,7,自連賣
17	,3141.TW,晶宏,79.9,0.63,950,84.9,-5.89,7,自連賣
18	,3707.TW,漢磊,86.9,0,3034,93.8,-7.36,7,自連賣
19	,6469.TW,大樹,283.5,-1.56,247,288.5,-1.73,7,自連賣
20	,1707.TW,葡萄王,160.5,-1.23,644,159.5,0.63,6,自連賣
21	,1909.TW,榮成,15.55,-0.32,1849,15.35,1.3,6,自連賣
22	,2379.TW,瑞昱,289,-0.52,1352,292.5,-1.2,6,自連賣
23	,4958.TW,臻鼎-KY,108,-1.37,2633,112.5,-4,6,自連賣
24	,6182.TW,合晶,41.8,-0.36,1757,43.85,-4.68,6,自連賣
25	,6411.TW,晶焱,85.7,-0.35,289,93,-7.85,6,自連賣
26	,6669.TW,緯穎,819,-1.33,686,909,-9.9,6,自連賣
27	,8091.TW,翔名,86,0.35,634,87.4,-1.6,6,自連賣
28	,1304.TW,台聚,22.1,1.61,6105,21.4,3.27,5,自連賣
29	,1476.TW,儒鴻,492.5,1.23,1098,451,9.2,5,自連賣
30	,2367.TW,燿華,17.5,-0.57,2708,18.35,-4.63,5,自連賣
31	,2520.TW,冠德,28.65,0.7,326,28.9,-0.87,5,自連賣
32	,3035.TW,智原,159,0.63,7973,164,-3.05,5,自連賣
33	,3093.TW,港建*,27.65,2.79,195,26.6,3.95,5,自連賣
34	,3293.TW,鈊象,425.5,-0.23,3602,388.5,9.52,5,自連賣
35	,3526.TW,凡甲,117.5,-0.42,125,120.5,-2.49,5,自連賣
36	,3596.TW,智易,98.3,-0.2,490,101.5,-3.15,5,自連賣
37	,6220.TW,岳豐,25.85,0.78,423,25.5,1.37,5,自連賣
38	,6290.TW,良維,54,-0.18,323,55.3,-2.35,5,自連賣
39	,6683.TW,雍智科技,189.5,0.26,103,187.5,1.07,5,自連賣
40	,6768.TW,志強-KY,74,0.95,506,75.1,-1.46,5,自連賣
